project_type
Pedestrian Plaza
Concrete curb extension SE corner
Concrete Island
Expanded concrete triangular island
Slip Closure  and lane/parking alignment
2 Concrete median Extensions/5 neckdowns
Curb and sidewalk Extension
Curb Extension
"Installing 3 concrete islands, walkway, ped. crossings/ADA ramps, median tip with ped. refuge, extending left turn lane,  installing ped. signals/reallocating poles"
"Conversion to one-way; Parking protected bike lane; bus boarding islands, other ped islands and neckdowns."
Service road median extension w/truffle paint
Installed painted neckdown
Curb extension w/ truffle paint
Expanded median w/ truffle paint
Corner curb extension w/truffle paint
