organization_name,prek_cap,historical_bldg_cap,geo_dist
NENA/RYAN HLTH. CLINIC - M,,,1
P.S. 361 - M,36.0,,1
THE BUSINESS OF SPORTS SCHOOL,,,2
PATHWAYS TO GRADUATION - Q,,,1
NYC LAB MIDDLE SCHOOL - M,,1708.0,2
H.S. 533 - M,,,2
P.S. 19 - M,36.0,735.0,1
M721 SPED - M,,,2
P.S. 51 - M,18.0,712.0,2
GIRLS PREP CHARTER SCHOOL - M,0.0,,1
M094 SPED - M,,945.0,2
MANHATTAN CHARTER - M,0.0,,1
SCHOOL SAFETY - M,,,1
P.S. 290 - M,0.0,561.0,2
I.S. 378 - M,,1721.0,1
I.S. 255 - M,,,2
PATHWAYS TO GRADUATION - Q,,,2
P.S. 347 - M,107.0,,2
CHINATOWN YMCA - M,,,2
MURRAY HILL ACADEMY HS - M,,,2
M138 SPED - M,,,2
P.S. 137 - M,18.0,,1
I.S. 301 - M,,,1
ESSEX STREET ACADEMY - M,,2196.0,2
M226 SPED - M,,,2
"DOH DENTAL CLINIC, HEALTH CTR - M",,,2
P.S. 11 - M,18.0,999.0,2
HOME INSTRUCTION - M,,,2
TALENT UNLIMITED HS - M,,,2
P.S. 234 - M,0.0,591.0,2
HARVEY MILK SCHOOL - M,,117.0,2
P.S. 63 - M,18.0,819.0,1
M094 SPED - M,,858.0,2
MANHATTAN CHARTER SCHOOL II,0.0,1607.0,1
I.S. 89 - M,,,2
LOWER MANHATTAN ARTS - M,,,2
MANHATTAN BRIDGES - M,,,2
I.S. 167 - M,,1652.0,2
UFT USE - M,,,1
M226 SPED - M,,2808.0,2
EASTSIDE COMMUNITY HS - M,,,1
M035 SPED - M,,269.0,2
NEW DESIGN HS - M,,,2
M226 SPED - M,,582.0,2
CHELSEA VOC HS - M,,,2
HOSPITALITY MANAGEMENT HS - M,,,2
"ACDP,FEGS,RAPP,CLEARY GOTTLIEB - M",,,2
P.S. 34 - M,18.0,520.0,1
M226 SPED - M,,1711.0,2
P.S. 41 - M,32.0,736.0,2
J.H.S. 292 - M,,,1
I.S. 131 - M,,1503.0,2
URBAN ASSEMBLY SCHOOL - M,,1550.0,2
UNIVERSITY NEIGHBORHOOD HS - M,,640.0,1
DUAL LANGUAGE HS - M,,,2
SCHOOL FOR COOP TECH. ED. - M,,714.0,2
INSTITUTE FOR COLLABORATIVE ED - M,,,2
P.S. 183 - M,,0.0,2
P.S. 198 - M,32.0,,2
PATHWAYS TO GRADUATION - Q,,,2
P.S. 124 - M,35.0,1037.0,2
WASHINGTON IRVING HS - M,,,2
THE URBAN ASSEMBLY SCHOOL FOR EMERGENCY MANAGEMENT,,2452.0,2
I.S. 104 - M,,1162.0,2
SUCCESS ACADEMY CHARTER SCHOOL - M 1,0.0,3244.0,2
P.S. 151 - M,0.0,816.0,2
P.S. 225 - M,34.0,2444.0,2
