organization_name,org_id,bldg_enroll,org_historical_util,historical_bldg_util,incl_class,no_of_cluster_spec_rms_reported
HUMANITIES PREPARATORY ACAD - M,M605,,58.0,,  ,5.0
UNITY HS - M,M500,,70.0,,  ,0.0
P.S. 363 - M,M363,,71.0,,  ,2.0
M094 SPED - M,M094,889.0,54.0,74.0,* ,
LYFE,M984,,,,  ,
UFT USE - M,MUFT,,,,  ,
P.S. 364 - M,M364,,88.0,,  ,1.0
CASCADES CTR FOR TCHING & LNG - M,M650,,82.0,,  ,3.0
M721 SPED - M,M721,,73.0,,  ,
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,M399,,79.0,,  ,1.0
I.S. 345 - M,M345,,51.0,,  ,4.0
ADULT BASIC EDUCATION - M,MCEP,,,,  ,
SCHOOL BASED HEALTH CENTER - M,MSBH,,,,  ,
STEPHEN T. MATHER BUILDING ARTS & CRAFTSMANSHIP HS - M,M139,1551.0,53.0,71.0,  ,2.0
NORMAN THOMAS HS - M,M620,,24.0,,  ,13.0
P.S./I.S. 217 - M,M217,518.0,58.0,58.0,  ,8.0
M138 SPED - M,M138,728.0,0.0,84.0,# ,
MT. SINAI HEALTH CENTER - M,MSBH,,,,  ,
BEACON PROGRAM - M,MCBO,,,,  ,
HS FOR HEALTH PROF & HUMAN SERV-M,M420,,140.0,,  ,20.0
HS OF GRAPHIC COMM. ARTS (VOC)-M,M625,,78.0,,  ,17.0
EDUCATION ALLIANCE - M,MCBO,,,,  ,
SPARK - M,MDRG,,,,  ,
UFT USE - M,MUFT,,,,  ,
LANDMARK HS - M,M419,,69.0,,  ,1.0
M751 SPED - M,M751,211.0,98.0,98.0,  ,
P.S. 40 - M,M040,972.0,91.0,94.0,  ,4.0
P.S. 15 - M,M015,254.0,49.0,52.0,  ,4.0
MNHT COMPR. NIGHT & DAY HS - M,M575,403.0,103.0,103.0,  ,3.0
PS 281 - THE RIVER SCHOOL,M281,,11.0,,  ,2.0
P.S. 3 - M,M003,808.0,92.0,92.0,  ,7.0
URBAN ASSEMBLY ACADEMY - M,M305,,75.0,,  ,3.0
UFT USE - M,MUFT,,,,  ,
P.S. 183 - M,M183,606.0,106.0,106.0,  ,2.0
ED ALLIANCE/DISTRICT 1 OFFICE-M,MCBO,,,,  ,
I.S. 839 - M,M839,,86.0,,  ,5.0
GRAMMERCY ARTS HS - M,M374,,87.0,,  ,10.0
P.S. 188 - M,M188,,69.0,,  ,4.0
HUDSON GUILD - M,MCBO,,,,  ,
P.S. 33 - M,M033,655.0,78.0,80.0,  ,1.0
P.S. 2 - M,M002,822.0,82.0,82.0,  ,6.0
ADULT EDUCATION - M,MCEP,,,,  ,
P.S. 111 - M,M111,533.0,60.0,60.0,  ,5.0
EDUCATION ALLIANCE - M,MCBO,,,,  ,
P.S. 77 - M,M077,843.0,98.0,88.0,  ,3.0
P.S. 267,M267,261.0,51.0,51.0,  ,4.0
M169 SPED - M,M169,162.0,64.0,64.0,  ,
P.P.A.S. - M,M408,,89.0,,  ,3.0
P.S. 59 - M,M059,2080.0,89.0,91.0,  ,3.0
ART & DESIGN VOC HS - M,M630,,92.0,,  ,28.0
P.S. 140 - M,M140,393.0,57.0,57.0,  ,5.0
URBAN ASSEMBLY GATEWAY SCHOOL FOR TECHNOLOGY - M,M507,,72.0,,  ,2.0
EMMA LAZARUS HIGH SCHOOL,M394,,58.0,,  ,7.0
FOOD SERVICES - M,MSFS,,,,  ,
CHINESE AMER. PLANNING COUN. - M,MCBO,,,,  ,
BARD COLLEGE HS - M,M696,560.0,73.0,73.0,  ,7.0
P.S. 184 - M,M184,668.0,88.0,88.0,  ,6.0
P.S. 20 - M,M020,631.0,65.0,65.0,  ,9.0
NYC SCHOOL CONSTRUCTION AUTHORITY - Q,Q998,,,,  ,
M138 SPED - M,M138,,45.0,,  ,
P.S. 64 - M,M064,982.0,81.0,85.0,  ,2.0
MANHATTAN ACADEMY OF ARTS AND LLANGUAGE - M,M427,1072.0,62.0,48.0,  ,3.0
P.S. 126 - M,M126,841.0,89.0,89.0,  ,7.0
I.S. 422 - M,M422,,146.0,,  ,4.0
MILLENNIUM HS - M,M418,,106.0,,  ,1.0
STUYVESANT HS - M,M475,,118.0,,  ,43.0
P.S. 130 - M,M130,999.0,93.0,93.0,  ,6.0
