org_id,bldg_name,org_enroll,no_of_cluster_rms_needed,admin_dist,bldg_id,org_historical_cap
M138,EAST SIDE MIDDLE SCHOOL - M,36.0,,2,M114,33.0
M413,SCHL OF THE FUTURE (OLD BACON) - M,715.0,0.0,2,M660,867.0
M094,P.S. 61 - M,56.0,,1,M061,88.0
M438,WASHINGTON IRVING HS - M,339.0,0.0,78,M460,490.0
M170,HS OF GRAPHIC COMMUNICATION ARTS-M,138.0,1.0,78,M625,336.0
M006,P.S. 6 - M,751.0,3.0,2,M006,793.0
M138,PARK WEST HS (ECF) - M,63.0,,78,M535,68.0
M565,JULIA RICHMAN ED. COMPLEX - M,159.0,0.0,78,M480,306.0
MCBO,P.S. 142 - M,,,1,M142,
M459,JULIA RICHMAN ED. COMPLEX - M,331.0,0.0,78,M480,412.0
M515,J.H.S. 25 - M,551.0,0.0,1,M025,749.0
M520,MURRY BERGTRAUM HS (ECF) - M ,1466.0,0.0,78,M520,2017.0
MCBO,P.S. 2 - M,,,2,M002,
M047,J.H.S. 47 (SCH FOR THE DEAF) - M,184.0,0.0,2,M047,282.0
M529,J. K. ONASSIS HS FOR INT CAREERS-M,700.0,0.0,78,M486,552.0
M560,CITY AS SCHOOL (OLD 95) - M,606.0,0.0,78,M641,371.0
M212,I.S. 17 - M,343.0,1.0,2,M017,468.0
M509,J.H.S. 25 - M,401.0,0.0,1,M025,651.0
M437,BAYARD RUSTIN EDUCATIONAL COMP-M,462.0,0.0,78,M440,370.0
M550,LIBERTY HS - M,339.0,0.0,78,M451,368.0
M412,I.S. 70 - M,599.0,0.0,2,M070,527.0
M984,P.S. 35 (OLD 58/MNHT HS) - M,,,75,M058,
M110,P.S. 110 - M,416.0,2.0,1,M110,524.0
M134,P.S. 134 - M,318.0,2.0,1,M134,507.0
M001,P.S. 1 - M,496.0,3.0,2,M001,792.0
M089,P.S./I.S. 89 - M,472.0,2.0,2,M089,529.0
M313,BAYARD RUSTIN EDUCATIONAL COMP-M,260.0,0.0,78,M440,283.0
M114,EAST SIDE MIDDLE SCHOOL - M,443.0,0.0,2,M114,488.0
M546,WASHINGTON IRVING HS - M,241.0,0.0,78,M460,357.0
M303,PARK WEST HS (ECF) - M,417.0,0.0,78,M535,518.0
MSST,MURRY BERGTRAUM HS (ECF) - M ,,,78,M520,
MSBH,NORMAN THOMAS HS (ECF) - M,,,78,M620,
M332,J.H.S. 56 - M,100.0,0.0,1,M056,207.0
M984,JULIA RICHMAN ED. COMPLEX - M,,,78,M480,
M458,FORSYTH HS (AUXSVC-OLD 91) - M,224.0,0.0,78,M510,321.0
M315,P.S. 61 - M,276.0,1.0,1,M061,268.0
M984,CITY AS SCHOOL (OLD 95) - M,,,78,M641,
M392,BAYARD RUSTIN EDUCATIONAL COMP-M,426.0,0.0,78,M440,534.0
M527,P.S. 816 - M,92.0,0.0,2,M816,586.0
M655,OLD MANHATTAN VOC/TECH HS - M,771.0,0.0,78,M645,795.0
M142,P.S. 142 - M,384.0,3.0,1,M142,599.0
M288,PARK WEST HS (ECF) - M,443.0,0.0,78,M535,672.0
M276,P.S./I.S. 276 - M,875.0,3.0,2,M276,910.0
M094,P.S. 51 ELIAS HOWE - M,15.0,,2,M338,50.0
M158,P.S. 158 - M,747.0,3.0,2,M158,1159.0
M042,P.S. 42 - M,792.0,4.0,2,M042,857.0
M414,I.S. 70 - M,462.0,0.0,2,M070,510.0
M094,P.S. 15 - M,64.0,,1,M015,101.0
MCBO,P.S. 64 (OLD 71) - M,,,1,M064,
M330,J.H.S. 60 - M,227.0,,1,M060,313.0
M580,BROADWAY EDUCATION CAMPUS - M,593.0,0.0,78,M282,608.0
MCBO,HS OF GRAPHIC COMMUNICATION ARTS-M,,,78,M625,
M600,FASHION INDUSTRIES VOC HS - M,1732.0,0.0,78,M600,2148.0
M298,I.S. 131 - M,421.0,0.0,2,M131,503.0
M116,P.S. 116 - M,724.0,3.0,2,M116,716.0
M449,JULIA RICHMAN ED. COMPLEX - M,469.0,0.0,78,M480,569.0
M896,BROADWAY EDUCATION CAMPUS - M,350.0,0.0,78,M282,394.0
MCBO,UNIVERSITY NEIGHBORHOOD - M,,,78,M446,
MCBO,P.S. 126 - M,,,2,M126,
M539,N.E.S.T (OLD J22) - M,1725.0,4.0,1,M022,1723.0
MADM,P.S. 169 (ECF) - M,,,75,M169,
M376,CHELSEA VOC HS - M,433.0,0.0,78,M615,508.0
M300,PARK WEST HS (ECF) - M,427.0,0.0,78,M535,666.0
MUFT,P.S. 153 - M,,,6,M153,
M169,MIDTOWN EAST CAMPUS - M,44.0,,78,M488,48.0
MSFS,P.S. 20 - M,,,1,M020,
