local_unrealized_gain_loss,asset_class,security_description,local_total_cost_amount
-106305.0,FIXED INCOME,5.5%   01 Jul 2028,1180750.0
53899.7,FIXED INCOME,1%   15 Jun 2045,1855207.5
-30852.5,FIXED INCOME,5.5%   01 Mar 2028,287000.0
-671697.6,FIXED INCOME,3.55%   15 Sep 2055,3395934.24
-50763.65,FIXED INCOME,4.85%   01 Mar 2039,256731.5
-154363.7,FIXED INCOME,3.875%   15 Aug 2047,588876.52
-39264.0,FIXED INCOME,4.5%   15 May 2035,443128.75
-1084906.01,FIXED INCOME,3.5%   15 Sep 2053,4132824.01
-28215.73,FIXED INCOME,1%   10 Apr 2028,444386.24
-1016023.7,FIXED INCOME,3.4%   29 Oct 2033,4908801.0
-19750.0,FIXED INCOME,7.5%   15 Feb 2025,251625.0
-174121.23,FIXED INCOME,4.75%   15 Mar 2044,673001.87
-804770.8,FIXED INCOME,1.75%   30 Jan 2026,7399327.15
-141360.0,FIXED INCOME,4.4%   06 Nov 2042,573040.0
-23577.67,FIXED INCOME,4.393%   01 Jun 2052,978257.44
-4264.26,FIXED INCOME,6.375%   15 Jun 2030,182000.0
-114706.25,FIXED INCOME,6%   15 Nov 2027,1279737.5
-550209.75,FIXED INCOME,2.25%   01 Feb 2032,3070593.05
-170843.75,FIXED INCOME,4%   15 Apr 2029,1142593.75
-76451.25,FIXED INCOME,7.5%   15 Feb 2025,818451.25
-5103.0,FIXED INCOME,8.75%   15 Jul 2025,199875.0
-88612.5,FIXED INCOME,4.625%   01 Aug 2029,495750.0
-1119403.2,FIXED INCOME,3.85%   29 Oct 2041,4030506.0
-129621.25,FIXED INCOME,3.95%   15 Jul 2030,1369458.75
-156306.25,FIXED INCOME,4.75%   15 Oct 2029,786156.25
-46528.0,FIXED INCOME,5.75%   20 Apr 2029,324000.0
-77611.5,FIXED INCOME,5%   30 Sep 2027,699975.0
-650929.0,FIXED INCOME,4.3%   15 Dec 2042,4987785.75
-5848.5,FIXED INCOME,5%   30 Sep 2027,75000.0
-128547.66,FIXED INCOME,4.75%   15 May 2046,553384.29
-45928.1,FIXED INCOME,3.1%   01 Dec 2026,403200.1
-93562.25,FIXED INCOME,6.25%   01 Mar 2028,638993.5
-577.5,FIXED INCOME,2.5%   15 Sep 2050,75911.0
-67197.5,FIXED INCOME,4.125%   15 Jul 2029,325312.5
-1234423.8,FIXED INCOME,3.5%   01 Jun 2041,6192984.6
-480043.0,FIXED INCOME,4.625%   15 Oct 2027,3021769.0
-178569.74,FIXED INCOME,6.25%   01 Mar 2028,1600181.75
-5136.85,FIXED INCOME,5%   01 Apr 2024,78755.01
-23547.15,FIXED INCOME,6.375%   15 Jun 2030,1005000.0
-164631.63,FIXED INCOME,7%   15 Nov 2025,1672076.31
-1581740.75,FIXED INCOME,3.4%   29 Oct 2033,7641997.5
-109940.25,FIXED INCOME,5%   15 Apr 2029,1075000.0
-88729.22,FIXED INCOME,5.5%   01 Mar 2028,824149.22
