base_unrealized_gain_loss,local_unrealized_gain_loss,base_market_value,original_face,interest_rate,data_as_of,investment_type_name
-3600.0,-3600.0,121400.0,0,10.125,2023-01-25T00:00:00.000,CORPORATE BONDS
-390236.45,-390236.45,3536053.2,0,4.875,2023-01-25T00:00:00.000,CORPORATE BONDS
-76044.8,-76044.8,443955.2,520000,5.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-107611.35,-107611.35,624448.65,0,3.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-116549.28,-116549.28,354494.88,0,3.8,2023-01-25T00:00:00.000,CORPORATE BONDS
-86147.25,-86147.25,424415.25,0,4.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-154938.0,-154938.0,1137212.0,0,10.75,2023-01-25T00:00:00.000,CORPORATE BONDS
60839.62,60839.62,4280299.2,0,4.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-51301.35,-51301.35,756673.65,0,0.0,2023-01-25T00:00:00.000,BANK LOAN
-32565.9,-32565.9,485888.1,0,4.625,2023-01-25T00:00:00.000,CORPORATE BONDS
-915.6,-915.6,54749.1,0,3.65,2023-01-25T00:00:00.000,CORPORATE BONDS
-23920.05,-23920.05,542149.65,0,4.875,2023-01-25T00:00:00.000,CORPORATE BONDS
-110895.4,-110895.4,307104.6,0,5.75,2023-01-25T00:00:00.000,CORPORATE BONDS
22701.25,22701.25,3488842.5,0,4.3,2023-01-25T00:00:00.000,CORPORATE BONDS
-45146.25,-45146.25,210010.0,0,6.875,2023-01-25T00:00:00.000,CORPORATE BONDS
-21624.6,-21624.6,668375.4,0,5.0,2023-01-25T00:00:00.000,CORPORATE BONDS
-474934.08,-474934.08,1352900.52,0,4.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-136985.1,-136985.1,1075056.9,0,1.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-2068636.07,-2068636.07,6710268.25,0,4.05,2023-01-25T00:00:00.000,CORPORATE BONDS
-533456.33,-533456.33,1327900.0,0,10.0,2023-01-25T00:00:00.000,CORPORATE BONDS
-807599.16,-807599.16,2143494.9,0,3.65,2023-01-25T00:00:00.000,CORPORATE BONDS
-9571534.06,-9571534.06,30577421.7,0,4.05,2023-01-25T00:00:00.000,CORPORATE BONDS
-214088.4,-214088.4,1817564.85,0,4.3,2023-01-25T00:00:00.000,CORPORATE BONDS
-247400.4,-247400.4,1625241.14,0,4.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-67304.25,-67304.25,1456710.0,0,2.8,2023-01-25T00:00:00.000,CORPORATE BONDS
-306492.1,-306492.1,1679091.65,0,3.875,2023-01-25T00:00:00.000,CORPORATE BONDS
-1062385.0,-1062385.0,4784609.45,0,4.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-483525.0,-483525.0,1303291.75,0,4.125,2023-01-25T00:00:00.000,CORPORATE BONDS
-33682.05,-33682.05,130746.5,0,3.95,2023-01-25T00:00:00.000,CORPORATE BONDS
-20602.5,-20602.5,303647.5,0,5.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-26607.5,-26607.5,438830.0,0,4.875,2023-01-25T00:00:00.000,CORPORATE BONDS
-173456.6,-173456.6,1074212.0,0,4.625,2023-01-25T00:00:00.000,CORPORATE BONDS
-215498.6,-215498.6,1079451.4,0,6.875,2023-01-25T00:00:00.000,CORPORATE BONDS
-11955.42,-11955.42,727316.41,0,3.924,2023-01-25T00:00:00.000,CORPORATE BONDS
-69502.8,-69502.8,487009.2,0,4.45,2023-01-25T00:00:00.000,CORPORATE BONDS
-102641.3,-102641.3,504024.0,0,6.875,2023-01-25T00:00:00.000,CORPORATE BONDS
-1475721.4,-1475721.4,4606052.45,0,4.15,2023-01-25T00:00:00.000,CORPORATE BONDS
-212792.0,-212792.0,3308460.0,0,2.8,2023-01-25T00:00:00.000,CORPORATE BONDS
-6350.0,-6350.0,3159633.0,0,4.7,2023-01-25T00:00:00.000,CORPORATE BONDS
-65679.38,-65679.38,411492.5,0,4.625,2023-01-25T00:00:00.000,CORPORATE BONDS
-37688.0,-37688.0,162312.0,0,4.125,2023-01-25T00:00:00.000,CORPORATE BONDS
-34036.0,-34036.0,165964.0,0,5.0,2023-01-25T00:00:00.000,CORPORATE BONDS
-348385.5,-348385.5,2763652.0,0,6.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-773161.92,-773161.92,2903140.0,0,3.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-153414.8,-153414.8,659980.8,0,4.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-431094.18,-431094.18,1234321.3,0,3.85,2023-01-25T00:00:00.000,CORPORATE BONDS
-124109.55,-124109.55,1290899.95,30000,5.5,2023-01-25T00:00:00.000,CORPORATE BONDS
-64345.6,-64345.6,375654.4,0,5.75,2023-01-25T00:00:00.000,CORPORATE BONDS
-60250.42,-60250.42,674572.5,0,7.0,2023-01-25T00:00:00.000,CORPORATE BONDS
-63683.5,-63683.5,283566.5,0,4.25,2023-01-25T00:00:00.000,CORPORATE BONDS
-43447.35,-43447.35,491552.65,0,5.5,2023-01-25T00:00:00.000,CORPORATE BONDS
