base_unrealized_gain_loss,local_market_value,s_and_p_quality_rating,local_accrued_interest,period_end_date,moody_s_quality_rating,minor_industry_name,trade_country_name,base_accrued_interest
-3600.0,121400.0,CCC+,5273.44,2022-06-30T00:00:00.000,Caa2,FINANCE,UNITED STATES OF AMERICA (THE),5273.44
-390236.45,3536053.2,BBB+,23485.31,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),23485.31
-76044.8,443955.2,,5896.94,2022-06-30T00:00:00.000,Ba2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),5896.94
-107611.35,624448.65,BBB,8825.1,2022-06-30T00:00:00.000,Baa2,OTHER YANKEE,UNITED STATES OF AMERICA (THE),8825.1
-116549.28,354494.88,BBB,1453.5,2022-06-30T00:00:00.000,Baa2,TELEPHONE,UNITED STATES OF AMERICA (THE),1453.5
-86147.25,424415.25,B,8429.17,2022-06-30T00:00:00.000,B2,FINANCE,UNITED STATES OF AMERICA (THE),8429.17
-154938.0,1137212.0,CCC,51510.42,2022-06-30T00:00:00.000,Caa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),51510.42
60839.62,4280299.2,AA-,16524.72,2022-06-30T00:00:00.000,A1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),16524.72
-51301.35,756673.65,,0.0,2022-06-30T00:00:00.000,,BANK LOAN,UNITED STATES OF AMERICA (THE),0.0
-32565.9,485888.1,BB-,6128.12,2022-06-30T00:00:00.000,Ba3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),6128.12
-915.6,54749.1,BBB,212.92,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),212.92
-23920.05,542149.65,BBB,12177.34,2022-06-30T00:00:00.000,Baa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),12177.34
-110895.4,307104.6,CCC+,11082.8,2022-06-30T00:00:00.000,Caa1,INDUSTRIAL,UNITED STATES OF AMERICA (THE),11082.8
22701.25,3488842.5,BBB,58073.89,2022-06-30T00:00:00.000,Baa2,TELEPHONE,UNITED STATES OF AMERICA (THE),58073.89
-45146.25,210010.0,B-,1432.3,2022-06-30T00:00:00.000,B2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),1432.3
-21624.6,668375.4,BB,8625.0,2022-06-30T00:00:00.000,Ba3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),8625.0
-474934.08,1352900.52,BBB+,7196.67,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),7196.67
-136985.1,1075056.9,BBB,9028.54,2022-06-30T00:00:00.000,Baa3,OTHER YANKEE,UNITED STATES OF AMERICA (THE),9028.54
-2068636.07,6710268.25,BBB+,33862.5,2022-06-30T00:00:00.000,Baa2,INDUSTRIAL,UNITED STATES OF AMERICA (THE),33862.5
-533456.33,1327900.0,CCC-,8888.88,2022-06-30T00:00:00.000,Caa3,INDUSTRIAL,UNITED STATES OF AMERICA (THE),8888.88
-807599.16,2143494.9,BBB,30758.55,2022-06-30T00:00:00.000,Baa2,TELEPHONE,UNITED STATES OF AMERICA (THE),30758.55
