grade_1,grade_2,grade_10,hispanic_1,black,english_language_learners_1
83578,83978,89424,0.405,294678,0.135
88704,87410,89909,0.404,311966,0.131
89630,84368,90396,0.402,312434,0.133
87804,86930,90854,0.405,307734,0.126
86008,86279,90614,0.404,302335,0.134
