year,grade_k,multiple_race_categories,grade_7,asian_1,students_with_disabilities
2015-16,84386,23714,75802,0.155,222496
2013-14,85375,18820,74614,0.153,205793
2016-17,82517,26777,76778,0.158,228347
2014-15,85775,20787,75347,0.153,212791
2017-18,81588,28390,78125,0.161,224160
