grade_k,grade_3,grade_11,male_1,grade_9,female_1,white,white_1
84386,85309,71502,0.514,91723,0.486,167465,0.148
85375,81320,71028,0.514,92323,0.486,159797,0.145
82517,85050,74251,0.515,91796,0.485,169803,0.149
85775,82532,71239,0.514,93678,0.486,164590,0.147
81588,84363,73716,0.514,90062,0.486,170417,0.15
