grade_pk_half_day_full_day,grade_4,grade_5,students_with_disabilities_1,grade_8,poverty_1,black_1,asian,hispanic,male,economic_need_index
71847,81287,79581,0.196,75405,0.707,0.271,175648,459402,582948,0.619
55734,77886,76778,0.186,75999,0.735,0.283,169191,444237,567489,
72553,84185,80563,0.2,76283,0.702,0.265,180825,461492,587248,0.606
66403,80229,77505,0.19,74793,0.722,0.278,172268,453172,576880,0.632
71528,83367,83277,0.197,76816,0.74,0.26,182282,459567,583542,0.707
