year,total_enrollment,grade_pk_half_day_full_day,multiple_race_categories_1,poverty
2015-16,1133963,71847,0.021,801696
2013-14,1104479,55734,0.017,811627
2016-17,1141232,72553,0.023,800985
2014-15,1122783,66403,0.019,810688
2017-18,1135334,71528,0.025,839705
