location_1,census_tract,:@computed_region_f5dn_yrer,boro,borough,longitude
"{'latitude': '40.694086', 'longitude': '-73.940744'}",281.0,69.0,K,BROOKLYN,-73.940744
"{'latitude': '40.567873', 'longitude': '-74.115373'}",134.0,30.0,R,STATEN IS,-74.115373
"{'latitude': '40.848547', 'longitude': '-73.908416'}",23301.0,6.0,X,BRONX,-73.908416
"{'latitude': '40.674541', 'longitude': '-73.789417'}",18401.0,41.0,Q,QUEENS,-73.789417
"{'latitude': '40.755418', 'longitude': '-73.869017'}",377.0,65.0,Q,QUEENS,-73.869017
"{'latitude': '40.68832', 'longitude': '-73.932275'}",293.0,69.0,K,BROOKLYN,-73.932275
"{'latitude': '40.678296', 'longitude': '-73.79562'}",18402.0,41.0,Q,QUEENS,-73.79562
"{'latitude': '40.722707', 'longitude': '-73.851699'}",71305.0,40.0,Q,QUEENS,-73.851699
"{'latitude': '40.713218', 'longitude': '-73.797237'}",452.0,25.0,Q,QUEENS,-73.797237
"{'latitude': '40.720713', 'longitude': '-73.747001'}",542.0,63.0,Q,QUEENS,-73.747001
"{'latitude': '40.835286', 'longitude': '-73.900751'}",149.0,34.0,X,BRONX,-73.900751
"{'latitude': '40.68618', 'longitude': '-73.869625'}",1184.0,45.0,K,BROOKLYN,-73.869625
"{'latitude': '40.633237', 'longitude': '-73.952929'}",772.0,60.0,K,BROOKLYN,-73.952929
"{'latitude': '40.695362', 'longitude': '-73.915142'}",433.0,42.0,K,BROOKLYN,-73.915142
"{'latitude': '40.817721', 'longitude': '-73.902421'}",85.0,8.0,X,BRONX,-73.902421
"{'latitude': '40.685004', 'longitude': '-73.947152'}",249.0,69.0,K,BROOKLYN,-73.947152
"{'latitude': '40.702427', 'longitude': '-73.952985'}",53101.0,36.0,K,BROOKLYN,-73.952985
"{'latitude': '40.860806', 'longitude': '-73.930661'}",285.0,47.0,M,MANHATTAN,-73.930661
"{'latitude': '40.807383', 'longitude': '-73.939433'}",206.0,7.0,M,MANHATTAN,-73.939433
"{'latitude': '40.813785', 'longitude': '-73.92032'}",43.0,49.0,X,BRONX,-73.92032
"{'latitude': '40.593834', 'longitude': '-73.76174'}",99802.0,51.0,Q,QUEENS,-73.76174
"{'latitude': '40.67282', 'longitude': '-73.769252'}",33405.0,41.0,Q,QUEENS,-73.769252
"{'latitude': '40.69919', 'longitude': '-73.835299'}",130.0,46.0,Q,QUEENS,-73.835299
"{'latitude': '40.707229', 'longitude': '-73.919805'}",445.0,42.0,K,BROOKLYN,-73.919805
"{'latitude': '40.740724', 'longitude': '-73.79283'}",1417.0,26.0,Q,QUEENS,-73.79283
"{'latitude': '40.875953', 'longitude': '-73.86197'}",372.0,29.0,X,BRONX,-73.86197
"{'latitude': '40.766827', 'longitude': '-73.794601'}",1141.0,22.0,Q,QUEENS,-73.794601
"{'latitude': '40.60665', 'longitude': '-73.939176'}",666.0,32.0,K,BROOKLYN,-73.939176
"{'latitude': '40.67438', 'longitude': '-73.951443'}",31701.0,16.0,K,BROOKLYN,-73.951443
"{'latitude': '40.508284', 'longitude': '-74.243428'}",24401.0,15.0,R,STATEN IS,-74.243428
"{'latitude': '40.745537', 'longitude': '-73.923776'}",18101.0,53.0,Q,QUEENS,-73.923776
"{'latitude': '40.609912', 'longitude': '-73.948512'}",642.0,32.0,K,BROOKLYN,-73.948512
"{'latitude': '40.67282', 'longitude': '-73.769252'}",33405.0,41.0,Q,QUEENS,-73.769252
"{'latitude': '40.771966', 'longitude': '-73.987429'}",147.0,20.0,M,MANHATTAN,-73.987429
"{'latitude': '40.774373', 'longitude': '-73.9822'}",15302.0,20.0,K,MANHATTAN,-73.9822
"{'latitude': '40.780706', 'longitude': '-73.948553'}",15402.0,23.0,M,MANHATTAN,-73.948553
"{'latitude': '40.661886', 'longitude': '-73.93994'}",806.0,17.0,K,BROOKLYN,-73.93994
"{'latitude': '40.769271', 'longitude': '-73.749369'}",1483.0,26.0,Q,QUEENS,-73.749369
"{'latitude': '40.666417', 'longitude': '-73.876563'}",1116.0,45.0,K,BROOKLYN,-73.876563
"{'latitude': '40.546081', 'longitude': '-74.14584'}",13203.0,15.0,R,STATEN IS,-74.14584
"{'latitude': '40.737517', 'longitude': '-73.794031'}",1341.0,25.0,Q,QUEENS,-73.794031
"{'latitude': '40.734272', 'longitude': '-73.861556'}",71702.0,40.0,Q,QUEENS,-73.861556
"{'latitude': '40.785803', 'longitude': '-73.974614'}",169.0,20.0,M,MANHATTAN,-73.974614
"{'latitude': '40.711203', 'longitude': '-73.905286'}",59501.0,54.0,Q,QUEENS,-73.905286
"{'latitude': '40.80937', 'longitude': '-73.917584'}",39.0,49.0,X,BRONX,-73.917584
