award,name,nta,bbl,buildingid-:@computed_region_yeji_bk3q
3880000.0,P.S. 203 - QUEENS,QN1104,4076770001.0,Q203-3.0
40919919.0,THE URBAN ASSEMBLY SCHOOL FOR GLOBAL COMMERCE,MN1202,1021640032.0,M501-4.0
47695598.0,SUNSET PARK AVENUES ELEMENTARY SCHOOL - BROOKLYN,BK0703,3058097501.0,K557-2.0
2981000.0,LAMAD ACADEMY CHARTER SCHOOL,BK1802,3077060001.0,K219-2.0
2555000.0,M.S. 282 - QUEENS,QN0805,4098580100.0,Q465-3.0
9950000.0,P.S. 29 - QUEENS,QN0704,4052560001.0,Q029-3.0
8331000.0,P.S. 333 - QUEENS,QN0802,4067920100.0,Q198-3.0
17300000.0,P.S. 37 - MANHATTAN,MN1202,1021670029.0,M045-4.0
8995000.0,HS FOR ARTS & TECHNOLOGY - M,MN1102,1017520022.0,M490-4.0
47833546.0,P.S. @ 4513 8 AVENUE - BROOKLYN,MN0701,1011387501.0,K730-4.0
594450.0,FORT HAMILTON HS - K,BK1204,3055060006.0,K490-2.0
109012.5,P.S. 214 - QUEENS,QN0803,4069030001.0,Q214-3.0
10711000.0,METROPOLITAN HS - BRONX,BX0902,2035910050.0,X099-5.0
4993919.0,P.S. 81 - BROOKLYN,BK1302,3072660040.0,K081-2.0
17668000.0,JAMES BALDWIN SCHOOL - MANHATTAN,MN1202,1021600018.0,M440-4.0
1797000.0,JAMAICA GATEWAY TO THE SCIENCES - Q,QN0502,4033630001.0,Q470-3.0
4510.0,BOYS & GIRLS HS - BROOKLYN,BK0301,3018230038.0,K455-2.0
280000.0,P.S. 115 - BROOKLYN,BK0401,3031370026.0,K115-2.0
21673000.0,HS FOR HEALTH CAREER & SCIENCE - M,MN0702,1012150001.0,M465-4.0
5413000.0,P.S. 243 - BROOKLYN,BK1701,3051100025.0,K243-2.0
36440.0,P.S. 102 - QUEENS,QN1303,4106260001.0,Q102-3.0
148607.82,Q075 SPED - QUEENS,QN0902,4092260057.0,Q048-3.0
187000.0,P.S. 92 - QUEENS,QN0203,4012280048.0,Q292-3.0
260000.0,I.S. 223 - BROOKLYN,BK1103,3070840001.0,K223-2.0
715000.0,P.S. 306 - BRONX,BX0301,2026340001.0,X306-5.0
13631919.0,P.S. 155 - MANHATTAN,MN1201,1021110024.0,M155-4.0
3843919.0,P.S. 20 - STATEN ISLAND,SI0302,5051530108.0,R020-1.0
13821000.0,Q811 SPED - QUEENS,QN0303,4017610035.0,Q822-3.0
1665000.0,I.S. 227 - QUEENS,QN0501,4024230001.0,Q227-3.0
4420000.0,P.S. 65 - BRONX,BX0403,2027930028.0,X065-5.0
11119.9,P.S. 109 - BROOKLYN,BK1401,3075530041.0,K395-2.0
19777.11,P.S. 4 - STATEN ISLAND,SI0302,5052210001.0,R004-1.0
66929000.0,I.S. 293 - MANHATTAN,MN0101,1000220013.0,M218-4.0
7760000.0,P.S. 239 - QUEENS,QN1401,4155410001.0,Q239-3.0
29225.0,P.S. 174 - QUEENS,QN1403,4161590012.0,Q174-3.0
2389000.0,P.S. 13 ANNEX - STATEN ISLAND,BX0901,2037750025.0,R122-5.0
2765000.0,P.S. 7 - QUEENS,QN0104,4007140001.0,Q007-3.0
350000.0,P.S. 54 - BROOKLYN,BK0302,3016160001.0,K054-2.0
1480016.0,I.S. 328 - MANHATTAN,MN1101,1016090007.0,M164-4.0
2547000.0,P.S. 98 - MANHATTAN,MN1101,1016140021.0,M098-4.0
53373773.0,P.S. 105 - BRONX,BX0502,,X105-5.0
400000.0,P.S. 316 - BROOKLYN,BK0302,3016360001.0,K316-2.0
3473000.0,DISTRICT OFFICE #18 - BROOKLYN,BK1703,3048440001.0,K818-2.0
2268000.0,K721 SPED - BROOKLYN,BK0201,3002660020.0,K722-2.0
0.0,P.S. @ 140 BEACH 112 STREET - QUEENS,SI0106,5002270024.0,Q593-1.0
22333000.0,FORDHAM HS FOR THE ARTS - BRONX,BX1004,2051410150.0,X435-5.0
2995000.0,P.S. 53 - BRONX,BX0202,2026830065.0,X053-5.0
275000.0,P.S. 9 - BRONX,BX0701,2032240009.0,X009-5.0
4645600.0,P.S. 116 - QUEENS,QN0601,4020830123.0,Q116-3.0
210000.0,CITY-AS-SCHOOL - MANHATTAN,MN1101,1016680001.0,M641-4.0
300822.74,GROVER CLEVELAND HS - QUEENS,QN0805,4097740001.0,Q485-3.0
7564000.0,I.S. 221 - BRONX,BX1004,2051410150.0,X149-5.0
529000.0,P.S. 155 - QUEENS,QN1101,4060380013.0,Q155-3.0
378850.0,P.S. 329 - BROOKLYN,BK1602,3036930001.0,K329-2.0
531684.0,P.S. 152 - MANHATTAN,MN1102,1016890005.0,M152-4.0
588846.0,P.S. 165 - MANHATTAN,MN1203,1022340007.0,M165-4.0
82572.27,P.S. 188 - MANHATTAN,MN0701,1011520029.0,M188-4.0
505000.0,P.S. 30 - STATEN ISLAND,SI0305,5078940001.0,R030-1.0
3041343.07,P.S. 131 - BROOKLYN,BK0802,3012330026.0,K131-2.0
9978000.0,I.S. 234 - BROOKLYN,BK1302,3069650140.0,K234-2.0
12340000.0,P.S. 59 - BROOKLYN,BK0501,3041260047.0,K059-2.0
495000.0,THE HERITAGE SCHOOL - MANHATTAN,MN0803,1015540032.0,M107-4.0
381818.0,CONCORD HS - R,SI0101,5000190004.0,R470-1.0
120000.0,P.S. 29 - BROOKLYN,BK0301,3017430018.0,K029-2.0
216000.0,P.S. 32 - QUEENS,QN1205,4129930118.0,Q032-3.0
17056000.0,P.S. 41 - MANHATTAN,MN0702,1011480014.0,M041-4.0
13572000.0,P.S. 199 - BROOKLYN,BK0503,3044770001.0,K199-2.0
19270344.0,I.S. 119 - QUEENS,QN1203,4120190010.0,Q119-3.0
18932000.0,I.S. 75 - STATEN ISLAND,SI9592,5039300010.0,R075-1.0
36365000.0,I.S. 74 - QUEENS,QN1204,4124950166.0,Q074-3.0
380000.0,P.S. 38 - BROOKLYN,BK0402,3034270011.0,K038-2.0
306113.0,P.S. 172 - BROOKLYN,BK1002,3057740001.0,K172-2.0
887000.0,THOMAS A. EDISON HS - Q,QN0103,4005420008.0,Q620-3.0
27211000.0,P.S. 284 - BROOKLYN,BK0402,3033430001.0,K284-2.0
677000.0,SALVATION ARMY SUTTER DAY CARE,BK1302,3070520034.0,KBDD-2.0
250623.95,P.S. 169 - BROOKLYN,BK0501,3041340020.0,K169-2.0
1053000.0,BROOKLYN THEATRE ARTS H.S. - K,BK0102,3023300011.0,K515-2.0
29474103.0,NEW DORP HS - STATEN ISLAND,SI0202,5042440001.0,R435-1.0
2245000.0,P.S. 80 - STATEN ISLAND,BX0601,2030050010.0,R880-5.0
2196135.2,NEW YORK HARBOR SCHOOL - MANHATTAN,QN0203,4024500017.0,M871-3.0
24888000.0,P.S. 134 - QUEENS,QN1205,4110180021.0,Q134-3.0
207825.0,P.S. 106 - BROOKLYN,BK1101,3061800001.0,K106-2.0
100000.0,P.S./I.S. 499 - QUEENS,QN0202,4002490001.0,Q499-3.0
6298000.0,P.S. 311 - MANHATTAN,MN0801,1014610007.0,M176-4.0
5990000.0,P.S. 107 - BRONX,BX0301,2029320001.0,X107-5.0
47953398.0,P.S. 95 - QUEENS,QN1202,4102500001.0,Q095-3.0
11000000.0,I.S. 303 - BROOKLYN,BK0302,3017730014.0,K303-2.0
2934.62,P.S. 166 - QUEENS,QN0803,4069270022.0,Q166-3.0
40000.0,QUEENS ACADEMY HIGH SCHOOL - Q,QN0701,4042290014.0,Q023-3.0
1082000.0,P.S. 123 - QUEENS,QN0202,4022840006.0,Q123-3.0
178850000.0,QUEENS INNOVATION CENTER - QUEENS,QN0201,4004360021.0,Q472-3.0
494000.0,P.S. 67 - BROOKLYN,BK0103,3022270001.0,K067-2.0
13700000.0,P.S. 12 - BROOKLYN,BK1503,3074240001.0,K012-2.0
634712.48,X168 SPED - BRONX,BX0102,2026640001.0,X020-5.0
3256000.0,P.S. 219 - BROOKLYN,BK1701,3051030093.0,K860-2.0
451000.0,BAYSIDE HIGH SCHOOL - QUEENS,QN1102,4075290001.0,Q405-3.0
8739951.0,HARRY S. TRUMAN HS - X,BX0102,2024110022.0,X456-5.0
405000.0,P.S. 152 - BROOKLYN,BK1401,3075510026.0,K152-2.0
10824.0,P.S. 236 - BROOKLYN,BK0802,3013470001.0,K236-2.0
31395000.0,P.S. @ 46-10 70 STREET - QUEENS,QN1101,4068820001.0,Q340-3.0
2198748.0,P.S. 59 - BRONX,BX0702,2032790050.0,X853-5.0
5879602.0,P.S. 95 - QUEENS,QN1103,4080820285.0,Q095-3.0
5800000.0,P.S. 156 - BROOKLYN,BK0103,3022360009.0,K356-2.0
1331000.0,P.S. 333 - MANHATTAN,MN0301,1002890001.0,M118-4.0
310000.0,P.S. 254 - QUEENS,QN0902,4092880101.0,Q254-3.0
595000.0,THE URBAN ASSEMBLY BRONX ACADEMY OF LETTERS,BX0501,2028620014.0,X183-5.0
1050000.0,HERBERT H. LEHMAN HS - X,BX1201,2046330040.0,X405-5.0
2455056.0,P.S. 6 - STATEN ISLAND,SI0106,5002270024.0,R006-1.0
2157000.0,J.H.S. 292 - MANHATTAN,MN0303,1003870001.0,M056-4.0
