buildingid,bin,consttype,community_board,latitude
X306,2004526.0,CIP,203.0,40.827642
M118,1059526.0,CIP,109.0,40.810431
M197,1076756.0,CIP,112.0,40.860806
X655,2118366.0,CIP,205.0,40.856573
Q166,4149690.0,CIP,408.0,40.734572
Q134,4236757.0,CIP,412.0,40.698279
K169,3092456.0,CIP,305.0,40.68618
K029,3048517.0,CIP,303.0,40.697152
Q198,4146992.0,CIP,408.0,40.736653
K115,3071806.0,CIP,304.0,40.700609
Q263,4042496.0,CIP,403.0,40.755418
K093,3192661.0,CIP,315.0,40.595698
K020,3028281.0,CIP,308.0,40.676774
KBGZ,1003375.0,CIP,103.0,40.71276
X070,2046140.0,CIP,210.0,40.845787
R020,5065854.0,CIP,503.0,40.546081
X053,2005089.0,CIP,202.0,40.814031
Q511,4195981.0,CAP,409.0,40.700285
M660,1086435.0,CIP,101.0,40.692055
K054,3043822.0,CIP,303.0,40.691274
Q150,4027102.0,CIP,402.0,40.753037
Q032,4279864.0,CIP,412.0,40.67588
M107,1081267.0,CIP,108.0,40.780706
Q227,4440274.0,CIP,405.0,40.734294
Q254,4539360.0,CIP,409.0,40.693606
R470,5000314.0,CIP,501.0,40.642573
X146,2097038.0,CIP,201.0,40.813785
X142,2004498.0,CIP,203.0,40.825025
K167,3092456.0,CIP,305.0,40.68618
X099,2021972.0,CIP,209.0,40.818467
M475,1083343.0,CIP,108.0,40.765359
K249,3244470.0,CIP,313.0,40.580115
Q183,4075214.0,CIP,406.0,40.722707
M118,1075787.0,CIP,103.0,40.714182
