name,zip_code,projdesc,:@computed_region_sbqj_enih,:@computed_region_92fq_4b7q,geo_dist
P.S. 284 - BROOKLYN,11221.0,SWIMMING POOL / FY20 RESO A  PATH OF TRAVEL PLAYGROUND UPGRADE / FY20 RESO A PLAYGROUND UPGRADE / ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS / EXTERIOR DOORS / FLOOD ELIMINATION / PATH OF TRAVEL SWIMMING POOL,53.0,37.0,23
I.S. 324 - MANHATTAN,10034.0,WALK-IN REFRIGERATORS AND FREEZERS,22.0,39.0,6
P.S. 174 - QUEENS,11694.0,EXISTING BUILDING-IPDVS,58.0,41.0,28
P.S. 59 - BRONX,10458.0,ROOFS,34.0,22.0,10
P.S. 6 - BRONX,10458.0,FLOOD ELIMINATION / ROOFS / PARAPETS / EXTERIOR MASONRY / VENTILATION / FIRE ALARM SYSTEM REPLACEMENT,29.0,22.0,12
P.S. 6 - STATEN ISLAND,10310.0,EXTERIOR MASONRY,74.0,13.0,31
FIORELLO LAGUARDIA HS - MANHATTAN,10023.0,RPZ BACKFLOW PREVENTION DEVICES / FIRE SPRINKLER SYSTEM,12.0,19.0,3
QUEENS INNOVATION CENTER - QUEENS,11101.0,New,66.0,33.0,78
P.S. 109 - BROOKLYN,11210.0,LSP REPLACE LEAKING PVI DOMESTIC WATER HEATER,43.0,26.0,22
P.S. 13 ANNEX - STATEN ISLAND,10472.0,Demo,26.0,31.0,31
JAMAICA GATEWAY TO THE SCIENCES - Q,11385.0,SCIENCE DEMO ROOM UPGRADES / SCIENCE LAB UPGRADE,62.0,34.0,28
P.S. 158 - BROOKLYN,11237.0,STRUCTURAL DEFECTS,53.0,30.0,19
EAST NEW YORK ELEMENTARY SCHOOL OF EXCELLENCE  -K,11234.0,ELECTRICAL WORK FOR A/C INITIATIVE,38.0,8.0,19
P.S. 198 - BROOKLYN,11228.0,FY24 RESO A (MA) CAFETERIA UPGRADE / PATH OF TRAVEL RESO A (MA) CAFETERIA UPGRADE,41.0,44.0,22
P.S. 209 - BROOKLYN,11207.0,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,47.0,25.0,21
J.H.S. 292 - MANHATTAN,10009.0,LOW-VOLTAGE ELECTRICAL SYSTEM,5.0,50.0,1
P.S. 65 - BRONX,10457.0,COVID VENTILATION,27.0,22.0,7
P.S. 88 - QUEENS,11418.0,LOW VOLTAGE ELECTRICAL SYSTEM,60.0,41.0,24
P.S. 199 - BROOKLYN,11208.0,ROOFS / PARAPETS / EXTERIOR MASONRY / WINDOWS,47.0,25.0,21
P.S. 139 - BROOKLYN,11206.0,FY23 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,53.0,30.0,22
P.S. 62 - QUEENS,11417.0,LSP DOMESTIC WATER HEATER REPLACEMENT,64.0,41.0,27
I.S. 443 - BROOKLYN,11212.0,COVID VENTILATION / PARAPETS / ROOFS / EXTERIOR MASONRY,40.0,17.0,15
P.S. 7 - QUEENS,11103.0,TCU REMOVAL/PLAYGROUND REDEVELOPMENT,72.0,4.0,24
P.S. 142 - MANHATTAN,10040.0,ROOFS / PARAPETS / EXTERIOR MASONRY,22.0,39.0,1
SUNSET PARK AVENUES ELEMENTARY SCHOOL - BROOKLYN,11220.0,New,45.0,7.0,15
P.S. 9 - BRONX,10453.0,FY24 RESO A AUDITORIUM UPGRADE,34.0,29.0,10
P.S. 220 - QUEENS,11434.0,EXTERIOR MASONRY,71.0,46.0,28
I.S. 303 - BROOKLYN,11206.0,ROOFS / PARAPETS / EXTERIOR MASONRY / FLOOD ELIMINATION,51.0,49.0,21
THE HIGH SCHOOL FOR LANGUAGE AND DIPLOMACY,10040.0,COVID VENTILATION / COVID CLIMATE CONTROL / COVID LOW VOLTAGE ELECTRICAL SYSTEM,22.0,39.0,2
P.S. 71 - QUEENS,11378.0,LSP HOT WATER HEATER REPLACEMENT,62.0,34.0,24
P.S. 23 - STATEN ISLAND,10314.0,FY23 RESO A GYMNASIUM UPGRADE / PATH OF TRAVEL RESO A GYMNASIUM UPGRADE,75.0,14.0,31
P.S. 67 - BROOKLYN,11206.0,IPDVS INSTALLATIONS / IPDVS INSTALLATIONS,56.0,38.0,13
I.S. 202 - QUEENS,11364.0,PLANYC CLIMATE CONTROL / PLANYC BOILER CONVERSION,69.0,16.0,27
P.S. 152 - MANHATTAN,10035.0,WALK-IN REFRIGERATORS AND FREEZERS,16.0,35.0,6
STATEN ISLAND TECHNICAL HS - R,10312.0,REINFORCING SUPPORT ELEMENTS,77.0,9.0,31
SCHOOL OF DIPLOMACY,10453.0,FY22 RESO A SCIENCE LAB UPGRADE / PATH OF TRAVEL RESO A SCIENCE LAB UPGRADE,29.0,29.0,11
P.S. 95 - QUEENS,11363.0,LSP DOMESTIC WATER HEATER,69.0,20.0,29
FORDHAM HS FOR THE ARTS - BRONX,10475.0,STRUCTURAL ELEMENTS UNDER POOL / PATH OF TRAVEL STRUCTURAL ELEMENTS UNDER POOL / VENTILATION,28.0,2.0,10
X017 SPED - BRONX,10475.0,PARAPETS / EXTERIOR MASONRY / ELECTRICAL SERVICE UPGRADE / ELECTRIFICATION/HEAT PUMP SYSTEMS / ROOFS,28.0,2.0,7
I.S. 562 - BRONX,10455.0,FY23 RESO A AUDITORIUM UPGRADE / PATH OF TRAVEL RESO A AUDITORIUM UPGRADE,24.0,43.0,8
I.S. 221 - BRONX,10475.0,PLANYC BOILER CONVERSION / PLANYC CLIMATE CONTROL / LOW-VOLTAGE ELECTRICAL,28.0,2.0,7
P.S. 83 - BRONX,10453.0,ROOFS / MECHANICAL EQUIPMENT REPLACEMENT / EXTERIOR MASONRY / PARAPETS / ROOFS,29.0,29.0,11
BRONX LAB SCHOOL - BRONX,10468.0,EXTERIOR MASONRY / PARAPETS / WINDOWS / ROOFS / FLOOD ELIMINATION,34.0,40.0,11
SALVATION ARMY SUTTER DAY CARE,11224.0,ACS EARLY LEARN LEASE IMPROVEMENT,35.0,45.0,23
P.S. 15 - BRONX,10467.0,FY23 RESO A GYMNASIUM UPGRADE,34.0,40.0,10
P.S. @ 46-10 70 STREET - QUEENS,11365.0,New,69.0,3.0,24
P.S. 203 - QUEENS,11364.0,WINDOWS,69.0,16.0,26
I.S. 61 - STATEN ISLAND,10314.0,PAVED AREA- BLACKTOP / PATH OF TRAVEL PAVED AREA- BLACKTOP,75.0,9.0,31
