day_date,location,borough,details
"Thursday, 10/23/2014",IFO 42 Bond St,Manhattan,Cobblestone Roadway Repair
"Sunday, 10/19/2014",No Work,,
"Monday, 10/20/2014",Mt Eden Ave / Walton Ave,Bronx,Medians & Neckdown
"Wednesday, 10/22/2014","4 Ave@76 St, 89 St & @Shore Rd",Brooklyn,Neckdowns & Ped Ramp
"Tuesday, 10/21/2014",Woodhaven Blvd/Queens Blvd,Queens,Neck-down & Medians Tips
"Monday, 10/20/2014",IFO 42 Bond St,Manhattan,Cobblestone Roadway Repair
"Thursday, 10/23/2014",A C Powell Jr Blvd b/t W 151 St & W 133 St,Manhattan,Median Tip Extensions
"Tuesday, 10/21/2014",West End Ave @ W 95 St & @ W 97 St,Manhattan,Median Refuge Islands
"Tuesday, 10/21/2014",IFO 42 Bond St,Manhattan,Cobblestone Roadway Repair
"Thursday, 10/23/2014",Woodhaven Blvd/Queens Blvd,Queens,Neck-down & Medians Tips
"Tuesday, 10/21/2014",Northern Blvd b/t 102 St and 62 St,Queens,Median Refuge Islands
"Friday, 10/24/2014",Northern Blvd b/t 102 St and 62 St,Queens,Median Refuge Islands
"Friday, 10/24/2014",Houston St / 6 Ave,Manhattan,"Neckdowns, Refuge Island & Median Ext"
"Monday, 10/20/2014",A C Powell Jr Blvd b/t W 151 St & W 133 St,Manhattan,Median Tip Extensions
"Wednesday, 10/22/2014",IFO 42 Bond St,Manhattan,Cobblestone Roadway Repair
"Thursday, 10/23/2014",Houston St / 6 Ave,Manhattan,"Neckdowns, Refuge Island & Median Ext"
"Friday, 10/24/2014",Mt Eden Ave / Walton Ave,Bronx,Medians & Neckdown
"Monday, 10/20/2014",E L Grant Hwy / University Ave,Bronx,"Islands, Neckdowns & Bus Pad"
"Friday, 10/24/2014","4 Ave@76 St, 89 St & @Shore Rd",Brooklyn,Neckdowns & Ped Ramp
"Wednesday, 10/22/2014",Richmond Ave b/t Morani St & Vedder Ave,Staten Island,Medians
"Wednesday, 10/22/2014",Woodhaven Blvd/Queens Blvd,Queens,Neck-down & Medians Tips
"Wednesday, 10/22/2014",E L Grant Hwy / University Ave,Bronx,"Islands, Neckdowns & Bus Pad"
"Tuesday, 10/21/2014",A C Powell Jr Blvd b/t W 151 St & W 133 St,Manhattan,Median Tip Extensions
"Thursday, 10/23/2014",West End Ave @ W 95 St & @ W 97 St,Manhattan,Median Refuge Islands
"Wednesday, 10/22/2014",A C Powell Jr Blvd b/t W 151 St & W 133 St,Manhattan,Median Tip Extensions
"Wednesday, 10/22/2014",Houston St / 6 Ave,Manhattan,"Neckdowns, Refuge Island & Median Ext"
"Tuesday, 10/21/2014","4 Ave@76 St, 89 St & @Shore Rd",Brooklyn,Neckdowns & Ped Ramp
"Thursday, 10/23/2014",Richmond Ave b/t Morani St & Vedder Ave,Staten Island,Medians
"Monday, 10/20/2014","4 Ave@76 St, 89 St & @Shore Rd",Brooklyn,Neckdowns & Ped Ramp
"Tuesday, 10/21/2014",Richmond Ave b/t Morani St & Vedder Ave,Staten Island,Medians
"Thursday, 10/23/2014",E L Grant Hwy / University Ave,Bronx,"Islands, Neckdowns & Bus Pad"
"Saturday, 10/25/2014",No Work,,
"Tuesday, 10/21/2014",Mt Eden Ave / Walton Ave,Bronx,Medians & Neckdown
"Wednesday, 10/22/2014",Mt Eden Ave / Walton Ave,Bronx,Medians & Neckdown
"Monday, 10/20/2014",Woodhaven Blvd/Queens Blvd,Queens,Neck-down & Medians Tips
"Wednesday, 10/22/2014",Gun Hill Rd b/t Jerome Ave & Olinville Ave,Bronx,"Bus Boarding Island, Neckdowns & Island"
"Friday, 10/24/2014",A C Powell Jr Blvd b/t W 151 St & W 133 St,Manhattan,Median Tip Extensions
"Tuesday, 10/21/2014",Gun Hill Rd b/t Jerome Ave & Olinville Ave,Bronx,"Bus Boarding Island, Neckdowns & Island"
"Tuesday, 10/21/2014",E L Grant Hwy / University Ave,Bronx,"Islands, Neckdowns & Bus Pad"
"Thursday, 10/23/2014",Gun Hill Rd b/t Jerome Ave & Olinville Ave,Bronx,"Bus Boarding Island, Neckdowns & Island"
"Thursday, 10/23/2014","4 Ave@76 St, 89 St & @Shore Rd",Brooklyn,Neckdowns & Ped Ramp
"Friday, 10/24/2014",IFO 42 Bond St,Manhattan,Cobblestone Roadway Repair
"Wednesday, 10/22/2014",West End Ave @ W 95 St & @ W 97 St,Manhattan,Median Refuge Islands
"Wednesday, 10/22/2014",Northern Blvd b/t 102 St and 62 St,Queens,Median Refuge Islands
"Friday, 10/24/2014",West End Ave @ W 95 St & @ W 97 St,Manhattan,Median Refuge Islands
"Tuesday, 10/21/2014",Houston St / 6 Ave,Manhattan,"Neckdowns, Refuge Island & Median Ext"
"Friday, 10/24/2014",Woodhaven Blvd/Queens Blvd,Queens,Neck-down & Medians Tips
"Monday, 10/20/2014",West End Ave @ W 95 St & @ W 97 St,Manhattan,Median Refuge Islands
"Friday, 10/24/2014",Gun Hill Rd b/t Jerome Ave & Olinville Ave,Bronx,"Bus Boarding Island, Neckdowns & Island"
"Monday, 10/20/2014",Northern Blvd b/t 102 St and 62 St,Queens,Median Refuge Islands
"Thursday, 10/23/2014",Northern Blvd b/t 102 St and 62 St,Queens,Median Refuge Islands
"Monday, 10/20/2014",Gun Hill Rd b/t Jerome Ave & Olinville Ave,Bronx,"Bus Boarding Island, Neckdowns & Island"
"Monday, 10/20/2014",Houston St / 6 Ave,Manhattan,"Neckdowns, Refuge Island & Median Ext"
"Friday, 10/24/2014",Richmond Ave b/t Morani St & Vedder Ave,Staten Island,Medians
"Thursday, 10/23/2014",Mt Eden Ave / Walton Ave,Bronx,Medians & Neckdown
"Friday, 10/24/2014",E L Grant Hwy / University Ave,Bronx,"Islands, Neckdowns & Bus Pad"
"Monday, 10/20/2014",Richmond Ave b/t Morani St & Vedder Ave,Staten Island,Medians
