uid,xcoord,ycoord,city,facdomain,facgroup,bbl
002b7e6c8b7355d93de5729ee065bd87,1014307.4045566804,177886.2323928844,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,3043650012.0
010fe32b73913321a5b1e50be6fb8765,986317.8922019288,166554.51962284007,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,3055240001.0
002850874a733ff3d336f0f9d1aeb6cb,983220.9140694344,212127.85023660416,NEW YORK,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,1006960035.0
00d0f735749f1ff922d6207af5982091,992327.5412629,185431.3121480184,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,3011690001.0
00a7e8719c9fff9e4bd37ede31c68d8a,951492.5385081436,149177.63335073335,STATEN ISLAND,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,5036260013.0
00dc7b42b6ee1c4a7914e20419530cf0,923519.5772571056,125889.7525653697,STATEN ISLAND,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,5076640001.0
00d27055aebfe1658d3802cb8cff4fa0,997540.3308054464,183807.16071923528,BROOKLYN,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,3012540063.0
00193d4c8867ba07d718b49b5ace6b20,986831.209853183,190546.73149996303,BROOKLYN,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,3002770001.0
01221b21d96d1979d0a02563048a422f,999841.3153004878,203233.8874663236,BROOKLYN,CORE INFRASTRUCTURE AND TRANSPORTATION,SOLID WASTE,3026870001.0
00093367a9d66ff799c9cc47b368dd16,1024908.3418624438,191170.71569020185,WOODHAVEN,"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,4089290005.0
001c79fb3511da3f7b5d44c5a6d8c176,998422.1969804312,220477.75066432776,NEW YORK,CORE INFRASTRUCTURE AND TRANSPORTATION,TRANSPORTATION,1015770008.0
000997dc329383998a57f53346b0612d,1022181.3196151884,186781.477964632,OZONE PARK,"PARKS, GARDENS, AND HISTORICAL SITES",PARKS AND PLAZAS,
005d58e90f7ddd6c1fa7bd5d8cd910bb,1011032.6029902868,242195.83130373963,BRONX,HEALTH AND HUMAN SERVICES,HEALTH CARE,2026120007.0
