uid,latitude,longitude,overagency,policeprct,addressnum,servarea,overabbrev,factype,capacity
002b7e6c8b7355d93de5729ee065bd87,40.65488225105448,-73.89167269608397,NYC Department of Education,75.0,231,Regional,NYCDOE,SCHOOL BUS DEPOT,241.0
010fe32b73913321a5b1e50be6fb8765,40.62382989445551,-73.99255075696652,NYC Department of Education,62.0,6101,Local,NYCDOE,EARLY EDUCATION PROGRAM,
002850874a733ff3d336f0f9d1aeb6cb,40.74891840955229,-74.00371407429255,NYC Department of Consumer Affairs,10.0,249,Local,NYCDCA,COMMERCIAL GARAGE,
00d0f735749f1ff922d6207af5982091,40.67563914750778,-73.97087937537545,NYC Department of Consumer Affairs,78.0,405,Local,NYCDCA,COMMERCIAL GARAGE,
00a7e8719c9fff9e4bd37ede31c68d8a,40.57607358718559,-74.1179190543868,NYC Department of Health and Mental Hygiene,122.0,22,Local,NYCDOHMH,SCHOOL BASED CHILD CARE - PRESCHOOL,
00dc7b42b6ee1c4a7914e20419530cf0,40.51200546655535,-74.21840571215603,NYC Department of Youth and Community Development,123.0,6581,Local,NYCDYCD,COMMUNITY SERVICES,
00d27055aebfe1658d3802cb8cff4fa0,40.67117492600897,-73.95208977218945,NYC Department of Health and Mental Hygiene,77.0,721,Local,NYCDOHMH,SCHOOL BASED CHILD CARE - PRESCHOOL,
00193d4c8867ba07d718b49b5ace6b20,40.689683117692496,-73.99069243086275,NYC Department of Health and Mental Hygiene,84.0,66,Local,NYCDOHMH,SUPPORTED HOUSING-OMH,
01221b21d96d1979d0a02563048a422f,40.724493,-73.94374999999998,NYC Department of Sanitation,94.0,,Regional,NYCDSNY,COMPOST,
00093367a9d66ff799c9cc47b368dd16,40.69130279516473,-73.8533866992362,NYC Department of Parks and Recreation,102.0,,Local,NYCDPR,PLAYGROUND,
001c79fb3511da3f7b5d44c5a6d8c176,40.77182544393564,-73.94883352353469,NYC Department of Consumer Affairs,19.0,511,Local,NYCDCA,COMMERCIAL GARAGE,
000997dc329383998a57f53346b0612d,40.67926746336519,-73.86324498887438,NYC Department of Transportation,102.0,,Local,NYCDOT,PEDESTRIAN PLAZA,
005d58e90f7ddd6c1fa7bd5d8cd910bb,40.8314063787385,-73.90321904457765,NYS Office of Addiction Services and Supports,42.0,1276,Regional,NYSOASAS,OUTPATIENT CLINIC,
005c6f1bb14510b2a25148bed81651fe,40.860380979118645,-73.86030157702504,NYC Department of Youth and Community Development,49.0,925,Local,NYCDYCD,EDUCATIONAL SERVICES; JOBS AND INTERNSHIPS,
0106dae6237f823596009c97cc8a8626,40.66865355762978,-73.98291239820561,"The New York State Office of Parks, Recreation and Historic Preservation",78.0,,Local,NYSOPRHP,STATE HISTORIC PLACE,
011da44c69f6ae64c7f1775676ff8e2d,40.58783481272248,-73.99398557238138,NYC Department of Health and Mental Hygiene,60.0,376,Local,NYCDOHMH,DAY CARE,
004c784636b86b2a0ea2791c7a5dd156,40.6650120702292,-73.7826952545091,NYC Department of Education,105.0,,Regional,NYCDOE,SCHOOL BUS DEPOT,138.0
006f2e3b83ee21b5a2d8f43dec0dd57d,40.75662424473257,-73.91455844752576,Non-public,114.0,45-18,Local,Non-public,SOUP KITCHEN,
00da32373604e7a5458cc76c6d4445f0,40.73512769106439,-73.98325182102363,NYC Department of Health and Mental Hygiene,13.0,315,Local,NYCDOHMH,"SUPPORTED SRO-OMH, CRISIS/RESPITE BEDS-OMH",
0071ca3f4a4f38c89cfefc41e4539633,40.577874148294256,-73.96755532037412,NYC Department of Education,60.0,2997,Local,NYCDOE,SUMMER ONLY FEEDING SITE,
008c1dfb57e60bc63df09069e476aac1,40.75970469159533,-73.99106535228889,NYC Department of Education,14.0,353,Local,NYCDOE,SUMMER ONLY FEEDING SITE,
00c572c100e908291c03c724ec0e13b8,40.866123687913614,-73.92861754288309,NYC Department of Consumer Affairs,34.0,242,Local,NYCDCA,COMMERCIAL PARKING LOT,
005f610d3dea14c7acc12a0d74e307e6,40.78029899800122,-73.94452782094862,NYC Department of Consumer Affairs,19.0,441,Local,NYCDCA,COMMERCIAL GARAGE,
00856def139f6c38ccc8a6a2a7993299,40.70897587344551,-74.01247293936926,NYC Department of Education,1.0,90,Local,NYCDOE,HIGH SCHOOL - PUBLIC,
00b27a72956336661df81c9ba649b681,40.86563119530256,-73.92511326364253,NYC Department of Youth and Community Development,34.0,650,Local,NYCDYCD,EDUCATIONAL SUPPORT: HIGH SCHOOL YOUTH,
00628049af80b66856f1f32413b9186a,40.64287472295484,-74.07714712539212,NYC Department of Probation,120.0,130,Local,NYCDOP,PARENT SUPPORT PROGRAM,
0022398677714f48146da0b4b5fd6e48,40.822923541544,-73.84322288297103,NYC Department of Education,43.0,751,Regional,NYCDOE,SCHOOL BUS DEPOT,442.0
ee2045ad5b93193fae446633fc81eb19,,,NYC Department of Cultural Affairs,,,Regional,NYCDCLA,THEATER,
0094a31783acbc2e35c02ef3733c594c,40.835621498822725,-73.91971033528618,NYC Department of Youth and Community Development,44.0,1220,Local,NYCDYCD,SCHOOL'S OUT NEW YORK CITY (SONYC),
00ec0da99e7d7ba06a9fff3c35590065,40.71083428218826,-73.98621530307234,NYC Department of Health and Mental Hygiene,7.0,286,Local,NYCDOHMH,CAMP - SCHOOL AGE,
0108886188e485dbe864042935f26fbd,40.77432421,-73.98491538,NYC Department of Sanitation,20.0,,Regional,NYCDSNY,COMPOST,
004e8d22e0663c2e48257e0ee8c73cee,40.85524775280324,-73.88250518773566,NYC Department of Education,48.0,2474,Local,NYCDOE,HIGH SCHOOL - PUBLIC,531.0
00691c84282d443dc01999c155efdba3,40.70559674518563,-73.79916621827756,NYC Department of Health and Mental Hygiene,103.0,89-31,Regional,NYCDOHMH,SPECIAL DEMO - CITY COUNCIL-OMH,
00e43284ef87db4f44fe5ebd2623358e,40.638990999999805,-74.07943899999998,NYC Department of Education,120.0,211,Regional,NYCDOE,AGENCY OFFICE,
0006e49b4ecf531c88f5dec8bd7d0364,40.728321270588594,-73.94057054204094,NYC Department of Education,94.0,297,Regional,NYCDOE,SCHOOL BUS DEPOT,271.0
