facname,nta2010,ct2020,address,council
CHINATOWN YMCA BEACON SATELLITE @ TWO BRIDGES,MN28,201.0,286 SOUTH STREET,1.0
CAMPUS EDUCATION,MN17,10100.0,410 8 AVENUE,3.0
CSD 31 DISTRICT OFF (OLD PS16),SI22,1100.0,211 DANIEL LOW TERRACE,49.0
I.S. 61 WILLIAM A MORRIS,SI35,6700.0,445 CASTLETON AVENUE,49.0
MTA 4TH AVENUE SUBSTATION,BK37,11901.0,276 4 AVENUE,39.0
SALVATION ARMY ASTORIA CORPS,QN70,16100.0,45-18 BROADWAY,26.0
MP WEST 52 LLC,MN17,13100.0,888 8 AVENUE,3.0
YESHIVAT BETH HILLEL OF KRASNA INC.,BK88,47800.0,4315 16 AVENUE,44.0
CONEY ISLAND,BK26,30800.0,,47.0
BRONXCARE CHEMICAL DEPENDENCE OP,BX35,14900.0,1276 FULTON AVENUE,16.0
STATEN ISLAND YOUTH SOCCER LEAGUE INC,SI05,22801.0,1757 ARTHUR KILL ROAD,51.0
THE NEW JEWISH HOME UNIVERSITY AVENUE ASSISTED LIVING,BX30,26300.0,2553 UNIVERSITY AVENUE,14.0
EAST SIDE HOUSE INC,MN01,29100.0,650 ACADEMY STREET,10.0
511 EAST 80TH STREET PARKING CORP.,MN32,13602.0,511 EAST 80 STREET,5.0
UNDERGROUND GASLINE,,,38 STREET,
INTERNATIONAL ACADEMY OF NEW YORK,MN40,15002.0,4 EAST 90 STREET,4.0
WAKE-EDEN CHRISTIAN ACADEMY - XAKJ,BX62,42600.0,2074 STRANG AVENUE,12.0
LOWER EASTSIDE SERVICE CENTER INC,MN27,800.0,46 EAST BROADWAY,1.0
OLD CROTON AQUEDUCT GATEHOUSE,MN09,20701.0,1195 AMSTERDAM AVENUE,7.0
GRAND ARMY PLAZA GREENMARKET FOOD DROP-OFF SITE,BK99,17700.0,,39.0
"FASHION CENTER DISTRICT MANAGEMENT ASSOCIATION, INC.",MN17,11300.0,209 WEST 38 STREET,3.0
SOUTH RICHMOND HIGH SCHOOL IS / PS 25 (75R025),SI01,19800.0,6581 HYLAN BOULEVARD,51.0
CONG. MACHNE CHAIM INC.,BK28,24800.0,6101 16 AVENUE,44.0
P.S. 016 WAKEFIELD,BX62,41400.0,4550 CARPENTER AVENUE,11.0
BRONX ACADEMY FOR SOFTWARE ENGINEERING (BASE),BX06,39300.0,2474 CROTONA AVENUE,15.0
SOLID ROCK BAPTIST CHURCH,BK75,25901.0,120 TOMPKINS AVENUE,36.0
TINY BUMBLEBEES INC.,BK19,36600.0,2848 BRIGHTON SEVENTH STREET,48.0
100 ML GARAGE CORP.,MN25,700.0,100 MAIDEN LANE,1.0
25 PRECINCT PERSONNEL PARKING,MN34,18200.0,110 EAST 119 STREET,9.0
LIBERTY AVE PLAZA,QN56,4401.0,,32.0
111-06 VAN WYCK EXPY TEXTILE DROP-OFF SITE,QN55,17200.0,"111-06 VAN WYCK EXPY, SOUTH OZONE PARK, NY, USA",28.0
CPC LITTLE STAR OF BROOME STREET EARLY CHILDHOOD CENTER,MN28,1402.0,164 BROOME STREET,1.0
FRIENDS OF VETERANS NEW YORK INC,QN70,15100.0,45-11 31 AVENUE,22.0
"GREEK CULTURAL CENTER, INC.",QN71,6900.0,27-18 HOYT AVENUE SOUTH,22.0
"PROJECTIVITY GROUP, INC.",SI08,4001.0,27 TOWNSEND AVENUE,49.0
GREENWICH STREET PARKING LLC,MN24,3700.0,551 GREENWICH STREET,3.0
HOYT TRANSPORTATION CORP.,BX27,9301.0,1271 RANDALL AVENUE,17.0
FF PARKING CORP,QN22,86500.0,142-38 37 AVENUE,20.0
ART RESOURCES TRANSFER,MN13,9901.0,526 WEST 26 STREET,3.0
"GLOBAL KIDS, INC",MN21,6800.0,137 EAST 25 STREET,2.0
EQUITY PLAYGROUND,QN53,1800.0,90-10 88 AVENUE,32.0
P226M AT PACE UNIVERSITY,MN25,1501.0,1 PACE PLAZA,1.0
THE HUDSON GUILD,MN13,9700.0,441 WEST 26 STREET,3.0
MUSLIM COMMUNITY NETWORK,BX39,4100.0,345 BROOK AVENUE,8.0
"WEST STREET, BUILDING AT 21",MN25,1300.0,,1.0
MANHATTAN SCHOOLHOUSE LLC,MN13,9902.0,507 WEST 28 STREET,3.0
CENTRAL IND SUBSTATION,MN17,13100.0,,4.0
NEW COUNTRY DAY CAMP,SI24,18100.0,1131 MANOR ROAD,50.0
EMS STATION 35,BK73,51900.0,332 METROPOLITAN AVENUE,34.0
PLANNED PARENTHOOD BRONX HEALTH CENTER,BX34,6500.0,349 EAST 149 STREET,17.0
CYPRESS HILLS-FULTON STREET SENIOR CITIZENS CENTER INC,BK82,121000.0,475 FOUNTAIN AVENUE,42.0
ST VINCENT'S SERVICES INC,BK09,900.0,66 BOERUM PLACE,33.0
"QUALITY AUTOMOTIVES, INC.",BK50,96200.0,995 REMSEN AVENUE,46.0
PS 105 THE BLYTHEBOURNE,BK88,21400.0,1031 59 STREET,38.0
MANHATTAN 1/2/5 GARAGES,MN24,3700.0,500 WASHINGTON STREET,3.0
P.S. 195 MANHATTAN BEACH,BK17,62000.0,131 IRWIN STREET,48.0
IS 93,QN20,58900.0,66-56 FOREST AVENUE,30.0
"BORO TRANSIT, INC.",BK85,114400.0,154 SHEFFIELD AVENUE,37.0
PRIDE TRANSPORTATION (SCH AGE),BK82,110400.0,231 MALTA STREET,42.0
"GRANDPA`S BUS CO., INC.",QN03,30600.0,,31.0
P.S. 001 ALFRED E. SMITH,MN27,2700.0,8 HENRY STREET,1.0
MORGAN AVENUE STATION,BK78,48500.0,73 BOGART STREET,34.0
A SCHOOL WITHOUT WALLS,MN25,1300.0,90 TRINITY PLACE,1.0
SNT BUS INC,BK96,94600.0,1386 RALPH AVENUE,45.0
LEESEL TRANSPORTATION CORP (B2192),BX99,43501.0,3900 WEBSTER AVENUE,11.0
RICHMOND FAMILY COURT,SI22,700.0,100 RICHMOND TERRACE,49.0
SAINT LUKE'S EPISCOPAL CHURCH,QN17,72300.0,,29.0
"INTERNATIONAL DEVELOPMENT INSTITUTE,",BK19,36200.0,613 BRIGHTON BEACH AVENUE,48.0
MANHATTAN PC 125TH STREET CLINIC,MN11,22200.0,163 WEST 125 STREET,9.0
COMMUNITY ADVISORY PROGRAM FOR THE ELDERLY,QN45,152902.0,59-28 LITTLE NECK PARKWAY,23.0
SAM DAR ENTERPRISES INC,BK37,15900.0,405 FLATBUSH AVENUE,39.0
PIONEER TRANSPORTATION CORP,BX09,9000.0,751 ZEREGA AVENUE,18.0
SIPS KINDER FACILITIES INC.,SI45,13400.0,145 ROSS AVENUE,50.0
MAN UP INC,BK82,107001.0,1065 ELTON STREET,42.0
SHERMAN SQUARE,MN14,15700.0,,6.0
1804 RALPH AVE TEXTILE DROP-OFF SITE,BK58,72200.0,"1804 RALPH AVENUE, BROOKLYN, NY, USA",46.0
SERVICES AND ADVOCACY FOR GAYLESBIANBISEXUAL AND TRANSGEND,MN03,23200.0,220 WEST 143 STREET,9.0
OCEAN BAY APARTMENTS (OCEANSIDE),QN12,97204.0,339 BEACH 54 STREET,31.0
"DANISAR PRODUCTIONS, INC.",MN23,6100.0,1 UNION SQUARE SOUTH,2.0
"CONNAUGHT CAR PARK, LLC",MN19,9800.0,300 EAST 54 STREET,4.0
PRIDE TRANSPORTATION (SCH AGE),BX09,9000.0,905 BRUSH AVENUE,13.0
EAST-WEST SCHOOL OF INTERNATIONAL STUDIES,QN22,84500.0,46-21 COLDEN STREET,20.0
