xcoord,facname,schooldist,streetname
988891.5019684926,COMMUNITY ACCESS INC,2.0,2 AVENUE
1027321.7558833192,SAINT LUKE'S EPISCOPAL CHURCH,28.0,
1014307.4045566804,PRIDE TRANSPORTATION (SCH AGE),19.0,MALTA STREET
986317.8922019288,CONG. MACHNE CHAIM INC.,20.0,16 AVENUE
998990.9533784494,STEVE & KATE'S CAMP - UPPER EAST SIDE,2.0,EAST 95 STREET
1000489.8715848564,25 PRECINCT PERSONNEL PARKING,4.0,EAST 119 STREET
1000721.6476923142,"RELIANT TRANSPORTATION, INC (B2321)",14.0,NORMAN AVENUE
1009140.40311892,"QUALITY AUTOMOTIVES, INC.",18.0,REMSEN AVENUE
1001275.8682628552,BETH ISRAEL MED CENTER #2,5.0,EAST 125 STREET
981470.9467203472,DCI-NARROWS KIDNEY CENTER,20.0,FORT HAMILTON PARKWAY
1006427.3360323324,SEVENTH AVENUE CENTER FOR FAMILY SERVICES,9.0,MONTGOMERY AVENUE
964080.4898860815,"PROJECTIVITY GROUP, INC.",31.0,TOWNSEND AVENUE
989641.3911349009,ARBOR PLACE,13.0,
995344.04801484,CITIZEN SCHOOLS INC,14.0,KENT AVENUE
983220.9140694344,249 PARKING CORP.,2.0,10 AVENUE
988990.2921242008,PUBLIC SCHOOL 39,15.0,
1017879.611224991,ALTERNATE LEARNING CENTER AT MONROE,12.0,BOYNTON AVENUE
988531.1009113962,MTA 4TH AVENUE SUBSTATION,15.0,4 AVENUE
994661.154873656,34 NORTH 7TH PARKING CORP.,14.0,NORTH 6 STREET
1007701.6368122672,JHS 291 ROLAND HAYES - 32K291,32.0,PALMETTO STREET
1021028.6373526132,LEESEL TRANSPORTATION CORP (B2192),10.0,WEBSTER AVENUE
1014222.6037416786,L & M BUS CORP (A),19.0,STANLEY AVENUE
1037347.5188697173,"SANDRA'S SUNFLOWER CHILD CARE, INC.",28.0,SUTPHIN BOULEVARD
923519.5772571056,SOUTH RICHMOND HIGH SCHOOL IS / PS 25 (75R025),31.0,HYLAN BOULEVARD
1028372.973442128,PRIDE TRANSPORTATION (SCH AGE),8.0,BRUSH AVENUE
981898.1117883128,GREENWICH STREET PARKING LLC,2.0,GREENWICH STREET
982139.7604997888,EDISON NY PARKING LLC.,2.0,WORTH STREET
992327.5412629,SAM DAR ENTERPRISES INC,13.0,FLATBUSH AVENUE
987851.7660865176,UNITED STATES POST OFFICE-PARKVILLE STATION,20.0,
1034451.3423457324,THE YOUNG WOMENS CHRISTIAN ASSOCIATION OF QUEENS,25.0,PARSONS BOULEVARD
985920.4912490651,BLOCK INSTITUTE SCHOOL,21.0,BAY 44 STREET
999064.7760879388,SOLID ROCK BAPTIST CHURCH,14.0,TOMPKINS AVENUE
920952.5267962074,PIONEER TRANSPORTATION CORP,31.0,ARTHUR KILL ROAD
1006422.2961340556,SNT BUS INC,18.0,RALPH AVENUE
997540.3308054464,"EVANGELICAL LUTHERAN CHURCH OF THE EPIPHANY OF BROOKLYN, N.Y",17.0,LINCOLN PLACE
1044536.0000000153,LOGAN TRANSPORTATION SYSTEMS,29.0,
989396.157103958,GED - P2G- JOHN DEWEY HS/EVEN/AHSEP,21.0,AVENUE X
997239.3955968256,POLICE ATHLETIC LEAGUE INC,6.0,WEST 138 STREET
1011983.9008135787,UNDERGROUND GASLINE,,38 STREET
998805.902794652,MANHATTAN PC 125TH STREET CLINIC,5.0,WEST 125 STREET
1011457.5164343062,ALLIED TRANSIT CORP.,19.0,SNEDIKER AVENUE
951471.149332289,SIPS KINDER FACILITIES INC.,31.0,ROSS AVENUE
1024485.896760184,P.S. 016 WAKEFIELD,11.0,CARPENTER AVENUE
1014509.7537452172,NEW YORK EDGE INC,12.0,BOSTON ROAD
983558.642639276,MANHATTAN SCHOOLHOUSE LLC,2.0,WEST 28 STREET
