latest_inspection_number,dcwp_plate_number,dcwp_license_number,dmv_license_plate_number,decal_number
INS-000901493,1577,2113867-DCA,,1577.0
INS-000900471,,2083194-DCA,,2076.0
INS-000907036,,2082095-DCA,,1662.0
INS-000906510,,1337977-DCA,,1802.0
INS-000900474,,2083194-DCA,,2465.0
INS-000896737,9086,0833070-DCA,18222TV,
INS-000896737,9106,2130302-DCWP,19031TV,
INS-000896737,9113,2122937-DCWP,17266TV,
INS-000900757,,1409754-DCA,,1516.0
INS-000903416,1721,2114007-DCA,,1721.0
INS-000905799,9125,2124110-DCWP,19050TV,
INS-000896737,9108,2132231-DCWP,19332TV,
INS-000906060,,2031000-DCA,,1552.0
INS-000900986,,2117327-DCWP,,2495.0
INS-000903419,1587,2114007-DCA,,1587.0
INS-000905684,,1385264-DCA,,1693.0
INS-000905686,,1385264-DCA,,1745.0
INS-000896747,7192,1196452-DCA,24091TT,
INS-000900773,,1409754-DCA,,2090.0
INS-000896737,9066,1015604-DCA,17543TV,
INS-000900825,,2114021-DCA,,1840.0
INS-000898684,1624,2130462-DCWP,,1624.0
INS-000903810,,2107678-DCA,,1657.0
INS-000900488,,2083194-DCA,,2131.0
INS-000905833,2053,2020511-DCA,,2053.0
INS-000900476,,2083194-DCA,,2147.0
INS-000900487,,2083194-DCA,,1594.0
INS-000903644,,2016300-DCA,,2259.0
INS-000904403,`,2113007-DCA,,1665.0
INS-000897488,,2113131-DCA,,2496.0
INS-000900835,,2114021-DCA,,1573.0
INS-000902547,,2031339-DCA,,2187.0
INS-000896737,9100,2016364-DCA,17525TV,
INS-000902341,,2114174-DCA,,1750.0
INS-000906504,,2051224-DCA,,2442.0
INS-000900481,,2083194-DCA,,2464.0
INS-000898735,,2016348-DCA,,1993.0
INS-000903891,,2107652-DCA,,1619.0
INS-000903197,,2016358-DCA,,1862.0
INS-000900470,,2083194-DCA,,2466.0
INS-000902700,,2104026-DCA,,1584.0
INS-000900738,1596,1409754-DCA,,1596.0
INS-000900357,,2029424-DCA,,2123.0
INS-000902615,,2113901-DCA,,1684.0
INS-000896737,9053,2127633-DCWP,17150TV,
INS-000899232,,2092061-DCA,,1983.0
INS-000903641,,2114369-DCA,,1711.0
INS-000901708,,2113870-DCA,,1714.0
INS-000906062,,2031000-DCA,,1967.0
INS-000898874,,2113953-DCA,,1970.0
INS-000896737,9034,2124386-DCWP,17537TV,
INS-000906381,,2113462-DCA,,1774.0
INS-000898088,9051,0832915-DCA,12138TV,
INS-000898011,,2126732-DCWP,,1574.0
INS-000903896,,2107652-DCA,,1620.0
INS-000902613,,2113901-DCA,,1845.0
INS-000905681,,1385264-DCA,,1507.0
INS-000900466,,2083194-DCA,,1849.0
INS-000903086,,2079256-DCA,,2398.0
INS-000896737,9035,2013489-DCA,17298TV,
INS-000896737,9038,2125501-DCWP,15972TV,
INS-000900798,,2114342-DCA,,1881.0
INS-000905680,,1385264-DCA,,1510.0
INS-000905771,,2113841-DCA,,1671.0
INS-000903637,,2114369-DCA,,2493.0
INS-000896737,8025.,2026018-DCA,19177TV,
INS-000905711,,2001706-DCA,,2201.0
