prevelance,q_5,q_4,q_8,q_10,q_3,q_2
Upper 95% CI 2011,16.3,31.7,70.8,70.7,18.5,12.0
Lower 95% CI 2016,12.2,21.5,66.5,62.4,15.7,9.7
Lower 95% CI 2010,12.9,28.8,65.4,59.4,,9.4
Lower 95% CI 2014,12.8,21.2,67.8,60.7,14.5,8.7
Lower 95% CI 2020,10.0,21.0,69.5,66.1,27.5,11.4
Prevalence 2014,13.9,22.5,69.9,64.2,15.6,9.6
Lower 95% CI 2019,10.8,20.8,68.4,64.2,15.0,11.3
Lower 95% CI 2018,11.8,22.4,67.0,59.7,14.6,10.2
Upper 95% CI 2020,12.0,23.7,74.0,73.2,30.3,13.6
Upper 95% CI 2015,15.3,24.9,71.6,68.1,17.4,10.8
Upper 95% CI 2017,14.4,24.2,71.6,68.8,16.3,11.2
Prevalence 2017,13.4,23.0,69.9,66.1,15.2,10.3
Upper 95% CI 2013,17.2,24.6,71.0,69.8,20.3,12.2
Upper 95% CI 2016,14.1,23.9,70.4,68.3,17.9,11.5
Lower 95% CI 2011,13.5,28.2,66.2,63.9,15.5,9.6
Prevalence 2015,14.3,23.7,69.9,65.5,16.3,9.9
Upper 95% CI 2018,13.8,25.0,71.1,65.8,16.8,12.1
Prevalence 2019,11.9,22.1,70.7,67.6,16.2,12.4
Prevalence 2011,14.8,29.9,68.6,67.4,16.9,10.7
Lower 95% CI 2017,12.5,21.8,68.0,63.4,14.2,9.5
Upper 95% CI 2010,15.3,31.8,69.4,65.1,,11.4
Lower 95% CI 2012,14.4,26.7,66.3,58.5,17.0,10.1
Upper 95% CI 2019,13.0,23.5,72.9,70.7,17.5,13.5
Lower 95% CI 2013,15.0,22.1,67.0,63.7,18.0,10.3
Prevalence 2012,15.5,28.2,68.5,61.8,18.3,11.1
Prevalence 2010,14.0,30.3,67.5,62.3,,10.3
Prevalence 2018,12.8,23.6,69.1,62.8,15.6,11.1
Prevalence 2013,16.1,23.3,69.0,66.8,19.1,11.2
Prevalence 2020,10.9,22.3,71.8,69.8,28.8,12.4
Upper 95% CI 2014,14.9,23.8,72.0,67.6,16.7,10.5
Upper 95% CI 2012,16.8,29.6,70.5,64.9,19.7,12.2
Prevalence 2016,13.1,22.7,68.5,65.4,16.8,10.5
Lower 95% CI 2015,13.3,22.5,68.1,62.7,15.2,9.1
