q_5
14.1
13.1
14.3
11.8
12.9
10.9
13.0
12.2
15.3
13.3
15.5
13.5
13.9
12.8
14.4
13.4
15.3
14.9
10.0
16.3
17.2
16.8
14.4
11.9
10.8
16.1
15.0
12.8
12.5
14.0
12.0
14.8
13.8
