cyc_helmet_greenwy,cyclists_all,cycfemalehell_greenwy,typeoftime
1359.0,2143.0,,Weekday
1504.0,2184.0,501.0,Weekend
1626.0,2912.0,439.0,Weekday
1715.0,3139.0,549.0,Weekend
22.0,120.0,,Weekday
2018.0,3749.0,563.0,Weekday
1055.0,1780.0,,Weekend
53.0,120.0,,Weekday
684.0,1244.0,,Weekday
54.0,125.0,,Weekday
133.0,426.0,,Weekday
1282.0,1891.0,400.0,Weekend
84.0,180.0,20.0,Weekday
1410.0,2031.0,370.0,Weekday
1237.0,1763.0,339.0,Weekday
604.0,1239.0,,Weekday
126.0,239.0,,Weekend
70.0,161.0,,Weekday
179.0,297.0,64.0,Weekend
143.0,253.0,54.0,Weekend
184.0,499.0,,Weekend
121.0,197.0,41.0,Weekend
1235.5,1802.5,225.0,Weekday
750.75,1395.0,,Weekend
246.0,460.0,,Weekday
1414.0,2365.0,442.0,Weekend
117.0,315.0,,Weekday
1673.0,2588.0,,Weekend
190.0,474.0,,Weekend
848.0,1174.0,,Weekend
776.0,1171.0,,Weekday
1531.0,2546.0,,Weekday
1052.0,1961.0,,Weekday
103.0,444.0,,Weekday
694.0,991.0,161.0,Weekday
240.0,1052.0,86.0,Weekday
2140.0,3891.0,675.0,Weekday
213.0,338.0,75.0,Weekend
1232.0,1841.0,,Weekday
843.0,1357.0,,Weekday
173.0,685.0,56.0,Weekend
15.0,79.0,,Weekday
121.0,223.0,33.0,Weekday
1434.0,2066.0,350.0,Weekday
107.0,195.0,33.0,Weekday
296.0,595.0,,Weekday
1534.0,3292.0,,Weekend
221.0,346.0,,Weekday
204.0,1098.0,59.0,Weekday
155.0,197.0,,Weekend
648.0,926.0,,Weekday
691.0,991.0,161.0,Weekday
144.0,551.0,50.0,Weekend
1604.0,2982.0,,Weekend
1000.0,1944.0,,Weekend
1089.0,1517.0,310.0,Weekend
460.0,715.0,,Weekday
294.0,436.0,,Weekday
779.0,1247.0,,Weekday
979.0,1456.0,,Weekday
927.0,1304.0,,Weekday
989.0,1733.0,,Weekend
1117.0,1992.0,,Weekend
741.0,1222.0,,Weekday
1261.0,2509.0,381.0,Weekend
216.0,920.0,60.0,Weekday
730.0,1061.0,198.0,Weekday
85.0,631.0,26.0,Weekday
1037.0,1881.0,,Weekend
145.0,377.0,,Weekend
86.0,169.0,16.0,Weekday
518.0,863.0,,Weekday
1138.0,2008.0,,Weekday
739.0,1050.0,173.0,Weekday
1363.0,2212.0,,Weekend
1231.0,2374.0,371.0,Weekend
430.0,651.0,,Weekday
55.0,128.0,,Weekday
204.0,357.0,,Weekday
99.0,175.0,,Weekend
114.0,205.0,,Weekend
1258.0,1748.0,382.0,Weekend
702.0,1239.0,,Weekday
703.0,1292.0,,Weekend
185.0,451.0,,Weekday
1543.0,2364.0,455.0,Weekday
155.0,650.0,59.0,Weekend
56.0,108.0,,Weekday
98.0,454.0,31.0,Weekend
