alluservolume,non_citibikecyc,locationid,cycmalehel_greenwy
398,120,13,
5127,1816,12,860.0
1546,223,13,88.0
1422,451,11,
1399,715,11,
1855,389,11,67.0
1398,1171,15,
2141,1174,14,
1335,172,13,64.0
2417,426,11,94.0
3061,2011,14,1084.0
6582,2547,12,1166.0
1658,1239,12,
1109,990,15,530.0
3245,530,11,117.0
3328,1304,12,
2212,1292,14,
2708,650,11,96.0
1583,336,13,138.0
1053,108,13,
4305,2008,12,
1170,926,15,
4990,2212,12,
1198,125,13,
2704,631,11,59.0
4829,2364,12,1088.0
1802,1239,14,
2256,1222,14,
2846,1395,14,
1137,197,13,80.0
1332,205,13,
2337,1247,14,
2359,1456,14,
4291,1961,12,
2215,499,11,
2244,444,11,
1226,1061,15,532.0
2216,1733,14,
887,651,15,
2245,1780,12,
1242,989,15,533.0
1315,426,11,
2638,1473,14,779.0
972,175,13,
738,595,15,
3607,2152,14,1003.0
6496,2002,12,1187.0
1353,161,13,
3126,2031,14,1040.0
1483,297,13,115.0
2763,474,13,
6512,2836,12,1455.0
1474,195,13,74.0
4387,2143,12,
3321,654,11,156.0
342,79,13,
1525,863,14,
464,346,15,
3148,754,11,154.0
3063,1891,14,882.0
4833,2588,14,
1672,460,11,
1325,120,13,
1219,1045,15,566.0
3909,1881,14,
3164,1798,14,554.0
1170,315,11,
1365,251,13,89.0
4808,2365,12,972.0
1396,128,13,
1122,239,13,
2776,1841,14,
2404,1244,14,
1591,377,11,
6525,3292,12,
556,436,15,
6448,2767,12,1465.0
3493,1944,14,
5064,1930,12,880.0
1764,1357,12,
1275,169,13,70.0
5072,1992,12,
3308,1741,14,876.0
3198,735,11,145.0
2205,197,13,
3040,1749,14,898.0
1153,357,11,
5043,2546,12,
5761,2982,12,
