jogger,alluservolume,walker,locationtype,location_lat,cyclists_female
573,3063,561,Off-Street,40.786529,608.0
1600,3321,776,Off-Street,40.718709,245.0
1255,4305,965,Off-Street,40.73534,
629,1422,334,Off-Street,40.718709,
243,1764,92,Off-Street,40.73534,
414,1153,372,Off-Street,40.718709,
537,1591,658,Off-Street,40.718709,
498,1315,374,Off-Street,40.718709,
89,1242,154,Off-Street,40.818769,218.0
1444,5064,1047,Off-Street,40.73534,796.0
90,1219,72,Off-Street,40.818769,232.0
382,1198,688,Off-Street,40.777374,
467,2359,421,Off-Street,40.786529,
576,2776,336,Off-Street,40.786529,
767,3040,495,Off-Street,40.786529,478.0
1894,5127,791,Off-Street,40.73534,843.0
665,2638,429,Off-Street,40.786529,414.0
364,2212,521,Off-Street,40.786529,
111,1170,115,Off-Street,40.818769,
137,342,120,Off-Street,40.777374,
1411,2708,623,Off-Street,40.718709,206.0
122,398,147,Off-Street,40.777374,
1395,3148,666,Off-Street,40.718709,275.0
605,3126,462,Off-Street,40.786529,529.0
728,1672,474,Off-Street,40.718709,
440,2337,622,Off-Street,40.786529,
381,1122,486,Off-Street,40.777374,
121,887,101,Off-Street,40.818769,
113,1226,47,Off-Street,40.818769,250.0
542,2404,551,Off-Street,40.786529,
1853,6582,1461,Off-Street,40.73534,1011.0
1796,5072,1211,Off-Street,40.73534,
597,2846,758,Off-Street,40.786529,
1317,2417,514,Off-Street,40.718709,173.0
1670,3245,874,Off-Street,40.718709,211.0
417,1053,526,Off-Street,40.777374,
404,2256,594,Off-Street,40.786529,
388,2216,63,Off-Street,40.786529,
507,2141,426,Off-Street,40.786529,
1407,3198,639,Off-Street,40.718709,251.0
502,1170,342,Off-Street,40.718709,
508,1474,769,Off-Street,40.777374,51.0
1014,4833,1132,Off-Street,40.786529,
362,2245,44,Off-Street,40.73534,
398,1353,793,Off-Street,40.777374,
470,1583,761,Off-Street,40.777374,107.0
2166,6525,752,Off-Street,40.73534,
853,3909,1069,Off-Street,40.786529,
1010,3328,901,Off-Street,40.73534,
557,3061,413,Off-Street,40.786529,502.0
552,1396,715,Off-Street,40.777374,
64,1109,50,Off-Street,40.818769,220.0
412,1399,236,Off-Street,40.718709,
386,1802,163,Off-Street,40.786529,
563,1483,616,Off-Street,40.777374,91.0
594,1546,725,Off-Street,40.777374,58.0
383,972,406,Off-Street,40.777374,
488,1137,450,Off-Street,40.777374,66.0
62,464,48,Off-Street,40.818769,
493,1275,612,Off-Street,40.777374,33.0
484,1365,619,Off-Street,40.777374,87.0
865,3308,678,Off-Street,40.786529,524.0
932,2763,1351,Off-Street,40.777374,
828,1855,549,Off-Street,40.718709,154.0
1650,6512,1028,Off-Street,40.73534,1044.0
320,1525,325,Off-Street,40.786529,
465,1325,736,Off-Street,40.777374,
1837,4990,828,Off-Street,40.73534,
1065,2244,716,Off-Street,40.718709,
1333,4387,854,Off-Street,40.73534,
262,1658,56,Off-Street,40.73534,
461,1335,685,Off-Street,40.777374,41.0
1211,2215,483,Off-Street,40.718709,
1356,2704,692,Off-Street,40.718709,178.0
61,738,71,Off-Street,40.818769,
1190,4291,1037,Off-Street,40.73534,
1757,6496,1767,Off-Street,40.73534,825.0
704,3607,694,Off-Street,40.786529,731.0
646,2205,1342,Off-Street,40.777374,
1403,4808,962,Off-Street,40.73534,782.0
1561,4829,852,Off-Street,40.73534,661.0
478,3493,1001,Off-Street,40.786529,
1370,5043,1034,Off-Street,40.73534,
112,1398,102,Off-Street,40.818769,
343,1332,778,Off-Street,40.777374,
1490,6448,1001,Off-Street,40.73534,1216.0
1415,5761,1145,Off-Street,40.73534,
785,3164,540,Off-Street,40.786529,312.0
51,556,64,Off-Street,40.818769,
