walker,location_long,year,citibike_all,cycmale_greenwy
521,-73.984584,2009,0,
561,-73.984584,2012,0,1283.0
495,-73.984584,2014,14,1285.0
474,-73.9741,2008,0,
1211,-74.010569,2010,0,
736,-73.942531,2008,0,
828,-74.010569,2011,0,
1028,-74.010569,2013,913,2697.0
342,-73.9741,2006,0,
154,-73.961127,2014,2,773.0
120,-73.942531,2006,0,
102,-73.961127,2011,0,
694,-73.984584,2013,32,1453.0
612,-73.942531,2012,0,136.0
48,-73.961127,2006,0,
1001,-73.984584,2007,0,
1034,-74.010569,2010,0,
514,-73.9741,2015,125,197.0
44,-74.010569,2009,0,
549,-73.9741,2013,65,150.0
752,-74.010569,2007,0,
616,-73.942531,2012,0,206.0
965,-74.010569,2009,0,
72,-73.961127,2015,5,818.0
71,-73.961127,2005,0,
101,-73.961127,2009,0,
374,-73.9741,2005,0,
429,-73.984584,2015,44,1103.0
540,-73.984584,2013,4,779.0
413,-73.984584,2015,55,1564.0
758,-73.984584,2005,0,
115,-73.961127,2010,0,
688,-73.942531,2007,0,
1767,-74.010569,2014,910,2022.0
147,-73.942531,2005,0,
426,-73.984584,2011,0,
1037,-74.010569,2008,0,
1145,-74.010569,2008,0,
639,-73.9741,2015,363,397.0
776,-73.9741,2014,266,371.0
716,-73.9741,2011,0,
47,-73.961127,2012,0,811.0
874,-73.9741,2014,155,270.0
769,-73.942531,2013,0,144.0
63,-73.984584,2010,0,
483,-73.9741,2011,0,
236,-73.9741,2009,0,
1047,-74.010569,2015,579,1694.0
678,-73.984584,2014,7,1224.0
64,-73.961127,2007,0,
50,-73.961127,2013,1,771.0
793,-73.942531,2011,0,
92,-74.010569,2006,0,
1132,-73.984584,2008,0,
692,-73.9741,2012,0,154.0
685,-73.942531,2015,8,139.0
450,-73.942531,2014,0,131.0
56,-74.010569,2005,0,
854,-74.010569,2011,0,
462,-73.984584,2012,0,1502.0
421,-73.984584,2009,0,
658,-73.9741,2010,0,
623,-73.9741,2012,0,175.0
1001,-74.010569,2015,1124,2663.0
622,-73.984584,2008,0,
372,-73.9741,2010,0,
325,-73.984584,2006,0,
901,-74.010569,2007,0,
1342,-73.942531,2007,0,
594,-73.984584,2007,0,
666,-73.9741,2013,298,400.0
526,-73.942531,2009,0,
334,-73.9741,2007,0,
791,-74.010569,2014,558,1513.0
725,-73.942531,2014,0,165.0
551,-73.984584,2005,0,
406,-73.942531,2011,0,
336,-73.984584,2011,0,
1351,-73.942531,2008,0,
619,-73.942531,2015,2,166.0
852,-74.010569,2012,0,1702.0
761,-73.942531,2013,2,231.0
1461,-74.010569,2013,592,2112.0
962,-74.010569,2012,0,1570.0
163,-73.984584,2010,0,
1069,-73.984584,2006,0,
778,-73.942531,2009,0,
715,-73.942531,2010,0,
486,-73.942531,2010,0,
