sector,property_updated
X-SA,2015-10-06T09:48:00.000
X-SC,
X-SG,2016-01-22T12:43:00.000
X-SD,2015-10-19T13:14:00.000
X-SG,2016-01-18T10:00:00.000
X-SA,2015-10-07T11:37:00.000
X-SA,2016-06-24T15:04:00.000
X-SG,2016-02-06T13:57:00.000
X-SB,
X-SA,
X-SC,
X-SA,2015-12-22T14:11:00.000
X-SG,2016-01-26T09:23:00.000
X-SA,2015-10-07T11:37:00.000
X-SB,2015-10-27T16:29:00.000
X-SB,2016-03-28T09:28:00.000
X-SA,
X-SG,2016-01-22T12:43:00.000
X-SG,
X-SD,2015-10-19T13:14:00.000
X-SD,2015-10-19T13:14:00.000
X-SD,2015-10-19T13:14:00.000
X-SA,2015-12-22T14:11:00.000
X-SG,
X-SD,2015-10-19T13:14:00.000
X-SC,
X-SG,
X-SA,2016-06-24T15:04:00.000
X-SD,2015-10-19T13:14:00.000
X-SB,2016-03-28T09:29:00.000
X-SA,
M-SA,2016-03-15T14:13:00.000
X-SB,
X-SD,2015-10-19T13:14:00.000
X-SA,2015-10-06T09:48:00.000
X-SG,2016-01-22T12:43:00.000
X-SG,
X-SD,2015-10-19T13:14:00.000
X-SG,
X-SA,
X-SB,
X-SB,
X-SG,2016-02-06T13:57:00.000
X-SD,
X-SA,2016-06-24T15:04:00.000
X-SG,
X-SG,
M-SA,2016-04-01T08:09:00.000
X-SA,2015-10-06T09:48:00.000
X-SG,2016-02-06T13:57:00.000
X-SA,2015-12-22T14:11:00.000
X-SG,2016-01-26T09:23:00.000
M-SA,2016-04-01T08:09:00.000
X-SA,2015-10-06T10:16:00.000
X-SB,
X-SG,2016-02-06T13:57:00.000
X-SA,
X-SB,
X-SD,
X-SB,
M-SA,2016-04-01T08:09:00.000
X-SD,2015-10-19T13:14:00.000
X-SC,
X-SG,2016-01-18T10:00:00.000
X-SA,2016-06-24T15:04:00.000
X-SG,2016-02-06T13:57:00.000
X-SG,2016-02-06T13:57:00.000
X-SB,2016-01-22T10:54:00.000
X-SG,
X-SA,2016-06-24T15:04:00.000
X-SD,2015-10-19T13:14:00.000
X-SG,
X-SA,
M-SA,2016-04-01T08:09:00.000
X-SA,2016-06-24T15:04:00.000
X-SG,2016-02-06T13:57:00.000
X-SB,
X-SC,
X-SA,
M-SA,2016-03-15T14:13:00.000
X-SA,2016-01-13T14:51:00.000
X-SD,2015-10-19T13:14:00.000
X-SA,2015-10-06T09:48:00.000
X-SA,2015-12-22T14:11:00.000
X-SA,2015-10-06T09:51:00.000
X-SA,2015-10-06T09:48:00.000
X-SA,2015-10-06T09:51:00.000
X-SD,
X-SG,2016-01-18T10:00:00.000
X-SA,
X-SA,
X-SD,2015-10-19T13:14:00.000
X-SG,2016-02-06T13:57:00.000
M-SA,
X-SA,
X-SB,
X-SG,2016-02-06T13:57:00.000
X-SG,
X-SD,
X-SG,2016-01-18T10:00:00.000
X-SG,2016-01-26T09:23:00.000
X-SG,
X-SG,
X-SA,2015-10-06T09:51:00.000
M-SA,2016-04-01T08:09:00.000
X-SA,2016-06-24T15:04:00.000
X-SD,2015-10-19T13:14:00.000
X-SA,2015-12-22T14:11:00.000
X-SG,
X-SG,
X-SA,
X-SG,2016-02-06T13:57:00.000
X-SD,
X-SC,
X-SA,2015-10-07T11:37:00.000
X-SB,
X-SG,
X-SD,2015-10-19T13:14:00.000
X-SG,
X-SG,2016-01-18T10:00:00.000
X-SG,
M-SA,2016-04-01T08:09:00.000
X-SA,2016-01-13T14:51:00.000
X-SG,2016-01-18T10:00:00.000
X-SD,2015-10-19T13:14:00.000
X-SD,2015-10-19T13:14:00.000
X-SG,2016-01-26T09:23:00.000
X-SG,2016-02-06T13:57:00.000
X-SD,2015-10-19T13:14:00.000
X-SA,
X-SA,
X-SA,
X-SB,
X-SG,
X-SG,
M-SA,2016-04-01T08:09:00.000
X-SD,
X-SG,2016-01-26T09:05:00.000
X-SD,2015-10-19T13:14:00.000
X-SB,
M-SA,2016-04-01T08:09:00.000
X-SA,2016-06-24T15:04:00.000
X-SG,2016-01-22T12:43:00.000
X-SA,2016-06-24T15:04:00.000
X-SA,
X-SG,2016-01-26T09:23:00.000
X-SF,
X-SD,2015-10-19T13:14:00.000
X-SG,2016-01-18T10:00:00.000
X-SG,2016-01-18T10:00:00.000
X-SB,
X-SA,2015-10-06T09:51:00.000
X-SB,
X-SB,
X-SG,
X-SB,
X-SA,
X-SA,
X-SA,2015-10-07T11:37:00.000
X-SA,2016-06-24T15:04:00.000
X-SA,2015-10-06T09:48:00.000
X-SA,
X-SA,2015-12-22T14:11:00.000
X-SA,
X-SA,2015-10-07T11:37:00.000
M-SA,
X-SG,
X-SA,
X-SD,2015-10-19T13:14:00.000
X-SA,2015-10-06T09:51:00.000
X-SA,2015-10-06T09:48:00.000
M-SA,2016-04-01T08:09:00.000
X-SB,
X-SG,
X-SA,2015-12-22T14:11:00.000
X-SG,2016-01-18T10:00:00.000
X-SD,2015-10-19T13:14:00.000
X-SG,2016-01-18T10:00:00.000
X-SA,
X-SB,
X-SD,2015-10-19T13:14:00.000
X-SA,2016-01-13T14:51:00.000
M-SA,2016-03-15T14:13:00.000
M-SA,
M-SA,2016-04-01T08:09:00.000
X-SG,
X-SG,
X-SB,
X-SG,
M-SA,2016-04-01T08:09:00.000
X-SA,2016-01-13T14:51:00.000
X-SG,2016-01-26T09:23:00.000
X-SA,2016-06-24T15:04:00.000
M-SA,
X-SA,2015-10-06T09:51:00.000
X-SA,
X-SA,
X-SG,2016-01-18T10:00:00.000
X-SA,
X-SG,2016-01-26T09:05:00.000
