site_id,female,hispanic,male_1,asian_1,hispanic_1,white,total_pre_k_enrollment_half,asian
MANG,s,s,s,s,s,7,14,s
04M375,18,11,0.4545454545,s,0.3333333333,s,33,s
03M149,13,7,0.5185185185,s,0.2592592593,s,27,s
05M125,16,14,0.5789473684,s,0.3684210526,8,38,s
MAZI,s,s,s,s,s,s,s,s
MAUZ,8,11,0.5,s,0.6875,s,16,s
MAPL,20,s,0.4285714286,0.2285714286,s,24,35,8
01M361,15,13,0.5454545455,s,0.3939393939,14,33,s
03M163,13,11,0.5517241379,s,0.3793103448,9,29,s
MAVB,18,28,0.4705882353,s,0.8235294118,s,34,s
01M364,17,10,0.5277777778,s,0.2777777778,16,36,s
MAXZ,14,10,0.5,0.5,0.3571428571,s,28,14
02M116,25,8,0.4680851064,0.1489361702,0.170212766,24,47,7
05M129,20,25,0.5555555556,s,0.5555555556,s,45,s
02M225,33,s,0.3888888889,0.1111111111,s,41,54,6
MAUQ,9,s,0.625,s,s,15,24,s
02M267,8,s,0.5555555556,s,s,16,18,s
MAUW,13,s,0.5357142857,1,s,s,28,28
MAWD,s,7,s,s,0.6363636364,s,11,s
XASN,s,10,s,s,0.8333333333,s,12,s
MAVY,s,s,s,s,s,s,s,s
MACU,14,9,0.6111111111,s,0.25,20,36,s
02M150,9,s,0.5,s,s,8,18,s
MAUR,s,6,s,s,0.6,s,10,s
03M009,s,s,s,s,s,14,18,s
MAUC,s,9,s,s,0.5625,s,16,s
02M347,25,16,0.5833333333,s,0.2666666667,23,60,s
MAWI,26,40,0.3953488372,s,0.9302325581,s,43,s
MAGR,22,19,0.3888888889,s,0.5277777778,8,36,s
05M036,25,34,0.5283018868,s,0.641509434,s,53,s
MADO,20,20,0.4736842105,s,0.5263157895,7,38,s
MAQA,s,6,s,s,0.75,s,8,s
MBGS,9,10,0.5714285714,s,0.4761904762,s,21,s
MAUT,10,10,0.4736842105,s,0.5263157895,s,19,s
05M133,8,8,0.5294117647,s,0.4705882353,s,17,s
MBJV,16,s,0.5,0.71875,s,s,32,23
MAPY,s,s,s,0.8235294118,s,s,17,14
MAUN,17,11,0.5641025641,s,0.2820512821,19,39,s
MASV,s,s,s,s,s,s,7,s
MAUY,8,s,0.652173913,0.8260869565,s,s,23,19
MAVA,s,s,s,s,s,s,s,s
03M084,18,8,0.5,s,0.2222222222,20,36,s
MAWG,46,73,0.5,s,0.7934782609,s,92,s
Z065,19,7,0.4411764706,s,0.2058823529,20,34,s
05M030,13,13,0.4347826087,s,0.5652173913,s,23,s
05M200,21,11,0.4324324324,s,0.2972972973,s,37,s
05M046,25,25,0.4680851064,s,0.5319148936,s,47,s
MAUM,14,s,0.5625,1,s,s,32,32
05M175,9,s,0.5,s,s,s,18,s
02M126,20,6,0.3548387097,0.4838709677,0.1935483871,s,31,15
MBBG,27,12,0.4489795918,s,0.2448979592,s,49,s
03M191,31,10,0.5230769231,s,0.1538461538,25,65,s
01M137,s,s,s,s,s,s,10,s
MAMQ,42,47,0.4246575342,s,0.6438356164,10,73,s
MATL,28,s,0.5,0.9464285714,s,s,56,53
02M343,20,s,0.4444444444,s,s,21,36,s
MAQG,s,s,s,s,s,s,7,s
01M063,9,10,0.4,s,0.6666666667,s,15,s
MATK,20,22,0.4871794872,s,0.5641025641,8,39,s
MAUE,s,s,s,s,s,s,s,s
MAZS,11,17,0.3888888889,s,0.9444444444,s,18,s
MAVX,14,18,0.3636363636,s,0.8181818182,s,22,s
05M197,9,12,0.75,s,0.3333333333,s,36,s
MAED,18,11,0.4,0.3,0.3666666667,s,30,9
02M397,16,s,0.5428571429,s,s,21,35,s
MATB,10,s,0.4736842105,s,s,s,19,s
MAVN,15,18,0.5161290323,s,0.5806451613,s,31,s
