site_name,female_1,black,white_1,other_1
P.S. 281 The River School,0.5294117647,s,0.5588235294,s
Hudson Guild,s,s,s,s
P.S. 096 Joseph Lanzetta,s,s,s,s
P.S. 188 The Island School,0.4193548387,7,s,s
Evolution Enrichment Center,0.6315789474,s,0.3157894737,s
Milestones UWS,s,s,s,s
Union Carver Early Childhood Program,0.4827586207,18,s,s
Pre-K Center at 2-26 Washington St,0.5,s,0.5714285714,s
P.S. 171 Patrick Henry,0.5142857143,7,s,s
Neighborhood School,0.5625,s,0.625,s
PlaytogetherNYC,0.4,s,0.5333333333,s
P.S. 89,0.3888888889,s,0.5555555556,s
The Children's Aid Society Milbank Early Childhood Program,s,s,s,s
Community Life Center 1,0.5,26,s,s
East Harlem Block Nursery 1,s,s,s,s
Henry Street Settlement Family School,s,s,s,s
CPC Little Star of Broome Street,0.4705882353,s,s,s
"P.S. 145, The Bloomingdale School",0.5306122449,10,0.3265306122,s
P.S. 034 Franklin D. Roosevelt,0.6666666667,8,s,s
P.S. 146 Ann M. Short,0.5882352941,10,s,s
Central Park East I,0.5,s,s,s
The Children's Aid Societ Frederick Douglass Early Childhood Program,0.3870967742,s,s,s
Victoria Children's Group,s,s,s,s
Dawning Village,s,s,s,s
My Little Language School,0.5357142857,s,0.5714285714,s
P.S. 011 William T. Harris,0.5,s,0.5,s
P.S. 076 A. Philip Randolph,0.5510204082,34,s,s
P.S. 180 Hugo Newman,0.5942028986,22,0.231884058,s
Dewitt Reformed Church Head Start,0.6,9,s,s
P.S. 020 Anna Silver,0.5434782609,s,s,0.152173913
P.S. 087 William Sherman,0.3888888889,s,0.4444444444,s
Teachers College Community School,0.6666666667,s,0.4444444444,s
Hamilton Madison House EarlyLearn Center 2,0.4615384615,s,s,s
P.S. 110 Florence Nightingale,0.3793103448,s,0.4137931034,s
Harlem Children's Zone Head Start,0.5333333333,20,s,s
Central Park East II,0.4444444444,s,0.5,s
Sixth Avenue Elementary School,0.4857142857,s,0.6857142857,0.1
P.S. 194 Countee Cullen,0.5,6,s,s
Center Annex (Tibeca Early Childhood Center),s,s,s,s
Mabel Barrett Fitzgerald DCC,s,s,s,s
P.S. 111 Adolph S. Ochs,0.6216216216,s,0.2162162162,s
Goddard Riverside Preschool @W83rd 2,s,s,s,s
P.S. 212 Midtown West,0.5555555556,s,0.4444444444,0.1944444444
BMCC Early Childhood Center,0.5714285714,s,s,s
Chinese Community Concerns Corp.,0.4848484848,s,s,s
Leggett Memorial,0.6,s,s,s
P.S. 033 Chelsea Prep,0.6,s,0.2333333333,s
P.S. 083 Luis Munoz Rivera,0.5,s,s,s
P.S. 134 Henrietta Szold,0.6,s,s,s
Creative Steps Early Childhood Center,0.5714285714,s,0.7857142857,s
P.S. 184m Shuang Wen,0.6111111111,s,s,s
P.S. 142 Amalia Castro,0.5,s,s,s
P.S. 130 Hernando De Soto,s,s,s,s
P.S. 007 Samuel Stern,0.4642857143,13,s,s
E Harlem CHS Bilingual Head Start - 111th,0.6551724138,s,s,s
East Harlem Center,s,s,s,s
Finger Painted Hands,0.6111111111,s,0.5555555556,s
Childcare Partners NY West,0.5,s,0.5,s
Grand St Settlement Head Start Center,0.6,s,s,s
Pequenos Souls Day Care Center,s,6,s,s
Union Johnson Early Childhood Programs,0.4838709677,s,s,s
P.S. 064 Robert Simon,0.55,s,s,s
P.S. 040 Augustus Saint-Gaudens,0.4444444444,s,0.6388888889,s
Imagine Early Learning Center @ East 97th Street,s,s,0.6428571429,s
P.S. 042 Benjamin Altman,0.5,s,s,s
St. Gregory the Great School,0.4722222222,9,0.2777777778,s
