project_address,longitude,community_board
"1809 7th Ave, Suite 3E New York, New York 10026",-73.955112,10
"151 Lawrence Street, 3rd Floor Brooklyn, New York 11201",-73.986297,2
"101 Avenue D, Suite 12E New York, New York 10009",-73.976323,3
"505 W. 171 Street New York, New York 10032",-73.935885,12
