organization,project_title,project_address,bin,fy_award
Silent Cry Inc.,Silent Cry,"1809 7th Ave, Suite 3E New York, New York 10026",1054938,12000.0
The Lower Eastside Girls Club,POP (Power of Peace) Coalition - Police Community Relations Improvement Initiative,"101 Avenue D, Suite 12E New York, New York 10009",1089381,12000.0
Fresh Youth Initiatives,Community Connections: Spring Police-Youth Relations,"505 W. 171 Street New York, New York 10032",1063082,12000.0
Center for Alternative Sentencing and Employment Services,Improving Youth-Family-Police Relations in Harlem,"151 Lawrence Street, 3rd Floor Brooklyn, New York 11201",3000404,12000.0
