opt_code,total_passengers,unique_destinations,total_vehicles
11627,417,3,12
9468,2363,20,67
28690,1051,18,35
14023,3020,54,117
17756,1021,11,30
17408,44,1,2
11532,2106,18,59
14586,1578,38,60
26674,562,9,17
23669,906,15,41
15879,140,5,9
25237,10682,19,252
8547,1255,8,37
18637,436,10,17
22707,1097,9,32
31505,1356,37,57
16409,426,6,15
30442,1411,13,69
24311,2508,28,81
2067,172,5,7
27155,1118,13,32
11552,922,18,33
6687,1412,10,39
2432,258,2,7
7458,916,6,30
30222,1150,8,34
10059,783,15,32
31736,149,4,4
17191,1818,14,73
18365,132,6,7
27739,624,6,17
24488,1805,11,123
13256,1627,19,57
20102,4466,48,139
10807,290,7,12
31055,2661,23,98
31168,655,9,23
31133,1226,26,61
11416,44,3,3
9466,931,16,38
14966,132,1,3
25189,2962,25,81
10340,3948,17,142
2710,308,11,13
20835,751,7,21
16004,234,5,8
31778,953,10,28
27114,4037,32,129
19938,2328,33,86
20407,531,11,20
31547,3093,73,114
7527,816,14,26
18705,466,9,15
24009,6452,38,213
22634,2315,11,61
29752,166,3,9
13668,273,3,7
23697,393,12,17
21727,419,6,13
6004,1927,15,83
3811,40,1,1
22785,563,7,20
2876,425,16,16
22616,4603,47,147
7023,52,3,3
24023,1188,10,81
8704,55,1,2
