total_2_fuel_oil_without,total_biodiesel_blended_with
0.0,0.0
0.0,0.0
309182.9778,17888.64
0.0,0.0
864334.1432,65408.87
955381.0011,101511.69
88429.28788,5493.76
2597678.337,174655.29
2770203.645,173768.55
2398218.092,152383.44
3772739.188,256550.3
0.0,0.0
1978101.032,117910.81
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
144453.9261,11572.77
57321.13949,2985.4
0.0,0.0
0.0,0.0
880477.5144,63083.56
0.0,0.0
0.0,0.0
2525057.873,155424.19
0.0,0.0
0.0,0.0
580946.354,35935.43
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
813111.1363,51346.45
0.0,0.0
0.0,0.0
239469.2545,19617.77
4074508.923,322481.3
0.0,0.0
1398910.036,100001.55
0.0,0.0
43763.7519,2259.23
417905.038,29241.53
0.0,0.0
0.0,0.0
0.0,0.0
1834623.774,129434.45
1946812.917,127051.1
0.0,0.0
1249887.085,80170.08
0.0,0.0
157179.241,16050.32
1180227.313,77004.2
1643399.629,110609.58
6218.637098,386.34
0.0,0.0
2325046.761,143874.42
0.0,0.0
155166.399,13268.69
0.0,0.0
0.0,0.0
2880394.463,170909.61
0.0,0.0
1339716.619,106538.19
0.0,0.0
0.0,0.0
3021181.044,190331.19
1046466.041,66895.97
0.0,0.0
1172573.539,82481.84
0.0,0.0
0.0,0.0
2002752.485,116223.31
2846575.635,176447.61
0.0,0.0
1463666.576,84723.84
9879.103734,1908.74
0.0,0.0
0.0,0.0
864830.6591,55347.23
1140772.482,81332.57
2722829.537,167517.13
0.0,0.0
1527644.432,86966.23
240657.6211,18053.56
0.0,0.0
0.0,0.0
0.0,0.0
1438219.602,97977.25
0.0,0.0
0.0,0.0
10969479.2,694836.77
410132.3271,26154.09
0.0,0.0
172021.4249,9944.69
11734.34876,605.77
381077.7603,28020.91
0.0,0.0
20076.74761,1247.29
1600339.573,99306.79
0.0,0.0
1615781.209,91427.38
2744753.584,159861.75
0.0,0.0
29178.71118,1812.76
1299824.165,77847.73
1219258.64,72977.25
1857566.414,119390.26
0.0,0.0
0.0,0.0
98276.70007,5813.95
0.0,0.0
816923.9437,106916.43
634522.1022,60160.7
0.0,0.0
1373928.281,136353.19
0.0,0.0
0.0,0.0
0.0,0.0
34346.72708,1900.14
0.0,0.0
1149081.527,71220.89
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2503.235234,155.52
2443263.261,167661.72
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
1687081.848,117270.61
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
18874.39367,1172.59
0.0,0.0
0.0,0.0
0.0,0.0
657942.3541,47429.69
0.0,0.0
2511883.109,150804.57
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
3845.849281,408.9
364400.4657,26641.66
0.0,0.0
278190.2551,20943.31
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
889842.6014,61196.16
0.0,0.0
0.0,0.0
796.8997458,41.14
744034.1224,54312.97
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
758598.7747,57478.26
1212426.554,87010.09
600991.3802,47350.35
0.0,0.0
0.0,0.0
2548155.006,199555.82
660412.4574,44064.87
0.0,0.0
0.0,0.0
0.0,0.0
1876003.647,122031.61
0.0,0.0
0.0,0.0
0.0,0.0
1954757.401,117891.14
354468.6681,30563.09
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
2002.588187,124.41
63129.01891,5291.61
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
0.0,0.0
