total_biodiesel_blended_with_2,_2_fuel_oil_with_6_biodiesel,total_4_fuel_oil_without
0.0,0.0,0.0
0.0,0.0,0.0
22882.22603,188941.2181,395908.531
0.0,0.0,0.0
18322.73684,302211.1788,346110.3193
5149.00937,176472.5005,93634.66639
0.0,89936.79014,0.0
67900.32213,1379408.6,1232179.941
86105.76244,2057001.621,1529107.918
52227.5217,1531633.802,912327.6202
118637.0106,2285866.435,2140103.617
0.0,0.0,0.0
35682.68985,1083976.101,634032.7651
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,65596.24757,0.0
1432.471605,3541.326447,27529.99695
0.0,0.0,0.0
0.0,0.0,0.0
8052.895559,337012.0784,154764.806
0.0,0.0,0.0
0.0,0.0,0.0
56947.14666,1318817.578,956560.2677
0.0,0.0,0.0
0.0,0.0,0.0
5228.117793,185618.0346,100371.5966
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1830.942975,0.0,33343.89846
14234.59972,535456.1809,248304.61
0.0,0.0,0.0
0.0,0.0,0.0
0.0,121156.3131,0.0
88788.32973,2883088.506,1455671.828
0.0,0.0,0.0
10752.6874,485595.339,193010.1806
0.0,0.0,0.0
0.0,794.6891054,0.0
0.0,318359.979,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
16693.85848,1201744.129,285026.1056
48912.84644,968341.77,852929.3873
0.0,0.0,0.0
27821.62538,523806.2921,488564.9886
1540.924343,0.0,24467.06594
1156.325439,19331.29327,22222.87387
24981.18159,686603.0955,425698.8368
12883.14147,491891.7661,230815.5482
0.0,6324.649593,0.0
0.0,0.0,0.0
94087.10799,1205872.11,1737282.108
0.0,0.0,0.0
0.0,55598.10603,0.0
0.0,0.0,0.0
0.0,0.0,0.0
43825.23105,1846475.244,830625.7608
0.0,0.0,0.0
33896.36656,591131.2026,640538.6937
0.0,0.0,0.0
0.0,0.0,0.0
75016.09467,1529354.794,1369391.964
10174.70612,769562.0689,174403.2592
0.0,0.0,0.0
2679.363609,890712.4197,51493.42695
0.0,0.0,0.0
0.0,0.0,0.0
90261.67055,1166921.425,1596236.358
33682.13328,1997289.213,591198.3987
0.0,0.0,0.0
29169.4142,808944.4009,495618.3589
0.0,203.5432477,0.0
0.0,0.0,0.0
0.0,0.0,0.0
24829.6536,266703.0157,474885.9183
5670.693292,819264.8591,95420.68336
99671.72616,1590487.557,1767435.644
0.0,0.0,0.0
36437.09352,597320.3405,626845.5264
0.0,161887.0234,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
63485.72011,541632.9519,1125198.657
0.0,0.0,0.0
0.0,0.0,0.0
164602.4667,10696172.43,2655601.818
5332.614296,171219.8544,102485.002
0.0,0.0,0.0
4088.191491,37860.74922,72752.76211
0.0,213.079517,0.0
0.0,277360.3974,0.0
0.0,0.0,0.0
0.0,20419.00687,0.0
81056.13056,916694.7707,1431283.373
0.0,0.0,0.0
76719.90496,683598.1495,1335827.6
80206.3861,1466960.737,1421825.237
0.0,0.0,0.0
2028.968458,29676.13657,32216.31565
12025.49946,530846.0662,220451.1787
7328.251944,621244.1239,116359.2647
53153.61818,979530.7495,922810.1619
0.0,0.0,0.0
0.0,0.0,0.0
24227.45858,72218.85629,388815.0402
0.0,0.0,0.0
6378.025505,223052.2566,122576.2675
26336.14294,191520.7421,446800.1578
0.0,0.0,0.0
33874.00502,488023.6653,615767.5476
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1426.564871,12706.38263,27416.47819
0.0,0.0,0.0
56240.71208,751069.8326,1042930.737
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,2545.909249,0.0
98921.47235,1290288.421,1766182.124
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
41435.88837,731985.8541,749700.9616
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
1173.216142,19196.15574,18628.53088
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,500095.8157,0.0
0.0,0.0,0.0
47129.10572,1275270.519,792848.5801
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,73.46765347,0.0
2632.584695,107649.5112,50594.40504
0.0,0.0,0.0
0.0,178153.1056,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
48658.62192,522260.5972,897273.5812
0.0,0.0,0.0
0.0,0.0,0.0
121.116726,14.47059538,1923.112536
2147.415895,460747.9364,34097.04475
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
3679.149506,521785.0831,58455.81698
34473.50181,581201.0608,609735.5703
25882.28543,313798.2604,479317.2558
0.0,0.0,0.0
0.0,0.0,0.0
36554.10956,1878511.732,639956.6454
15944.09918,439196.3663,260938.3261
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
31529.12479,751311.818,573591.5459
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
57311.55208,675147.0822,1041560.057
0.0,154396.6287,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,2036.727399,0.0
3477.697467,9276.434131,66836.22927
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
0.0,0.0,0.0
