tpep_dropoff_datetime,total_amount,pulocationid,tolls_amount,extra,trip_distance
2022-01-01T00:53:24.000,33.96,249,0.0,0.5,7.26
2022-01-01T00:35:01.000,11.8,114,0.0,0.5,1.3
2022-01-01T01:14:24.000,41.05,138,0.0,0.5,6.67
2022-01-01T00:21:56.000,13.3,142,0.0,3.0,2.6
2022-01-01T00:39:53.000,12.3,246,0.0,3.0,1.6
2022-01-01T00:41:46.000,8.8,148,0.0,0.5,0.68
2022-01-01T01:10:40.000,30.25,262,0.0,3.0,4.4
2022-01-01T00:39:38.000,12.35,239,0.0,3.0,1.0
2022-01-01T00:52:14.000,24.96,68,0.0,0.5,4.62
2022-01-01T01:02:35.000,24.36,186,0.0,0.5,4.29
2022-01-01T01:07:49.000,13.56,137,0.0,0.5,1.5
2022-01-01T01:09:19.000,31.8,24,0.0,0.5,6.26
2022-01-01T00:17:15.000,12.95,161,0.0,3.0,1.2
2022-01-01T01:08:29.000,27.0,113,0.0,3.0,4.3
2022-01-01T01:25:09.000,67.86,132,0.0,0.0,18.81
2022-01-01T00:47:28.000,20.75,148,0.0,2.5,4.2
2022-01-01T00:20:51.000,28.34,68,0.0,0.5,4.89
2022-01-01T00:56:25.000,31.85,170,6.55,0.5,6.5
2022-01-01T00:42:02.000,15.96,164,0.0,0.5,1.74
2022-01-01T00:58:28.000,9.36,263,0.0,0.5,0.77
2022-01-01T01:01:55.000,25.4,132,0.0,1.75,5.3
2022-01-01T01:29:35.000,30.0,68,0.0,0.5,6.29
2022-01-01T00:31:13.000,20.16,162,0.0,0.5,3.07
2022-01-01T00:52:10.000,22.55,48,0.0,3.0,2.7
2022-01-01T00:39:38.000,13.3,163,0.0,0.5,1.21
2022-01-01T01:01:45.000,20.3,170,0.0,3.0,4.8
2022-01-01T00:40:25.000,29.76,233,0.0,0.5,5.88
2022-01-01T00:34:54.000,8.8,233,0.0,0.5,0.63
2022-01-01T00:57:29.000,11.3,113,0.0,0.5,0.61
2022-01-01T01:15:31.000,75.72,132,6.55,0.0,20.9
2022-01-01T01:05:20.000,15.35,237,0.0,2.5,2.2
2022-01-01T00:23:30.000,15.99,142,0.0,0.5,0.99
2022-01-01T00:40:39.000,22.55,132,0.0,0.5,6.32
2022-01-01T01:14:37.000,23.76,164,0.0,0.5,3.73
2022-01-01T00:34:07.000,14.1,249,0.0,3.0,1.3
2022-01-01T00:11:44.000,8.3,141,0.0,0.5,0.76
2022-01-01T01:07:41.000,23.76,50,0.0,3.0,3.9
2022-01-01T01:03:26.000,10.3,162,0.0,3.0,0.5
2022-01-01T00:47:36.000,13.56,43,0.0,0.5,1.43
2022-01-01T00:38:11.000,14.05,239,0.0,3.0,1.7
2022-01-01T00:46:06.000,16.55,107,0.0,3.0,2.5
2022-01-01T01:15:22.000,27.96,162,0.0,0.5,3.81
2022-01-01T00:57:53.000,14.15,239,0.0,3.0,1.6
2022-01-01T00:26:49.000,8.76,263,0.0,3.0,0.3
2022-01-01T00:13:40.000,8.3,186,0.0,0.5,0.56
2022-01-01T00:55:02.000,54.05,132,0.0,0.5,19.14
2022-01-01T00:45:37.000,24.35,68,0.0,3.0,4.5
2022-01-01T01:10:59.000,28.8,141,0.0,0.5,8.15
2022-01-01T01:02:19.000,10.56,166,0.0,0.5,0.97
2022-01-01T00:34:58.000,26.0,233,0.0,0.5,5.07
2022-01-01T01:08:06.000,28.56,79,0.0,0.5,5.95
2022-01-01T00:37:57.000,17.75,90,0.0,3.0,2.2
2022-01-01T00:47:22.000,12.36,170,0.0,0.5,1.14
2022-01-01T00:54:44.000,3.8,265,0.0,0.5,0.1
2022-01-01T00:36:31.000,12.7,140,0.0,3.0,1.3
2022-01-01T00:55:40.000,13.3,144,0.0,0.5,1.91
2022-01-01T00:14:17.000,14.76,166,0.0,0.5,1.91
2022-01-01T01:07:07.000,26.65,239,0.0,3.0,4.9
2022-01-01T01:12:04.000,18.36,246,0.0,0.5,2.16
2022-01-01T01:09:48.000,56.35,138,6.55,3.0,10.3
2022-01-01T00:29:17.000,4.8,74,0.0,0.5,0.3
2022-01-01T00:57:32.000,15.95,68,0.0,3.0,1.9
2022-01-01T01:29:25.000,23.8,45,0.0,0.5,4.9
2022-01-01T00:45:35.000,9.3,263,0.0,0.5,1.11
2022-01-01T00:24:49.000,6.3,263,0.0,3.0,0.0
2022-01-01T00:44:46.000,8.3,234,0.0,0.5,0.73
2022-01-01T01:05:45.000,11.8,239,0.0,0.5,1.58
