tpep_pickup_datetime,improvement_surcharge,passenger_count,store_and_fwd_flag,airport_fee,ratecodeid
2022-01-01T00:18:39.000,0.3,2.0,N,0.0,1.0
2022-01-01T00:33:42.000,0.3,1.0,N,1.25,1.0
2022-01-01T00:58:11.000,0.3,4.0,N,0.0,1.0
2022-01-01T00:55:16.000,0.3,4.0,N,0.0,1.0
2022-01-01T00:41:40.000,0.3,0.0,N,0.0,1.0
2022-01-01T00:50:22.000,0.3,1.0,Y,0.0,1.0
2022-01-01T00:40:23.000,0.3,2.0,N,0.0,1.0
2022-01-01T00:37:59.000,0.3,2.0,N,0.0,1.0
2022-01-01T00:33:50.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:41:16.000,0.3,2.0,N,0.0,1.0
2022-01-01T00:35:50.000,0.3,2.0,N,0.0,1.0
2022-01-01T00:21:01.000,0.3,2.0,N,0.0,1.0
2022-01-01T00:48:29.000,0.3,1.0,N,1.25,2.0
2022-01-01T00:34:34.000,0.3,2.0,N,1.25,2.0
2022-01-01T00:05:26.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:25:25.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:25:21.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:19:52.000,0.3,2.0,N,0.0,1.0
2022-01-01T00:10:27.000,0.3,1.0,N,1.25,2.0
2022-01-01T00:31:10.000,0.3,2.0,N,0.0,1.0
2022-01-01T00:14:04.000,0.3,2.0,N,0.0,1.0
2022-01-01T00:42:45.000,0.3,2.0,N,1.25,1.0
2022-01-01T00:21:16.000,0.3,4.0,N,0.0,1.0
2022-01-01T00:13:35.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:05:57.000,0.3,1.0,N,1.25,1.0
2022-01-01T00:13:17.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:59:01.000,0.3,2.0,N,0.0,1.0
2022-01-01T00:25:38.000,0.3,4.0,N,0.0,1.0
2022-01-01T00:32:36.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:20:10.000,0.3,2.0,N,0.0,1.0
2022-01-01T00:58:12.000,0.3,2.0,N,0.0,1.0
2022-01-01T00:23:54.000,0.3,2.0,N,0.0,1.0
2022-01-01T00:43:15.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:27:30.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:18:50.000,0.3,3.0,N,0.0,1.0
2022-01-01T00:49:40.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:14:00.000,0.3,5.0,N,0.0,1.0
2022-01-01T00:43:30.000,0.3,3.0,N,0.0,1.0
2022-01-01T00:33:43.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:44:36.000,0.3,2.0,N,0.0,1.0
2022-01-01T00:26:37.000,-0.3,1.0,N,-1.25,1.0
2022-01-01T00:32:24.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:17:11.000,0.3,4.0,N,0.0,1.0
2022-01-01T00:43:31.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:40:12.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:17:34.000,0.3,0.0,N,0.0,1.0
2022-01-01T00:17:55.000,0.3,1.0,N,1.25,1.0
2022-01-01T00:42:02.000,0.3,1.0,N,1.25,1.0
2022-01-01T00:31:45.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:13:04.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:23:23.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:58:21.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:58:41.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:11:39.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:50:01.000,0.3,3.0,N,0.0,1.0
2022-01-01T00:49:14.000,0.3,2.0,N,0.0,1.0
2022-01-01T00:50:07.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:43:49.000,0.3,3.0,N,0.0,1.0
2022-01-01T00:07:13.000,0.3,1.0,Y,0.0,1.0
2022-01-01T00:11:15.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:59:06.000,0.3,2.0,Y,0.0,1.0
2022-01-01T00:55:03.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:27:11.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:20:54.000,0.3,1.0,N,0.0,1.0
2022-01-01T00:55:13.000,0.3,4.0,N,0.0,1.0
2022-01-01T00:55:04.000,0.3,0.0,N,0.0,1.0
