tpep_dropoff_datetime,tpep_pickup_datetime,vendorid,payment_type,fare_amount,tip_amount,dolocationid,mta_tax,congestion_surcharge
2022-01-01T00:38:50.000,2022-01-01T00:24:13.000,2,2,12.0,0.0,170,0.5,2.5
2022-01-01T00:26:12.000,2022-01-01T00:17:34.000,1,1,8.0,2.35,234,0.5,2.5
2022-01-01T00:27:19.000,2022-01-01T00:10:42.000,2,1,11.5,4.59,237,0.5,2.5
2022-01-01T00:53:29.000,2022-01-01T00:35:40.000,1,1,14.5,3.65,236,0.5,2.5
2022-01-01T00:35:49.000,2022-01-01T00:28:57.000,2,1,7.0,2.7,170,0.5,2.5
2022-01-01T00:44:49.000,2022-01-01T00:30:02.000,2,1,12.0,2.25,236,0.5,2.5
2022-01-01T00:47:47.000,2022-01-01T00:43:40.000,2,2,4.5,0.0,186,0.5,2.5
2022-01-01T01:03:28.000,2022-01-01T00:41:14.000,2,1,15.5,3.86,144,0.5,2.5
2022-01-01T00:53:28.000,2022-01-01T00:48:52.000,2,2,5.0,0.0,141,0.5,2.5
2022-01-01T18:40:52.000,2022-01-01T18:04:06.000,2,1,34.5,9.22,48,0.5,2.5
2022-01-01T00:51:27.000,2022-01-01T00:39:49.000,2,1,9.5,2.66,234,0.5,2.5
2022-01-01T00:54:14.000,2022-01-01T00:49:06.000,2,1,5.5,1.12,249,0.5,2.5
2022-01-01T01:14:53.000,2022-01-01T00:40:21.000,2,1,26.5,6.06,48,0.5,2.5
2022-01-01T00:14:42.000,2022-01-01T00:09:28.000,2,2,6.5,0.0,4,0.5,2.5
2022-01-01T00:59:28.000,2022-01-01T00:50:27.000,2,2,10.0,0.0,10,0.5,0.0
2022-01-01T00:15:38.000,2022-01-01T00:10:59.000,1,2,5.0,0.0,148,0.5,2.5
2022-01-01T00:58:07.000,2022-01-01T00:52:33.000,2,1,5.5,2.32,229,0.5,2.5
2022-01-01T00:22:47.000,2022-01-01T00:12:00.000,2,1,16.0,0.0,262,0.5,2.5
2022-01-01T00:33:31.000,2022-01-01T00:28:49.000,2,1,5.0,1.76,68,0.5,2.5
2022-01-01T00:52:51.000,2022-01-01T00:37:15.000,2,1,23.5,5.08,236,0.5,2.5
2022-01-01T00:34:14.000,2022-01-01T00:31:06.000,2,2,4.5,0.0,90,0.5,2.5
2022-01-01T01:14:20.000,2022-01-01T00:36:48.000,2,1,23.5,3.0,163,0.5,2.5
2022-01-01T00:46:45.000,2022-01-01T00:30:35.000,1,2,13.5,0.0,151,0.5,2.5
2022-01-01T01:08:01.000,2022-01-01T00:56:48.000,1,1,11.0,0.0,162,0.5,2.5
2022-01-01T00:39:35.000,2022-01-01T00:26:37.000,2,2,21.0,0.0,265,0.5,0.0
2022-01-01T00:58:26.000,2022-01-01T00:31:06.000,2,1,52.0,12.37,263,0.5,2.5
2022-01-01T00:26:06.000,2022-01-01T00:23:24.000,1,1,4.5,2.0,141,0.5,2.5
2022-01-01T00:44:54.000,2022-01-01T00:26:04.000,2,1,18.5,6.69,249,0.5,2.5
2022-01-01T00:25:37.000,2022-01-01T00:22:03.000,2,1,4.5,1.66,262,0.5,2.5
2022-01-01T00:47:22.000,2022-01-01T00:41:01.000,1,2,7.0,0.0,134,0.5,0.0
2022-01-01T00:44:41.000,2022-01-01T00:36:47.000,2,1,7.5,2.26,113,0.5,2.5
2022-01-01T01:03:16.000,2022-01-01T00:51:09.000,2,1,9.5,3.33,114,0.5,2.5
2022-01-01T01:01:29.000,2022-01-01T00:55:41.000,1,1,7.5,2.25,263,0.5,2.5
2022-01-01T00:28:44.000,2022-01-01T00:11:20.000,2,2,15.5,0.0,168,0.5,2.5
2022-01-01T01:11:04.000,2022-01-01T00:55:16.000,2,2,13.0,0.0,107,0.5,2.5
2022-01-01T01:06:38.000,2022-01-01T00:49:45.000,2,2,11.5,0.0,48,0.5,2.5
2022-01-01T01:01:32.000,2022-01-01T00:51:46.000,2,2,11.0,0.0,74,0.5,2.5
2022-01-01T00:26:49.000,2022-01-01T00:15:04.000,2,1,10.0,1.5,142,0.5,2.5
2022-01-01T00:32:02.000,2022-01-01T00:26:49.000,2,1,5.0,2.64,50,0.5,2.5
2022-01-01T00:20:33.000,2022-01-01T00:15:42.000,2,1,6.0,1.96,140,0.5,2.5
2022-01-01T00:51:30.000,2022-01-01T00:28:44.000,2,1,15.5,0.8,163,0.5,2.5
2022-01-01T01:08:34.000,2022-01-01T00:47:50.000,1,1,18.0,4.0,40,0.5,2.5
2022-01-01T00:08:58.000,2022-01-01T00:06:10.000,1,4,2.5,0.0,161,0.5,2.5
2022-01-01T00:44:40.000,2022-01-01T00:32:28.000,1,1,11.0,2.95,249,0.5,2.5
2022-01-01T00:33:30.000,2022-01-01T00:19:37.000,2,1,18.0,2.22,152,0.5,2.5
2022-01-01T00:53:40.000,2022-01-01T00:48:32.000,1,1,6.5,2.05,229,0.5,2.5
2022-01-01T00:42:17.000,2022-01-01T00:41:54.000,1,2,2.5,0.0,249,0.5,2.5
2022-01-01T00:52:56.000,2022-01-01T00:47:55.000,2,1,6.0,1.96,238,0.5,2.5
2022-01-01T01:05:26.000,2022-01-01T00:52:53.000,1,2,13.0,0.0,238,0.5,2.5
2022-01-01T00:08:54.000,2022-01-01T00:00:44.000,2,1,8.5,2.46,233,0.5,2.5
2022-01-01T00:52:12.000,2022-01-01T00:26:12.000,1,1,28.0,5.0,83,0.5,2.5
2022-01-01T01:05:44.000,2022-01-01T00:36:46.000,2,2,21.5,0.0,125,0.5,2.5
2022-01-01T01:06:08.000,2022-01-01T00:51:22.000,2,2,22.0,0.0,231,0.5,2.5
2022-01-01T00:20:49.000,2022-01-01T00:15:35.000,2,2,5.5,0.0,229,0.5,2.5
2022-01-01T00:46:16.000,2022-01-01T00:39:46.000,2,2,5.5,0.0,148,0.5,2.5
2022-01-01T01:23:12.000,2022-01-01T00:58:27.000,2,1,45.5,9.61,112,0.5,0.0
2022-01-01T01:24:38.000,2022-01-01T00:58:47.000,2,2,46.0,0.0,255,0.5,0.0
2022-01-01T00:21:54.000,2022-01-01T00:08:44.000,2,1,11.0,0.0,114,0.5,2.5
2022-01-01T00:58:25.000,2022-01-01T00:51:26.000,1,2,6.5,0.0,239,0.5,2.5
2022-01-01T01:12:08.000,2022-01-01T00:40:57.000,2,1,19.5,6.99,142,0.5,2.5
2022-01-01T01:03:51.000,2022-01-01T00:54:52.000,2,1,10.0,2.76,229,0.5,2.5
2022-01-02T00:00:58.000,2022-01-01T00:31:12.000,2,2,15.0,0.0,261,0.5,2.5
2022-01-01T00:41:25.000,2022-01-01T00:31:05.000,2,2,8.0,0.0,113,0.5,2.5
2022-01-01T00:05:29.000,2022-01-01T00:00:44.000,1,2,5.0,0.0,7,0.5,0.0
2022-01-01T00:30:14.000,2022-01-01T00:23:40.000,2,1,7.0,2.16,249,0.5,2.5
2022-01-01T00:40:35.000,2022-01-01T00:30:29.000,1,2,10.5,0.0,262,0.5,2.5
2022-01-01T01:02:50.000,2022-01-01T00:40:18.000,2,1,15.5,2.9,186,0.5,2.5
