fy2014,fy_2004,fy_2007,fy_2008,fy_1996,fy_2001,fy_1984
- 0,- 0,- 0,- 0,- 0,- 0,"1,313,305"
"(44,069)","(5,717)",(304),"(28,197)","(1,561)",- 0,(13)
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"7,021,022,346","3,715,321,620","4,624,240,248","5,102,928,420","1,741,197,611","2,995,490,523","698,883,813"
"13,064,265,094","9,432,789,995","11,260,160,310","11,874,105,387","6,148,775,365","8,617,112,153","2,943,603,391"
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"80,412,165","55,251,090","62,480,349","64,947,495","82,545,727","55,077,561","38,031,578"
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"(663,212)","(20,665)",- 0,"(50,330)",- 0,- 0,- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"4,161,593","1,955,570","2,601,372","3,072,274","1,714,193","2,128,773","946,127"
- 0,- 0,- 0,- 0,- 0,- 0,"1,138,090"
,,,,,,
"10,069,053","2,654,619","5,851,189","7,517,683",- 0,- 0,- 0
,,,,,,
"3,479,965","3,146,059","3,695,668","4,145,970","3,975,544","4,082,892","1,888,994"
"23,584,271","11,406,167","15,472,452","15,310,580","46,112,673","12,336,257","12,017,967"
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"(81,557)","(51,643)",- 0,"(1,986)","(108,264)",- 0,"(35,394)"
,,,,,,
"24,483,113","4,924,457","9,045,009","10,279,689",- 0,- 0,- 0
"214,113,399","98,876,417","139,749,231","156,632,005","41,663,680","83,697,938","20,907,606"
"2,043,248","2,118,488","2,029,438","2,137,100","1,226,554","1,566,459",- 0
- 0,- 0,- 0,- 0,- 0,- 0,
"781,231","746,152","1,078,405","1,390,802","1,623,473","1,358,421","428,849"
,,,,,,
"4,669,342,271","3,429,796,819","3,657,778,224","3,940,063,734","2,325,067,928","3,275,051,967","961,629,363"
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"2,384,379","2,085,017","2,233,185","3,363,322","1,813,736","1,789,246","2,176,753"
- 0,- 0,- 0,- 0,- 0,- 0,"194,396"
- 0,- 0,- 0,- 0,"(666,117)",- 0,"(625,892)"
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"66,433,672","68,381,348","91,208,725","74,943,097","72,917,165","107,650,818","23,549,292"
"(38,472,319)","(49,022,967)","(45,287,318)","(49,395,323)","(10,104,322)","(8,488,322)",- 0
"2,388,314","800,118","1,324,754","1,655,086","581,341","877,264",- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0
- 0,- 0,- 0,- 0,- 0,- 0,"579,145"
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"590,305","577,045","998,296","1,676,313","944,327","1,134,813","439,959"
"22,073,410","19,831,146","20,514,975","20,923,973","33,216,441","34,818,177","40,744,140"
- 0,- 0,- 0,- 0,- 0,- 0,
,,,,,,
"16,050,341","15,123,128","16,057,277","17,394,843","14,172,583","18,614,439","2,365,074"
,,,,,,
- 0,- 0,- 0,- 0,- 0,- 0,- 0
,,,,,,
"(8,765)",- 0,(353),"(9,776)",(1),- 0,- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"9,159,024","7,957,457","8,687,146","8,936,453","3,704,614","7,615,656",- 0
"(35,473,657)","(6,584,648)","(12,577,718)","(16,252,478)","(6,644,224)","(4,324,187)","(5,050,484)"
- 0,- 0,- 0,- 0,"(44,161)",- 0,"(31,432)"
"(1,118,481)",- 0,- 0,"(100,000)",- 0,- 0,"(2,496)"
"5,568,005","3,528,585","4,518,725","5,050,473","2,106,715","3,100,213",- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"66,972,770","64,394,941","89,906,224","72,634,585","69,965,828","103,351,849","23,795,386"
"(4,650)","(6,000)","(3,589)","(2,804)",- 0,"11,965",(3)
- 0,- 0,- 0,- 0,"(673,410)",- 0,"(158,525)"
,,,,,,
- 0,- 0,- 0,- 0,- 0,- 0,(397)
- 0,- 0,- 0,- 0,- 0,- 0,- 0
"57,154,041","44,139,933","47,628,064","50,451,280","36,721,166","43,179,347","26,738,468"
- 0,- 0,- 0,- 0,"8,107,267",- 0,"5,595,187"
"4,448,663,433","3,336,425,636","3,544,274,833","3,804,088,840","2,206,591,378","3,177,066,689","908,353,415"
- 0,- 0,- 0,- 0,- 0,- 0,"522,465"
"20,395,490","19,445,536","22,049,844","24,396,164","16,297,629","18,407,397","13,376,158"
"(212,854)","(270,054)","(270,054)","(270,054)","(212,854)","(270,054)","(580,000)"
- 0,- 0,- 0,- 0,"5,682,484",- 0,"2,403,652"
