fy_1995,fy_1998,fy_2005,fy_2003,fy_1992,fy_2010,fy_1994,fy_1999,fy_1983,fy2017
"(212,854)","(212,854)","(270,054)","(212,854)","(208,680)","(270,054)","(212,854)","(159,681)","(203,924)","(212,854)"
"4,641,237",- 0,- 0,- 0,"4,986,713",- 0,"5,125,984",- 0,"2,310,425",- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,"266,327",- 0
,,,,,,,,,
"348,073,617","363,997,315","566,612,901","443,654,104","458,489,880","718,788,667","353,075,935","376,943,144","170,071,848","1,067,116,800"
"1,578,613","2,194,895","3,632,363","3,062,942","1,717,755","6,242,041","2,003,327","1,901,591",- 0,"8,731,743"
,,,,,,,,,
- 0,"505,411",- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"725,400","11,634,806","1,724,304","4,181,883","4,688,247","38,077,925","9,494,605","907,790",- 0,"4,441,695"
"5,608,045","13,274,882","24,210,280","24,332,581","8,457,231","16,308,412","9,525,686","14,050,512","5,568,269","27,783,181"
"(36,288,075)","(90,749,273)","(81,117,441)","(99,040,362)","(133,994,022)","(60,085,318)","(32,161,259)","(140,882,190)","(7,734,904)","(144,954,954)"
"13,729,145","17,159,138","38,045,641","27,836,764","13,928,602","39,620,599","11,496,414","22,158,120","8,053,208","89,527,082"
"1,196,372","857,174","1,072,786","908,888","832,599","903,625","915,848","1,593,697","595,109","1,131,055"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"260,362,199","268,244,782","379,498,921","332,039,557","221,667,148","545,314,120","262,975,871","285,293,413","127,161,219","790,865,543"
,- 0,- 0,- 0,,- 0,,- 0,,"2,468,464"
,,,,,,,,,
"2,183,521","2,181,520","1,229,182","940,891","1,198,546","768,663","2,167,385","2,021,531","480,877","643,354"
"728,010,998","901,348,714","1,112,241,505","1,107,208,651","643,114,874","1,507,751,711","711,254,562","949,554,653","434,211,495","1,805,522,741"
"4,586,889","4,822,156","3,882,204","3,703,341","4,439,767","3,874,531","4,639,266","4,727,162","1,991,139","4,224,491"
,,,,,,,,,
,,,,,,,,,
"2,945,076",- 0,- 0,- 0,"3,822,401",- 0,"3,734,631",- 0,"1,566,419",- 0
,,,,,,,,,
- 0,- 0,"(2,201,163)",- 0,- 0,"(9,620,751)",- 0,- 0,- 0,"(2,572,962)"
"(1,318,580)","(290,234)","(174,857)","(197,373)","(29,721)","(519,626)","(38,341)","(694,279)","(24,898)","(3,138,571)"
"3,185,624","3,400,157","3,004,696","3,091,754","3,059,050","3,435,637","3,140,329","3,439,900","1,596,420","3,174,468"
"(15,956)",- 0,- 0,- 0,- 0,- 0,"(257,300)",- 0,- 0,- 0
"1,696,330",- 0,- 0,- 0,"1,165,940",- 0,"1,449,610",- 0,"744,373",- 0
"97,836,022","105,958,055","196,086,485","141,140,121","238,854,152","219,391,325","97,702,346","102,174,176","43,154,260","367,621,172"
- 0,- 0,"9,054,070","6,630,064",- 0,"26,878,056",- 0,- 0,- 0,"46,725,188"
"7,862,873,735","8,812,493,525","13,776,018,386","12,672,863,565","6,626,289,410","18,411,207,279","7,560,988,840","9,478,352,291","3,230,827,880","23,317,602,305"
"777,781,371","972,751,208","1,222,892,018","1,198,800,316","668,025,725","1,656,912,459","745,783,964","1,026,386,068","454,206,571","2,033,165,626"
"(5,945)",- 0,- 0,"(10,000)",- 0,- 0,"(245,000)",- 0,- 0,- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
,,,,,,,,,
"85,537","91,191","235,376","82,049","145,084","111,447","88,650","141,279","99,431","131,978"
,,,,,,,,,
,- 0,- 0,- 0,,- 0,,- 0,,"2,239,359"
"1,388,730","1,749,847","1,222,388","870,399","828,142","646,415","1,098,567","1,672,825","591,710","1,229,145"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,"433,328",- 0
"51,427,496","49,248,813","55,076,606","54,144,418","57,217,931","75,061,578","59,980,231","48,835,077","32,820,750","95,557,116"
,,,,,,,,,
- 0,"(3,371)",- 0,- 0,"(19,940)",(29),"(2,184)","(9,665)","2,021",- 0
,,,,,,,,,
"62,158,321","73,897,827","115,903,025","99,815,663","59,084,141","134,382,822","60,202,353","83,888,472","29,867,360","209,573,506"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"6,202,062",- 0,- 0,- 0,"6,646,549",- 0,"6,778,541",- 0,"4,429,362",- 0
"19,872,063",- 0,- 0,- 0,"10,070,353",- 0,"15,464,830",- 0,"2,012,826",- 0
"46,573,869","54,045,785","98,780,588","90,170,511","35,697,882","57,187,528","46,136,225","57,177,369","32,538,569","103,751,978"
