fy_1981,fy_2011,fy_1989,fy_2012,fy_1997,fy_2009,fy_1988,fy2018
"913,146",- 0,"1,812,550",- 0,- 0,- 0,"1,725,861",- 0
"(22,349)",- 0,"(11,032)","(11,320)","(1,105,737)",(390),"38,502","(148,915)"
"(112,648)",- 0,"(67,957)",- 0,- 0,- 0,"(65,988)",- 0
"590,575,042","6,468,581,961","1,155,800,485","6,763,771,519","1,934,275,309","5,438,774,813","1,071,798,067","9,502,952,871"
"2,148,442,355","12,470,317,116","4,629,535,695","12,519,484,418","6,166,681,740","12,464,278,130","4,204,445,746","15,641,055,756"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"25,776,754","64,465,670","60,662,658","69,619,488","47,479,421","67,404,175","57,946,069","94,317,168"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
- 0,"(84,041)",- 0,"(84,041)",- 0,"(120,435)",- 0,"(663,502)"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"547,624","3,711,806","1,476,327","3,850,268","1,646,973","3,986,862","1,307,821","4,819,336"
"875,942",- 0,"2,478,015",- 0,- 0,- 0,"1,560,429",- 0
,,,,,,,
- 0,"12,268,712",- 0,"8,905,875",- 0,"8,881,000",- 0,"16,122,185"
,,,,,,,
"1,507,956","3,610,682","4,023,039","3,814,017","3,950,649","3,996,317","3,556,411","4,059,795"
"6,638,089","14,073,235","27,157,639","15,512,873","11,703,430","15,611,346","28,435,434","31,044,844"
"(24,727)",- 0,- 0,- 0,- 0,- 0,- 0,- 0
"(22,782)","(51,502)","(2,945)",212,"(94,575)",- 0,"(55,651)","(31,474)"
,,,,,,,
- 0,"21,557,098",- 0,"14,476,817",- 0,"11,111,682",- 0,"42,765,916"
"16,224,888","169,964,643","23,448,739","174,171,114","61,632,054","156,174,064","24,519,011","245,767,619"
- 0,"1,827,288",- 0,"1,629,283","917,000","1,883,751",- 0,"3,335,560"
,- 0,,- 0,- 0,- 0,,"640,305"
"283,247","604,428","638,249","716,244","1,534,777","618,388","509,836","1,102,333"
,,,,,,,
"714,051,376","4,559,495,864","1,513,082,373","4,631,506,247","2,453,042,533","4,242,507,534","1,436,734,331","5,480,431,760"
(655),- 0,- 0,- 0,- 0,- 0,- 0,- 0
"1,514,026","3,786,409","3,531,927","3,976,674","1,823,889","5,670,604","2,863,270","10,555,573"
"239,288",- 0,"299,150",- 0,- 0,- 0,"252,026",- 0
"(625,892)",- 0,"(625,892)",- 0,- 0,- 0,"(625,892)",- 0
"(18,401)",- 0,- 0,- 0,- 0,- 0,- 0,- 0
"17,392,356","82,450,938","46,649,777","56,721,174","28,133,889","100,471,787","34,690,679","105,877,293"
"(1,724,091)","(40,109,986)","(69,110)","(40,122,379)","(9,707,158)","(45,480,139)",- 0,"(110,312,964)"
- 0,"1,657,637",- 0,"2,276,368","524,905","1,430,767",- 0,"2,813,937"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"341,039",- 0,"1,158,833",- 0,- 0,- 0,"1,317,023",- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"339,490","742,653","575,634","727,029","790,787","1,000,116","540,397","768,474"
"22,404,893","21,112,836","77,781,169","21,722,405","32,271,275","20,685,599","76,485,351","24,511,594"
,- 0,,- 0,- 0,- 0,,- 0
,,,,,,,
"1,789,665","15,312,503","21,729,978","14,726,743","14,141,745","16,483,177","19,237,416","29,613,415"
,,,,,,,
"(7,286)",- 0,- 0,- 0,- 0,- 0,- 0,- 0
,,,,,,,
"55,205","(1,181)",- 0,(738),"(2,330)",(132),(676),- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
- 0,"7,795,600",- 0,"7,109,773","4,102,999","9,416,681",- 0,"13,070,017"
"(23,858,739)","(31,040,277)","(6,766,318)","(41,842,625)","(7,482,603)","(14,134,125)","(553,590)","(61,094,153)"
"(44,990)",- 0,"(76,535)",- 0,- 0,- 0,"(59,898)",- 0
"(562,405)","(439,886)",- 0,"(1,295,088)",- 0,- 0,"(2,436)","(1,982,514)"
- 0,"4,980,727",- 0,"5,547,077","1,996,552","4,689,222",- 0,"7,114,428"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"17,899,696","81,264,358","49,871,987","56,921,544","25,542,555","99,763,017","35,866,798","108,597,047"
"(26,059)",- 0,"(8,646)",- 0,(809),"(3,739)","(33,113)","(27,118)"
"(297,989)",- 0,"(158,525)",- 0,- 0,- 0,"(158,525)",- 0
,,,,,,,
"(3,702)",- 0,(802),- 0,- 0,- 0,"(17,307)",- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"19,639,610","53,064,540","33,875,050","55,372,409","36,901,554","52,280,760","31,754,630","67,625,661"
"3,867,726",- 0,"9,156,275",- 0,- 0,- 0,"7,858,231",- 0
"680,776,888","4,405,184,298","1,433,320,837","4,466,646,977","2,303,166,734","4,137,610,407","1,359,874,588","5,188,056,787"
"550,234",- 0,"1,139,190",- 0,- 0,- 0,"762,801",- 0
"9,827,721","23,589,346","17,812,282","22,831,312","15,516,645","26,894,631","16,151,826","36,054,433"
"(460,562)","(270,054)","(200,000)","(270,054)","(212,854)","(482,908)","(200,000)",- 0
"1,993,140",- 0,"4,183,312",- 0,- 0,- 0,"3,735,886",- 0
"214,100",- 0,"455,861",- 0,- 0,- 0,"459,842",- 0
,,,,,,,
"487,567,721","736,092,103","266,214,791","750,475,699","354,056,375","658,483,658","259,017,598","1,087,244,959"
- 0,"6,075,069","415,336","5,952,018","1,712,577","5,379,254",- 0,"9,807,775"
,,,,,,,
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
- 0,"5,203,595","1,748,929","3,693,208","1,872,365","3,278,878",- 0,"23,181,646"
"2,275,915","22,022,600","11,477,500","15,339,363","12,908,251","31,945,525","8,234,495","28,074,950"
"1,624,307","(45,623,968)","(7,750,231)","(112,329,154)","(8,347,638)","(114,672,119)","(3,783,687)","(56,522,017)"
"5,275,719","38,670,721","13,317,328","39,149,733","16,450,054","38,509,585","11,576,883","90,714,693"
"522,122","1,189,713","1,405,942","923,217","821,243","907,402","1,594,790","1,212,015"
"(36,975)",- 0,- 0,- 0,- 0,- 0,- 0,- 0
"98,678,943","568,847,972","205,913,975","580,667,655","257,008,257","486,641,309","198,495,301","808,974,057"
,- 0,,- 0,- 0,- 0,,"3,572,505"
,,,,,,,
"365,380","707,241","1,828,226","685,036","2,107,636","1,128,439","1,642,000","679,979"
"351,779,977","1,563,636,694","653,223,487","1,583,056,676","868,096,121","1,436,499,209","609,771,694","1,845,866,536"
"1,450,703","3,768,930","3,389,296","3,859,272","4,779,897","3,983,209","3,080,995","4,484,236"
,,,,,,,
,,,,,,,
"1,369,087",- 0,"2,844,333",- 0,- 0,- 0,"2,452,558",- 0
,,,,,,,
"(794,126)","(11,097,132)",- 0,"(3,502,083)","(280,000)","(9,566,399)",- 0,"(6,409,415)"
"(374,358)","(3,874,480)","(35,078)","(3,354,057)","(523,642)","(7,379,071)","(97,419)","(2,114,595)"
"1,231,506","3,164,502","2,751,054","3,143,028","3,249,785","3,367,821","2,571,159","3,381,903"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"674,724",- 0,"1,345,746",- 0,- 0,- 0,"1,283,328",- 0
"393,755,173","208,269,020","60,690,311","210,652,798","106,790,409","220,474,080","60,797,423","390,161,134"
