fy_1993,fy_1982,fy_2013,fy_2002,fy2016,fy_1990,fy_2006,fy_1991,fy_1987
"39,522,876","19,054,565","84,697,530","34,764,297","102,041,492","25,289,169","73,841,011","35,232,985","31,116,347"
"(3,654,072)",- 0,"(36,460,887)","(19,004,015)","(62,415,682)","(440,007)","(54,847,958)","(1,307,961)",- 0
"492,506",- 0,"2,553,388","809,932","2,924,944",- 0,"1,919,005","748,092",- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
- 0,"707,707",- 0,- 0,- 0,"1,131,056",- 0,"431,033","556,101"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"738,231","427,749","658,431","819,397","753,299","713,142","896,125","875,841","489,169"
"75,800,654","26,079,183","22,036,473","53,863,965","22,760,900","62,615,189","20,268,853","64,458,446","67,723,793"
,,- 0,- 0,- 0,,- 0,,
,,,,,,,,
"14,084,768","2,094,083","15,566,176","18,820,267","22,760,730","21,259,787","15,392,131","18,393,584","5,426,936"
,,,,,,,,
- 0,"(2,024)",- 0,- 0,- 0,- 0,- 0,- 0,- 0
,,,,,,,,
"(24,367)","(6,066)","(18,000)",- 0,(879),- 0,(632),- 0,"(3,000)"
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
- 0,- 0,"8,656,562","7,737,424","10,367,452",- 0,"8,145,964",- 0,- 0
"(5,828,441)","(4,974,776)","(30,148,513)","(5,901,736)","(48,041,253)","(13,797,657)","(13,630,728)","(2,929,198)","(1,520,429)"
"(6,996)","(41,230)",- 0,- 0,- 0,"(248,762)",- 0,"(129,801)","(842,645)"
- 0,"(3,071)","(1,958,837)",- 0,"(2,716,832)",- 0,- 0,- 0,"(2,882)"
"2,205,965",- 0,"5,703,306","3,148,925","6,694,271",- 0,"4,943,081","2,377,895",- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"38,967,372","19,596,529","84,187,548","32,940,011","101,696,154","27,005,739","71,801,942","38,370,286","31,887,266"
"(29,364)","(26,380)","(1,788)",(48),"(1,188)","(11,259)","(1,663)","(10,586)",(3)
"(220,155)","(39,631)",- 0,- 0,- 0,"(158,525)",- 0,"(344,879)","(158,525)"
,,,,,,,,
- 0,- 0,- 0,- 0,- 0,- 0,- 0,(127),- 0
- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0,- 0
"35,899,338","21,761,340","56,515,957","45,631,908","62,176,074","36,372,776","46,929,542","37,526,085","31,031,368"
"8,393,852","4,965,268",- 0,- 0,- 0,"10,237,031",- 0,"8,654,930","7,514,294"
"1,699,606,993","756,244,462","4,500,784,886","3,465,474,193","4,743,556,938","1,536,181,658","3,521,701,404","1,551,993,867","1,258,613,874"
- 0,"815,888",- 0,- 0,- 0,"2,434,445",- 0,- 0,"708,465"
"16,812,390","11,115,073","20,928,019","18,730,957","31,170,443","19,388,758","22,072,643","18,597,590","18,148,758"
