fy_1986,fy2015,fy_2000,agency_expenditures,fy_1980,fy_1985
- 0,"34,343,412",- 0,TOTAL DEPT.,- 0,- 0
"4,404,973,319","20,457,511,110","10,674,456,773",TOTAL DEPT.,"2,583,266,480","4,015,819,863"
"569,448,491","1,887,335,471","1,078,288,006",TOTAL DEPT.,"350,716,281","534,897,664"
- 0,- 0,- 0,less: intra-city,"(113,667)",- 0
- 0,- 0,- 0,less: intra-city,- 0,- 0
,,,Teachers Retirement System,,
"193,486","225,585","87,168",Other Than Personal Services,"34,171","190,522"
,,,Board of Standards and Appeals,,
,- 0,- 0,Personal Services,,
"1,072,712","944,125","2,432,697",Other Than Personal Services,"414,662","1,190,269"
"905,407",- 0,- 0,Personal Services,"325,332","818,614"
"46,881,708","78,678,505","51,237,394",Personal Services,"24,665,590","43,298,830"
,,,Borough President - Brooklyn,,
"(20,327)","(5,334)",- 0,prior year adjustments,"(50,012)","(6,483)"
,,,Department of Education,,
"41,410,622","169,157,196","89,831,770",TOTAL DEPT.,"20,276,100","38,196,572"
- 0,- 0,- 0,prior year adjustments,"(444,854)",- 0
"5,916,793",- 0,- 0,Personal Services,"3,558,977","5,446,600"
"2,504,577",- 0,- 0,TOTAL DEPT.,"1,586,591","2,282,437"
"30,300,497","89,234,711","62,710,495",TOTAL DEPT.,"15,915,612","17,031,382"
- 0,(578),- 0,prior year adjustments,- 0,- 0
- 0,"(96,831)",- 0,less: intra-city,"(285,750)",- 0
"2,296,850",- 0,- 0,Personal Services,"1,468,866","2,074,990"
"(2,961)",- 0,- 0,prior year adjustments,"(4,541)",- 0
"1,051,563","(25,241)","(156,018)",prior year adjustments,"(923,540)","(880,609)"
"46,807,159","120,179,397","89,047,024",Other Than Personal Services,"25,913,426","26,059,446"
,,,Borough President - Staten Island,,
"(106,778)","(149,761)","(1,970,493)",prior year adjustments,"(1,047,327)","(217,187)"
"29,913,960","89,514,178","66,103,502",TOTAL DEPT.,"15,085,385","16,461,125"
- 0,"3,490,934","1,974,012",Personal Services,- 0,- 0
(36),- 0,- 0,prior year adjustments,"(40,193)",(954)
- 0,- 0,- 0,less: intra-city,- 0,- 0
- 0,"(1,092,286)",- 0,less: intra-city,"(1,096,100)",- 0
"(494,306)","(334,268)","(1,049,189)",prior year adjustments,"(4,906,322)","(13,579)"
,,,Campaign Finance Board,,
"4,548,326","4,754,845","6,830,523",TOTAL DEPT.,"1,999,307","4,241,364"
,,,Law Department,,
"1,423,743",- 0,- 0,Other Than Personal Services,"1,079,851","1,241,076"
"4,956,523","31,464,871","18,794,191",TOTAL DEPT.,"2,318,303","4,953,119"
"2,904,582","4,400,263","5,243,784",TOTAL DEPT.,"1,672,611","2,591,406"
- 0,"12,683,001","7,726,837",TOTAL DEPT.,- 0,- 0
"23,788,100",- 0,- 0,TOTAL DEPT.,"13,073,347","20,999,665"
"(329,192)","(1,312,100)","(1,296,587)",less: intra-city,"(2,352,824)","(323,053)"
- 0,- 0,- 0,less: intra-city,"(78,000)",- 0
"(622,804)","(3,209,828)","(58,230)",prior year adjustments,"663,204","(83,997)"
- 0,- 0,- 0,Personal Services,- 0,- 0
- 0,"(3,518,479)","(2,186,485)",less: intra-city,"(107,000)",- 0
"1,220,470",- 0,- 0,TOTAL DEPT.,"859,475","1,202,051"
"46,807,159","119,377,883","89,047,024",TOTAL DEPT.,"24,267,995","26,059,446"
"(23,343)","(3,157)",- 0,prior year adjustments,"(55,003)",- 0
"(4,691)",- 0,- 0,prior year adjustments,"(1,715)",- 0
"8,166,082","51,391,433","12,322,639",Personal Services,"5,501,171","7,779,539"
"32,079,324","111,055,572","68,275,179",Personal Services,"16,998,115","30,054,110"
"(18,961)",- 0,- 0,prior year adjustments,"(17,439)",(8)
,- 0,- 0,less: intra-city,,
- 0,- 0,- 0,prior year adjustments,- 0,- 0
"2,658,872","4,489,751","5,161,449",Personal Services,"1,420,211","2,521,282"
"(818,000)","(5,550,617)","(1,853,851)",less: intra-city,"(1,273,370)","(817,961)"
- 0,"(801,514)",- 0,less: intra-city,"(1,331,173)",- 0
"1,649,889","15,672,321","3,875,968",Other Than Personal Services,"696,880","1,986,498"
,,,City Sheriff,,
"62,367,006","501,255,118","198,349,278",Other Than Personal Services,"36,033,482","62,420,644"
"22,559,941","106,685,717","44,229,118",TOTAL DEPT.,"17,019,714","19,958,975"
- 0,- 0,- 0,less: intra-city,"(3,000)",- 0
,,,Administration for Children's Services,,
"13,314,805","21,179,422","15,732,883",Personal Services,"21,758,376","12,190,451"
