community_school_district,of_teachers_assigned_to_teach
28,449
3,473
14,292
27,732
26,572
22,622
11,321
32,178
12,515
23,139
18,221
24,683
13,303
16,175
10,760
20,664
75,515
29,569
31,796
7,436
15,663
8,579
2,1047
9,421
30,609
4,168
19,355
25,697
1,145
17,374
6,214
5,194
21,516
