published_date,neighborhood_tabulation_area,health_events,number_of_avoided_health
2024-04-24T00:00:00.000,BX1071,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0203,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BX0602,Emergency Department Visits for Asthma,1.7
2024-04-24T00:00:00.000,BK0104,Emergency Department Visits for Asthma,0.41
2024-04-24T00:00:00.000,BK1402,Emergency Department Visits for Asthma,0.04
2024-04-24T00:00:00.000,QN0703,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BX1103,Emergency Department Visits for Asthma,0.03
2024-04-24T00:00:00.000,QN0802,Emergency Department Visits for Asthma,0.03
2024-04-24T00:00:00.000,BX2691,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BK0503,Emergency Department Visits for Asthma,0.41
2024-04-24T00:00:00.000,BX2891,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,BX1003,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0101,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,MN1101,Emergency Department Visits for Asthma,0.46
2024-04-24T00:00:00.000,BX0303,Emergency Department Visits for Asthma,0.23
2024-04-24T00:00:00.000,BK1002,Emergency Department Visits for Asthma,0.04
2024-04-24T00:00:00.000,QN0103,Emergency Department Visits for Asthma,0.05
2024-04-24T00:00:00.000,BX0501,Emergency Department Visits for Asthma,2.89
2024-04-24T00:00:00.000,BX0903,Emergency Department Visits for Asthma,0.32
2024-04-24T00:00:00.000,MN0201,Emergency Department Visits for Asthma,0.02
2024-04-24T00:00:00.000,MN0903,Emergency Department Visits for Asthma,0.38
2024-04-24T00:00:00.000,QN0151,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,MN1292,Emergency Department Visits for Asthma,0.0
2024-04-24T00:00:00.000,QN0102,Emergency Department Visits for Asthma,0.02
2024-04-24T00:00:00.000,BK0103,Emergency Department Visits for Asthma,2.52
2024-04-24T00:00:00.000,QN0302,Emergency Department Visits for Asthma,0.03
2024-04-24T00:00:00.000,QN0761,Emergency Department Visits for Asthma,0.0
