report_year,indicator_short_name_appendix
2017,Percentage of New Yorkers that felt that they received the medical care that they have needed in the past 12 months
2017,Greenhouse gas emissions reductions relative to 2005
2018,Number of serious injuries due to traffic collisions
2018,Percentage of commercial enterprises with fast internet access at 1 gbps (gigabits per second) or higher
2017,Number of flood insurance policies across the city
2017,Premature mortality rate
2018,Number of NYC public school students attaining Associate's or Bachelor's degrees after 6 years
2018,Gross City Product (GCP)
2018,Number of flood insurance policies across the city
2017,Percentage of New Yorkers living within a walking distance of a park
2018,Air-quality ranking among major U.S. cities 
2017,Number of elevated homes in the Build It Back program
2018,Disparity in PM2.5 levels across city neighborhoods
2018,Number of New Yorkers who report cycling several times a month
2018,Total number of jobs 
2018,Share of cargo volumes by rail
2017,Disparity in SO2 across city neighborhoods
2018,Linear feet of coastal defenses completed
2017,Median household income
2017,Combined Sewer Overflow capture rate
2017,Number of New Yorkers lifted out of poverty or near poverty based on simulating wage changes to 2013 data and tracking certain anti-poverty initiatives
2017,Rate of cultural participation in key neighborhoods
2018,Premature mortality rate disparity—Black vs. White
2018,Customer Average Interruption Duration Index (CAIDI) 
2018,"Number of tax lots remediated since January 1, 2014"
2018,"Citywide diversion rate (including all streams of waste: residential, commercial, construction and demolition, and fill)"
2018,"Number of new affordable and market rate residential units (cumulative 10 year total, by permit)"
2018,Number of new and preserved affordable housing units financed under Housing New York (cumulative)
