statedtargetvalue
"120,000"
20% reduction (5.32 μg/m3)
Increase by 3%
0
750
Increase
85%
Decrease
Maintain < 1%
Increase
Increase
"180,000"
Increase
20%
Reduce
100%
"800,000 people lifted out of poverty or near poverty by 2025"
Maintain < 1%
Decrease
Increase by 5%
Outperform national economy annually
90%
Decrease
Increase
80%
3 mean servings (25% increase)
Increase
Decrease
Increase
"143.32 deaths per 100,000 (25% decrease)"
"120,000"
"240,000 total between 2015 and 2024"
90%
Decrease
Increase
30%
80% reduction relative to 2005
Decrease
9 million
Increase
No SDWA violations
1st
Increase
Increase
0
80%
100%
Maintain <1%
25%
"120,000"
1.8 million
0
Reduce
4.896 million
Decrease
Maintain <1%
"3.7 infant deaths per 1,000 live births (20% decrease) and dramatically reducing racial and ethnic disparities by 2040 (text says to close disparities)"
Increase
"120,000"
"224 per 10,000 (25% decrease)"
1.5x
30%
1.27x
"224 per 10,000 (25% decrease)"
No SDWA violations
Increase
20%
Increase
Decrease
1.5x
100%
100%
Increase
"30,000 annually"
Increase by 3%
"90% reduction from 2005 baseline

(i.e., 358,860 tons)"
"120,000"
"Cover all streets, sidewalks, parks and transportation"
Decrease
Reduce
9 million
"753,468 (20% increase)"
100%
Increase
Increase
"3.7 infant deaths per 1,000 live births (20% decrease) and dramatically reducing racial and ethnic disparities by 2040 (text says to close disparities)"
Reduce
Increase
50% reduction (2.25 ppb) 
Eliminate
Increase
Eliminate
"Cover all streets, sidewalks, parks and transportation"
"180,000"
"30,000 annually"
Increase
25%
"90% reduction from 2005 baseline

(i.e., 358,860 tons)"
1.8 million
Increase
3 mean servings (25% increase)
Increase
Increase
"753,468 (20% increase)"
Increase
80% reduction relative to 2005
0
100%
Increase
"143.32 deaths per 100,000 (25% decrease)"
Increase
Outperform national economy annually
Increase
85%
1st
Increase
20% reduction (5.32 μg/m3)
Increase
4.896 million
Increase by 5%
50% reduction (2.25 ppb) 
Increase
Increase
Increase
"800,000 people lifted out of poverty or near poverty by 2025"
Increase
1.27x
Decrease
750
Increase
"240,000 total between 2015 and 2024"
"120,000"
