loacation,mgp_percent,material,dsny_diversion_summary
Brooklyn,0.006,Appliances: Non-Ferrous,Designated MGP
Citywide,0.002,Non-C&D Wood,Other
Citywide,0.001,Treated/Contaminated Wood,C&D
Queens,0.017,Brown Container Glass,Designated MGP
Brooklyn,0.003,Appliances: Plastic,Designated MGP
Queens,0.027,Other Plastics,Designated MGP
Brooklyn,0.001,Pesticides/Herbicides/Rodenticides,HHW
Citywide,0.0,Mercury-Laden Wastes,HHW
Citywide,0.001,Home Medical Products,HHW
Citywide,0.034,#2 HDPE Pigmented Bottles,Designated MGP
Citywide,0.066,Rigid Plastic Containers/Packaging,Designated MGP
Brooklyn,0.092,Other Ferrous,Designated MGP
Queens,0.065,Rigid Plastic Containers/Packaging,Designated MGP
Brooklyn,0.004,Textiles: Clothing,Textiles
Brooklyn,0.001,Latex Paint,HHW
Brooklyn,0.0,Untreated Dimensional Lumber/Pallets/Crates,C&D
Queens,0.063,Other Ferrous,Designated MGP
Brooklyn,0.0,Yard Waste,Organics Suitable for Composting
Citywide,0.0,Oil Filters,HHW
Citywide,0.062,#1 PET Bottles,Designated MGP
Citywide,0.0,Carpet/Upholstery,Other
Citywide,0.008,Film Plastic: Retail Bags/Sleeves,Plastic Bags
Queens,0.0,Carpet/Upholstery,Other
Queens,0.005,Shoes/Rubber/Leather,Textiles
Queens,0.006,Empty Aerosol Cans,Designated MGP
Brooklyn,0.009,Shoes/Rubber/Leather,Textiles
Citywide,0.0,Film Plastic: Food/Drink Pouches,Other
Brooklyn,0.026,Appliances: Ferrous,Designated MGP
Brooklyn,0.0,Mercury-Laden Wastes,HHW
Brooklyn,0.014,Aluminum Foil/Containers,Designated MGP
Brooklyn,0.031,#2 HDPE Natural Bottles,Designated MGP
Citywide,0.011,Miscellaneous Inorganics,Other
Brooklyn,0.001,Animal By-Products,Other
Citywide,0.025,Food,Organics Suitable for Composting
Brooklyn,0.007,Single Use Plastic Plates/Cups/Cutlery (excluding EPS),Designated MGP
Brooklyn,0.002,Miscellaneous Organics,Other
Brooklyn,0.107,Mixed Cullet,Designated MGP
Queens,0.041,#2 HDPE Pigmented Bottles,Designated MGP
Brooklyn,0.0,Oil-Based Paint/Solvent,HHW
Brooklyn,0.002,Other Computer Equipment,E-Waste
Queens,0.012,Fines,Other
Queens,0.053,Bulk/Rigid Plastic,Designated MGP
Citywide,0.002,#6 EPS Containers/Packaging (including Single Use),Other
Brooklyn,0.055,Bulk/Rigid Plastic,Designated MGP
Queens,0.034,Mixed Low Grade Paper,Designated Paper
Brooklyn,0.011,Aluminum Cans,Designated MGP
Brooklyn,0.012,Film Plastic: All Other Film,Other
Queens,0.005,Other Plastic Bottles,Designated MGP
Citywide,0.045,Green Container Glass,Designated MGP
Citywide,0.008,Single Use Plastic Plates/Cups/Cutlery (excluding EPS),Designated MGP
Queens,0.101,Clear Container Glass,Designated MGP
Citywide,0.0,Yard Waste,Organics Suitable for Composting
Queens,0.004,Miscellaneous Organics,Other
Queens,0.002,Computer Monitors,E-Waste
Citywide,0.001,Other Potentially Harmful Wastes,HHW
Brooklyn,0.012,Miscellaneous Inorganics,Other
Brooklyn,0.0,High Grade Paper,Designated Paper
Brooklyn,0.044,Steel/Tin Food Cans,Designated MGP
Queens,0.045,Steel/Tin Food Cans,Designated MGP
Queens,0.04,Mixed Metals,Designated MGP
Brooklyn,0.0,Compressed Gas Cylinders/Fire Extinguishers,HHW
Citywide,0.018,Brown Container Glass,Designated MGP
Citywide,0.002,Textiles: Clothing,Textiles
Queens,0.012,Aluminum Foil/Containers,Designated MGP
Queens,0.0,Untreated Dimensional Lumber/Pallets/Crates,C&D
Queens,0.011,Other Non-Ferrous,Designated MGP
Queens,0.0,Oil Filters,HHW
Citywide,0.05,Bulk/Rigid Plastic,Designated MGP
Citywide,0.025,Appliances: Ferrous,Designated MGP
Brooklyn,0.0,Other Potentially Harmful Wastes,HHW
Citywide,0.033,#2 HDPE Natural Bottles,Designated MGP
Brooklyn,0.01,Film Plastic: Retail Bags/Sleeves,Plastic Bags
Queens,0.007,Aluminum Cans,Designated MGP
Citywide,0.0,Water-Based Adhesives/Glues,HHW
Brooklyn,0.029,#2 HDPE Pigmented Bottles,Designated MGP
Citywide,0.0,Audio/Visual Equipment-TV Peripherals (Covered),E-Waste
Citywide,0.0,Televisions,E-Waste
Citywide,0.003,Audio/Visual Equipment-Other (Non-Covered),E-Waste
Citywide,0.008,Other Glass,Other
Brooklyn,0.062,Rigid Plastic Containers/Packaging,Designated MGP
Brooklyn,0.0,Wet-Cell Batteries,HHW
Queens,0.009,Film Plastic: Retail Bags/Sleeves,Plastic Bags
Queens,0.015,Film Plastic: All Other Film,Other
Citywide,0.007,Paper: Compostable/Soiled/Waxed OCC/Kraft,Organics Suitable for Composting
Brooklyn,0.002,Textiles: Non-Clothing,Textiles
Citywide,0.002,Textiles: Non-Clothing,Textiles
Queens,0.038,#2 HDPE Natural Bottles,Designated MGP
Citywide,0.007,Other Nonrecyclable Paper,Other
Citywide,0.01,Plain OCC/Kraft Paper,Designated Paper
Brooklyn,0.0,Computer Monitors,E-Waste
Brooklyn,0.005,Empty Aerosol Cans,Designated MGP
Queens,0.001,Treated/Contaminated Wood,C&D
Brooklyn,0.016,Plain OCC/Kraft Paper,Designated Paper
Queens,0.0,Audio/Visual Equipment-TV Peripherals (Covered),E-Waste
Brooklyn,0.0,Televisions,E-Waste
Queens,0.001,Other Computer Equipment,E-Waste
Brooklyn,0.004,Audio/Visual Equipment-Other (Non-Covered),E-Waste
Citywide,0.003,Other Computer Equipment,E-Waste
Brooklyn,0.026,Mixed Low Grade Paper,Designated Paper
Brooklyn,0.063,#1 PET Bottles,Designated MGP
Brooklyn,0.025,Film Plastic: Garbage Bags,Other
Brooklyn,0.009,Other Non-Ferrous,Designated MGP
Queens,0.002,#6 EPS Containers/Packaging (including Single Use),Other
Queens,0.005,Other C&D Debris Not Elsewhere Classified,C&D
Citywide,0.006,Appliances: Non-Ferrous,Designated MGP
Citywide,0.003,Other C&D Debris Not Elsewhere Classified,C&D
Queens,0.002,Audio/Visual Equipment-Other (Non-Covered),E-Waste
Citywide,0.0,Wet-Cell Batteries,HHW
Queens,0.003,Other Color Container Glass,Designated MGP
Queens,0.002,Disposable Diapers/Sanitary Products,Other
Queens,0.007,Paper: Compostable/Soiled/Waxed OCC/Kraft,Organics Suitable for Composting
Brooklyn,0.001,Treated/Contaminated Wood,C&D
Queens,0.001,Textiles: Non-Clothing,Textiles
Citywide,0.0,Untreated Dimensional Lumber/Pallets/Crates,C&D
Queens,0.0,Wet-Cell Batteries,HHW
Brooklyn,0.023,Mixed Metals,Designated MGP
Citywide,0.001,Latex Paint,HHW
Queens,0.009,Appliances: Non-Ferrous,Designated MGP
Citywide,0.009,Aluminum Cans,Designated MGP
Queens,0.014,Plain OCC/Kraft Paper,Designated Paper
Queens,0.008,Single Use Plastic Plates/Cups/Cutlery (excluding EPS),Designated MGP
Citywide,0.0,Pesticides/Herbicides/Rodenticides,HHW
Queens,0.0,Televisions,E-Waste
Citywide,0.132,Mixed Cullet,Designated MGP
Brooklyn,0.008,Other Glass,Other
Brooklyn,0.014,Fines,Other
Brooklyn,0.096,Clear Container Glass,Designated MGP
Queens,0.004,Appliances: Plastic,Designated MGP
Queens,0.003,Other Aluminum,Designated MGP
Queens,0.001,High Grade Paper,Designated Paper
Queens,0.015,Paper Beverage Cartons/Aseptic Boxes,Designated MGP
Citywide,0.012,Film Plastic: All Other Film,Other
Queens,0.0,Yard Waste,Organics Suitable for Composting
Brooklyn,0.023,Other Plastics,Designated MGP
Queens,0.008,Other Nonrecyclable Paper,Other
Queens,0.0,Water-Based Adhesives/Glues,HHW
Citywide,0.001,Disposable Diapers/Sanitary Products,Other
Queens,0.058,#1 PET Bottles,Designated MGP
Brooklyn,0.028,Food,Organics Suitable for Composting
Brooklyn,0.0,Oil Filters,HHW
Citywide,0.006,Empty Aerosol Cans,Designated MGP
Brooklyn,0.004,Newspaper,Designated Paper
Queens,0.082,Mixed Cullet,Designated MGP
Citywide,0.093,Clear Container Glass,Designated MGP
Citywide,0.001,Computer Monitors,E-Waste
Brooklyn,0.0,Antifreeze,HHW
Queens,0.024,Film Plastic: Garbage Bags,Other
Brooklyn,0.002,Other Aluminum,Designated MGP
Citywide,0.012,Aluminum Foil/Containers,Designated MGP
Citywide,0.005,Shoes/Rubber/Leather,Textiles
Citywide,0.015,Fines,Other
Brooklyn,0.0,Audio/Visual Equipment-TV Peripherals (Covered),E-Waste
Queens,0.001,Textiles: Clothing,Textiles
Queens,0.002,Non-C&D Wood,Other
Queens,0.0,Antifreeze,HHW
Citywide,0.001,Animal By-Products,Other
Brooklyn,0.0,Fluorescent Tubes/CFLs,HHW
