camis,dba,phone,violation_description,record_date,:@computed_region_sbqj_enih
50176313,Miznon Columbia,9178177600,,2025-12-24T06:00:18.000,17.0
50176158,CHICKEN AT LAST,6464075650,,2025-12-24T06:00:18.000,72.0
41172425,EL POLLO RESTAURANT AND BAR,7188154928,Hot TCS food item not held at or above 140 °F.,2025-12-24T06:00:13.000,
50173914,ADR VENTURES 10 LLC,9174163773,,2025-12-24T06:00:18.000,8.0
50173657,SAUTEED,3475675419,,2025-12-24T06:00:18.000,39.0
50153750,"AMERICAN AIRLINES, INC.",4124565110,,2025-12-24T06:00:18.000,
50180046,DRIP,9177046742,,2025-12-24T06:00:18.000,2.0
50179487,BENTOME INC,9176170807,,2025-12-24T06:00:18.000,8.0
50075332,SONY HALL,2129975123,,2025-12-24T06:00:13.000,10.0
50163421,MYSTTIK HOLIDAYS INC,9173063128,,2025-12-24T06:00:18.000,8.0
50170257,THE FITCH COFFEE BAR,7043286780,,2025-12-24T06:00:18.000,1.0
41702724,MOMINETTE,9292342941,Hot TCS food item not held at or above 140 °F.,2025-12-24T06:00:13.000,
50178253,B.A.B LLC,9175664489,,2025-12-24T06:00:18.000,56.0
50171775,PRONTO BURGER,9177715387,,2025-12-24T06:00:18.000,73.0
41032752,DONS BOGAM,2126832200,Hot TCS food item not held at or above 140 °F.,2025-12-24T06:00:13.000,
50178873,POWERHOUSE GYM,9174946424,,2025-12-24T06:00:18.000,7.0
50180152,Malta Coffee,9294089562,,2025-12-24T06:00:18.000,11.0
50180187,MAKI,7185340968,,2025-12-24T06:00:18.000,56.0
50152083,BILLIE'S,6463092326,,2025-12-24T06:00:18.000,11.0
50177848,CHYELLE INCORPORATED,9496777403,,2025-12-24T06:00:18.000,56.0
50134862,THE CHOCOLATE FACTORY,6462440734,,2025-12-24T06:00:18.000,56.0
41521007,"PRIME TAVERN, DELTA TERMINAL",7186566210,"Raw, cooked or prepared food is adulterated, contaminated, cross-contaminated, or not discarded in accordance with HACCP plan.",2025-12-24T06:00:13.000,
50178552,PIZZA EXPRESS,3479853301,,2025-12-24T06:00:18.000,18.0
50160229,MAM'S CUPBOARD,6469191465,,2025-12-24T06:00:18.000,7.0
50047152,SECTION 5 PIZZA,7183203887,Hot TCS food item not held at or above 140 °F.,2025-12-24T06:00:13.000,28.0
50122846,IPIZZANY,6465967071,,2025-12-24T06:00:13.000,9.0
50179191,OPENAI NYC CAFE,7043286780,,2025-12-24T06:00:18.000,2.0
50180213,TEAPULSE MIDTOWN 30ST LLC,6463013772,,2025-12-24T06:00:18.000,8.0
50177653,FARMER J,4136363627,,2025-12-24T06:00:18.000,10.0
50172715,"YUMMY LU ZHI, INC.",6468674542,,2025-12-24T06:00:18.000,67.0
50179092,AUGUSTA NY 4 INC,7189027137,,2025-12-24T06:00:18.000,61.0
50170521,NAKSHATRA LLC,3476586092,,2025-12-24T06:00:18.000,1.0
50113199,PIG BEACH,3157960016,,2025-12-24T06:00:13.000,72.0
41629759,PL LOUNGE RESTAURANT,6463265165,Food Protection Certificate not held by supervisor of food operations.,2025-12-24T06:00:13.000,
50104962,EMPANADAS RD,3477264990,Hot TCS food item not held at or above 140 °F.,2025-12-24T06:00:13.000,
41545370,"SHRINE, YATENGA",2126907807,Thawing procedure improper.,2025-12-24T06:00:13.000,
50178968,BIANG BIANG NOODLE,6466372137,,2025-12-24T06:00:18.000,8.0
50044605,HOT DOG CONCESSION,2124656273,,2025-12-24T06:00:13.000,8.0
50151904,PICA POLLO 809 EL ORIGINAL,9089440006,,2025-12-24T06:00:18.000,29.0
50142842,HAMPTON INN HOME2 SUITES NYC TIMES SQUARE - LOBBY BAR,3037853100,,2025-12-24T06:00:18.000,10.0
50017190,DOUGHNUT PLANT,2125053700,,2025-12-24T06:00:13.000,50.0
50044592,"CHICKEN, FRIES CONCESSION",2124656273,,2025-12-24T06:00:13.000,8.0
50148177,THE ROCK HOUSE BAR & GRILL,6316456448,,2025-12-24T06:00:18.000,77.0
50153387,CHOPT,5163989952,,2025-12-24T06:00:18.000,
50175873,EL MARIACHY,3474086374,,2025-12-24T06:00:18.000,56.0
50162532,S&S AMERICAN FOOD LLC,3475361227,,2025-12-24T06:00:18.000,8.0
41086967,IL SOLE,2125440406,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",2025-12-24T06:00:13.000,
50177644,BRAVO 56 BAR & GRILL LLC,9733156990,,2025-12-24T06:00:18.000,22.0
50179837,HERB NOOK INC.,3023547857,,2025-12-24T06:00:18.000,67.0
50162955,KID,6468646504,,2025-12-24T06:00:18.000,7.0
50121525,SUNRISE BAKERY,9176798813,MISBRANDED AND LABELING,2025-12-24T06:00:13.000,37.0
50179899,HUS0,5612127799,,2025-12-24T06:00:18.000,1.0
50175193,DUE FRATELLI,5168014807,,2025-12-24T06:00:18.000,53.0
50152614,JALAPENO SHACK,73689994__,,2025-12-24T06:00:18.000,35.0
50167195,THE GYRO PROJECT,2129837474,,2025-12-24T06:00:18.000,12.0
50158848,AURA 57,9173882963,,2025-12-24T06:00:18.000,10.0
50124776,FRANCHIA VEGAN CAFE,2122131001,Thawing procedure improper.,2025-12-24T06:00:13.000,9.0
50167409,LUCKY WOK VICTORY INC,9377601459,,2025-12-24T06:00:18.000,74.0
50167747,TRADICIONALE,3107539410,,2025-12-24T06:00:18.000,6.0
50131498,PRINCIPE,9172174441,,2025-12-24T06:00:18.000,1.0
50175071,PICKLE1,7078167432,,2025-12-24T06:00:18.000,1.0
50173134,16 HANDLES,7328560195,,2025-12-24T06:00:18.000,48.0
50067646,BREAD & BUTTER,2127670444,Live roaches in facility's food or non-food area.,2025-12-24T06:00:13.000,10.0
50179194,TIFFANY BAR & GRILL INC.,8457509183,,2025-12-24T06:00:18.000,24.0
50112671,BAYLANDER STEEL BEACH,6462070440,,2025-12-24T06:00:18.000,
50165935,LE BISTROQUET,6466929282,,2025-12-24T06:00:18.000,7.0
50161512,CGTENANT LLC,3056141532,,2025-12-24T06:00:18.000,7.0
50105933,DUNKIN',9292074427,"Establishment is not free of harborage or conditions conducive to rodents, insects or other pests.",2025-12-24T06:00:13.000,
50176977,ZARA TERRACE,7188203683,,2025-12-24T06:00:18.000,9.0
50173077,SR 222 LLC,2128774800,,2025-12-24T06:00:18.000,5.0
50163442,HUDSON,2018218189,,2025-12-24T06:00:18.000,
50179744,GROWL GROWL HOT POT & COCKTAIL,6463211090,,2025-12-24T06:00:18.000,8.0
50174000,GLADYS BOOKS & WINE,3126628358,,2025-12-24T06:00:18.000,52.0
50174170,CAFE COMMUNE,7185763253,,2025-12-24T06:00:18.000,57.0
50180017,AMMAZZA CORP,9292502875,,2025-12-24T06:00:18.000,56.0
41525379,BAR ITALIA,9175466676,,2025-12-24T06:00:13.000,11.0
50158105,CACHAPAS Y MAS,3475138908,,2025-12-24T06:00:18.000,31.0
50105419,BRISAS DEL MAR,3479988788,,2025-12-24T06:00:18.000,62.0
50130609,THAI TAI EATERY,7182551781,,2025-12-24T06:00:13.000,62.0
50152404,MI CASA ARGENTINA,3475173789,,2025-12-24T06:00:18.000,48.0
50168983,JOE & THE JUICE,9174840425,,2025-12-24T06:00:18.000,6.0
50172713,SANKU MAOTS'AI,9178229122,,2025-12-24T06:00:18.000,5.0
50175120,WJF ENTERPRISE INC,7183218981,,2025-12-24T06:00:18.000,67.0
50169423,BAULI,6469326761,,2025-12-24T06:00:18.000,7.0
50179757,TAMANNA REZA,8608051462,,2025-12-24T06:00:18.000,65.0
50150867,THE GRILLE,2159970667,,2025-12-24T06:00:18.000,
50180159,CUP OF JOE COFFEE COMPANY,7183211000,,2025-12-24T06:00:18.000,41.0
50162703,GENESIS,7186128312,,2025-12-24T06:00:18.000,39.0
40837042,MALECON RESTAURANT,7184325155,Evidence of rats or live rats in establishment's food or non-food areas.,2025-12-24T06:00:13.000,
50171285,JULIETA RESTAURANT CORP,9176628993,,2025-12-24T06:00:18.000,73.0
50078733,MCDONALD'S,3477284265,,2025-12-24T06:00:13.000,57.0
50176724,SALCO MEATS LLC,6465747866,,2025-12-24T06:00:18.000,52.0
50144391,RED STAR ONE,2122819281,"Toilet facility not maintained or provided with toilet paper, waste receptacle or self-closing door.",2025-12-24T06:00:13.000,
41248866,BARAKA BUFFET,2124913502,Hot TCS food item not held at or above 140 °F.,2025-12-24T06:00:13.000,
50163756,SCHMACKARY'S,9177962185,,2025-12-24T06:00:18.000,5.0
50175302,FAUCHON,7043286780,,2025-12-24T06:00:18.000,8.0
50140617,"ABP OPCO, LLC",4699173800,,2025-12-24T06:00:18.000,8.0
50179988,KIN WAH 684 INC.,7185859095,,2025-12-24T06:00:18.000,23.0
41450634,YUNG HSIN RESTAURANT,7184095984,Hot TCS food item not held at or above 140 °F.,2025-12-24T06:00:13.000,
50166521,FORTUNA,8182620660,,2025-12-24T06:00:18.000,7.0
