dba,location,grade_date,:@computed_region_yeji_bk3q,council_district
AMMAZZA CORP,"{'type': 'Point', 'coordinates': [-73.944660072882, 40.711556311104]}",,2.0,34.0
CAFE COMMUNE,"{'type': 'Point', 'coordinates': [-73.947520818142, 40.724836845616]}",,2.0,33.0
LEBRON CAFE,"{'type': 'Point', 'coordinates': [-73.917932585196, 40.862479702762]}",,4.0,10.0
JULIETA RESTAURANT CORP,"{'type': 'Point', 'coordinates': [-73.885164432642, 40.749285658502]}",,3.0,21.0
MI CASA ARGENTINA,"{'type': 'Point', 'coordinates': [-73.999433998646, 40.675042225922]}",,2.0,39.0
Tracks Raw Bar & Grill,"{'type': 'Point', 'coordinates': [-73.97704000693, 40.755845908604]}",,4.0,4.0
KID,"{'type': 'Point', 'coordinates': [-73.996575381015, 40.740518662562]}",,4.0,3.0
GNOCCHI ON 9TH,"{'type': 'Point', 'coordinates': [-73.978963829771, 40.744579033857]}",,4.0,4.0
ERIS,"{'type': 'Point', 'coordinates': [-73.943271034797, 40.707696485365]}",,2.0,34.0
SUNRISE BAKERY,"{'type': 'Point', 'coordinates': [-73.978705471092, 40.60499342239]}",,2.0,43.0
MOJO EAST,"{'type': 'Point', 'coordinates': [-73.988780276159, 40.721524389825]}",,4.0,1.0
PICA POLLO 809 EL ORIGINAL,"{'type': 'Point', 'coordinates': [-73.901854104064, 40.851098414705]}",,5.0,15.0
JOO OK,"{'type': 'Point', 'coordinates': [-73.986653743397, 40.747626871722]}",,4.0,3.0
GABRIELA,"{'type': 'Point', 'coordinates': [-73.958155039926, 40.721649053993]}",,2.0,33.0
HERO,"{'type': 'Point', 'coordinates': [-73.977595140586, 40.758003399168]}",,4.0,4.0
JALAPENO SHACK,"{'type': 'Point', 'coordinates': [-73.959681290111, 40.578715193504]}",,2.0,48.0
TAQUERIA ON TENTH,,,,
ADR VENTURES 10 LLC,"{'type': 'Point', 'coordinates': [-73.991724225709, 40.74946359475]}",,4.0,3.0
TAMANNA REZA,"{'type': 'Point', 'coordinates': [-73.783170111335, 40.712805679023]}",,3.0,24.0
MALECON RESTAURANT,,2022-12-12T00:00:00.000,,
BAYLANDER STEEL BEACH,"{'type': 'Point', 'coordinates': [-73.961601957407, 40.818638955148]}",,,
B.A.B LLC,"{'type': 'Point', 'coordinates': [-73.935986521997, 40.713747613266]}",,2.0,34.0
MERA JFK T8,,,,
Malta Coffee,"{'type': 'Point', 'coordinates': [-73.950989833247, 40.780891880006]}",,4.0,5.0
PARK ROSE / GOLDEN CHILD,"{'type': 'Point', 'coordinates': [-73.983081533353, 40.744697739719]}",,4.0,2.0
BRISA TROPICAL RESTAURANT,"{'type': 'Point', 'coordinates': [-73.897543430151, 40.86172225875]}",2025-08-22T00:00:00.000,5.0,14.0
S&S AMERICAN FOOD LLC,"{'type': 'Point', 'coordinates': [-73.989479170444, 40.750509164767]}",,4.0,3.0
VIP ONE,,,,
SILK SPOON INC,"{'type': 'Point', 'coordinates': [-74.131015862648, 40.599642209161]}",,1.0,50.0
BIG MOZZ,,,,
MAM'S CUPBOARD,"{'type': 'Point', 'coordinates': [-73.990679378381, 40.736609791786]}",,4.0,2.0
HOT DOG CONCESSION,"{'type': 'Point', 'coordinates': [-73.991944239076, 40.750654836632]}",2023-04-29T00:00:00.000,4.0,3.0
KENNEDY'S CHICKEN & SANDWICH,,,,
EMPANADAS RD,,2025-11-13T00:00:00.000,,
97 HAPPY KTV,"{'type': 'Point', 'coordinates': [-73.99529954546, 40.71749826812]}",,4.0,1.0
DONS BOGAM,,2025-02-19T00:00:00.000,,
POWERHOUSE GYM,"{'type': 'Point', 'coordinates': [-73.9925763627, 40.74608210698]}",,4.0,3.0
BILLIE'S,"{'type': 'Point', 'coordinates': [-73.963233813411, 40.76213879279]}",,4.0,4.0
PURA VIDA MIAMI,"{'type': 'Point', 'coordinates': [-73.992992365827, 40.736873453731]}",,4.0,3.0
NUTRITION 4 U,"{'type': 'Point', 'coordinates': [-73.864195454235, 40.752748606377]}",,3.0,21.0
MILANOS FOOD INC,"{'type': 'Point', 'coordinates': [-73.937939765404, 40.796785914021]}",,4.0,8.0
MIRU,"{'type': 'Point', 'coordinates': [-74.008650293747, 40.743081996014]}",,4.0,3.0
EXCELLENT SUSHI,"{'type': 'Point', 'coordinates': [-73.989170318235, 40.763192668635]}",,4.0,3.0
JOE & THE JUICE,"{'type': 'Point', 'coordinates': [-74.000281528635, 40.753037571144]}",,4.0,3.0
AURA 57,"{'type': 'Point', 'coordinates': [-73.96948654606, 40.761061935614]}",,4.0,4.0
COURTYARD JAMAICA,"{'type': 'Point', 'coordinates': [-73.805825205075, 40.700986095563]}",,3.0,27.0
41-17 HOSPITALITY GROUP CORP,"{'type': 'Point', 'coordinates': [-73.938714771609, 40.845321615242]}",,4.0,10.0
DREAM TALK,"{'type': 'Point', 'coordinates': [-73.988599366875, 40.766615325711]}",,4.0,3.0
ORTIZ BARBERSHOP INC,"{'type': 'Point', 'coordinates': [-73.903051425129, 40.835687732775]}",,5.0,16.0
YUNG HSIN RESTAURANT,,2023-05-17T00:00:00.000,,
