location,action,community_board,bbl,score,census_tract,cuisine_description
"{'type': 'Point', 'coordinates': [-73.975109006874, 40.755634159504]}",,105.0,1012830021.0,,9400.0,
"{'type': 'Point', 'coordinates': [-73.986996046249, 40.639957723781]}",,312.0,3055890040.0,,22400.0,
,Violations were cited in the following area(s).,,2.0,18.0,,Donuts
"{'type': 'Point', 'coordinates': [-73.990217372423, 40.737455140594]}",,105.0,1008460056.0,,5200.0,
"{'type': 'Point', 'coordinates': [-73.917932585196, 40.862479702762]}",,112.0,1021860001.0,,29900.0,
"{'type': 'Point', 'coordinates': [-73.897543430151, 40.86172225875]}",Violations were cited in the following area(s).,205.0,2031660085.0,34.0,23703.0,Spanish
"{'type': 'Point', 'coordinates': [-73.981616102436, 40.732472337326]}",,106.0,1009220025.0,,4800.0,
"{'type': 'Point', 'coordinates': [-73.962973330361, 40.575579011727]}",,313.0,3086907501.0,,36002.0,
"{'type': 'Point', 'coordinates': [-73.965416591482, 40.805942977365]}",,109.0,1018950023.0,,19900.0,
"{'type': 'Point', 'coordinates': [-73.963233813411, 40.76213879279]}",,108.0,1014160024.0,,11000.0,
"{'type': 'Point', 'coordinates': [-73.990347416605, 40.686877291245]}",,302.0,3001940003.0,,4300.0,
"{'type': 'Point', 'coordinates': [-73.970284963875, 40.751535084739]}",,106.0,1013380005.0,,9000.0,
,,,,,,
"{'type': 'Point', 'coordinates': [-73.80655057604, 40.700828124574]}",,412.0,4099987501.0,,20800.0,
"{'type': 'Point', 'coordinates': [-73.886918181972, 40.749457575625]}",,403.0,4012900001.0,,28500.0,
"{'type': 'Point', 'coordinates': [-73.985229477097, 40.741752906188]}",,105.0,1008550016.0,,5600.0,
"{'type': 'Point', 'coordinates': [-73.885110217458, 40.755584834602]}",,403.0,4014120040.0,,32700.0,
"{'type': 'Point', 'coordinates': [-73.915853221473, 40.854383985199]}",,205.0,2028790184.0,,24501.0,
"{'type': 'Point', 'coordinates': [-73.93643862298, 40.689884817399]}",,303.0,3016190045.0,,27900.0,
"{'type': 'Point', 'coordinates': [-73.830996650422, 40.761320327799]}",,407.0,4049780004.0,,87100.0,
"{'type': 'Point', 'coordinates': [-73.985679454661, 40.74691311625]}",,105.0,1008330044.0,,7600.0,
"{'type': 'Point', 'coordinates': [-73.922705713001, 40.709852836152]}",,301.0,3029900001.0,,44900.0,
"{'type': 'Point', 'coordinates': [-73.918133711201, 40.819672925094]}",,201.0,2024000007.0,,6700.0,
"{'type': 'Point', 'coordinates': [-73.885164432642, 40.749285658502]}",,403.0,4012920149.0,,28300.0,
"{'type': 'Point', 'coordinates': [-73.989479170444, 40.750509164767]}",,105.0,1008100001.0,,10900.0,
"{'type': 'Point', 'coordinates': [-74.000674672425, 40.726045567475]}",,102.0,1005160037.0,,4900.0,
"{'type': 'Point', 'coordinates': [-73.968328188871, 40.767824704469]}",No violations were recorded at the time of this inspection.,108.0,1013800058.0,,12200.0,Italian
"{'type': 'Point', 'coordinates': [-73.984290623383, 40.728975903773]}",,103.0,1004520035.0,,4000.0,
,Violations were cited in the following area(s).,,1.0,13.0,,Korean
"{'type': 'Point', 'coordinates': [-73.984635945638, 40.671151849168]}",,306.0,3009880002.0,,13700.0,
,Violations were cited in the following area(s).,,1.0,22.0,,Chicken
"{'type': 'Point', 'coordinates': [-74.022678536659, 40.629358611568]}",,310.0,3059420007.0,,13400.0,
"{'type': 'Point', 'coordinates': [-73.987541021756, 40.750541907818]}",,105.0,1008100045.0,,10900.0,
"{'type': 'Point', 'coordinates': [-73.991724225709, 40.74946359475]}",,105.0,1008070001.0,,10100.0,
"{'type': 'Point', 'coordinates': [-73.995184089244, 40.717761761063]}",,102.0,1002390031.0,,4100.0,
"{'type': 'Point', 'coordinates': [-73.988780276159, 40.721524389825]}",,103.0,1004160055.0,,3001.0,
"{'type': 'Point', 'coordinates': [-73.918359947731, 40.809059156278]}",,201.0,2022850046.0,,3900.0,
"{'type': 'Point', 'coordinates': [-73.989914897004, 40.73325562509]}",,103.0,1005580010.0,,4200.0,
"{'type': 'Point', 'coordinates': [-73.992828565498, 40.683215944265]}",,306.0,3004150006.0,,7500.0,
"{'type': 'Point', 'coordinates': [-73.96948654606, 40.761061935614]}",,105.0,1013110058.0,,11203.0,
"{'type': 'Point', 'coordinates': [-73.831021904939, 40.761325854514]}",,407.0,4049740039.0,,87100.0,
"{'type': 'Point', 'coordinates': [-73.990679378381, 40.736609791786]}",,105.0,1008450002.0,,5200.0,
"{'type': 'Point', 'coordinates': [-73.982076501289, 40.777944843112]}",,107.0,1011430001.0,,15700.0,
"{'type': 'Point', 'coordinates': [-74.013037997991, 40.703304419929]}",,101.0,1000100014.0,,900.0,
"{'type': 'Point', 'coordinates': [-73.982785441519, 40.75923943664]}",,105.0,1010007502.0,,12500.0,
"{'type': 'Point', 'coordinates': [-73.989479170444, 40.750509164767]}",,105.0,1008100001.0,,10900.0,
"{'type': 'Point', 'coordinates': [-73.928964350006, 40.682411896544]}",,303.0,3016760044.0,,29700.0,
"{'type': 'Point', 'coordinates': [-73.999433998646, 40.675042225922]}",,306.0,3003820031.0,,6500.0,
"{'type': 'Point', 'coordinates': [-73.981004597151, 40.574551384379]}",,313.0,3086950433.0,,35200.0,
"{'type': 'Point', 'coordinates': [-73.983577720644, 40.752130625428]}",,105.0,1008410018.0,,8400.0,
"{'type': 'Point', 'coordinates': [-73.92194581216, 40.767154770253]}",,401.0,4005950001.0,,7100.0,
"{'type': 'Point', 'coordinates': [-73.903051425129, 40.835687732775]}",,203.0,2029260002.0,,14702.0,
"{'type': 'Point', 'coordinates': [-73.991944239076, 40.750654836632]}",No violations were recorded at the time of this inspection.,105.0,1007810001.0,0.0,10100.0,Chicken
"{'type': 'Point', 'coordinates': [-73.988440349399, 40.746894214295]}",,105.0,1008320001.0,,7600.0,
"{'type': 'Point', 'coordinates': [-73.989362817057, 40.688318210432]}",,302.0,3001820001.0,,4300.0,
"{'type': 'Point', 'coordinates': [-73.975064947193, 40.680776096245]}",No violations were recorded at the time of this inspection.,308.0,3011350040.0,0.0,12902.0,Coffee/Tea
"{'type': 'Point', 'coordinates': [-73.989773273905, 40.739101960026]}",,105.0,1008480061.0,,5200.0,
,Violations were cited in the following area(s).,,,23.0,,Latin American
,Violations were cited in the following area(s).,,,9.0,,American
,Violations were cited in the following area(s).,,,,,American
"{'type': 'Point', 'coordinates': [-73.918880751316, 40.70226090071]}",,304.0,3032707501.0,,44300.0,
"{'type': 'Point', 'coordinates': [-73.952100331158, 40.733169214463]}",,301.0,3025340008.0,,57900.0,
"{'type': 'Point', 'coordinates': [-73.905123532108, 40.766568442385]}",,401.0,4007320045.0,,14100.0,
,Violations were cited in the following area(s).,,,18.0,,American
"{'type': 'Point', 'coordinates': [-73.988978569661, 40.744015011954]}",,105.0,1008280027.0,,5800.0,
"{'type': 'Point', 'coordinates': [-74.005014968398, 40.726358363178]}",,102.0,1005050014.0,,3700.0,
"{'type': 'Point', 'coordinates': [-73.893054937639, 40.721837387655]}",No violations were recorded at the time of this inspection.,405.0,4028300034.0,0.0,66701.0,Thai
"{'type': 'Point', 'coordinates': [-73.987541021756, 40.750541907818]}",,105.0,1008100045.0,,10900.0,
"{'type': 'Point', 'coordinates': [-74.004925284301, 40.733275176029]}",No violations were recorded at the time of this inspection.,102.0,1005880054.0,0.0,7300.0,Pizza
"{'type': 'Point', 'coordinates': [-73.856675135856, 40.671829051876]}",,410.0,4113580001.0,,6202.0,
"{'type': 'Point', 'coordinates': [-74.131015862648, 40.599642209161]}",,502.0,5008240068.0,,18902.0,
"{'type': 'Point', 'coordinates': [-73.950385774601, 40.811254040502]}",,110.0,1019530034.0,,21500.0,
"{'type': 'Point', 'coordinates': [-73.959681290111, 40.578715193504]}",,313.0,3087070070.0,,61003.0,
