camis,latitude,:@computed_region_f5dn_yrer,critical_flag,street,grade,longitude-:@computed_region_92fq_4b7q
50153387,,,Not Applicable,AIRPORT,,nan-nan
50160335,40.738600123621,12.0,Not Applicable,7 AVENUE,,-73.999657187145-10.0
41525379,40.767824704469,23.0,Not Applicable,MADISON AVENUE,,-73.968328188871-51.0
50178903,40.705218031201,54.0,Not Applicable,FRESH POND ROAD,,-73.896295312326-34.0
50162955,40.740518662562,12.0,Not Applicable,WEST   18 STREET,,-73.996575381015-10.0
50162532,40.750509164767,11.0,Not Applicable,WEST   34 STREET,,-73.989479170444-10.0
50161218,0.0,,Not Applicable,65 ST TRANSVERSE,,0.0-nan
50180159,40.621830268731,10.0,Not Applicable,3 AVENUE,,-74.031713936803-44.0
50075332,40.759124635911,11.0,Not Applicable,WEST   46 STREET,,-73.986348218206-10.0
50151904,40.851098414705,6.0,Not Applicable,EAST BURNSIDE AVENUE,,-73.901854104064-22.0
50152614,40.578715193504,21.0,Not Applicable,CONEY ISLAND AVENUE,,-73.959681290111-15.0
50158273,40.726830224622,25.0,Not Applicable,UNION TURNPIKE,,-73.788373837829-24.0
50134862,40.709852836152,36.0,Not Applicable,SCOTT AVENUE,,-73.922705713001-30.0
50163421,40.750541907818,11.0,Not Applicable,HERALD SQUARE,,-73.987541021756-51.0
50165935,40.741542208716,11.0,Not Applicable,WEST   22 STREET,,-73.991681908845-10.0
50113199,40.755658988379,39.0,Not Applicable,36 STREET,,-73.924966036042-33.0
50166228,40.766615325711,12.0,Not Applicable,WEST   54 STREET,,-73.988599366875-10.0
50067032,,,Not Critical,10 AVENUE,,nan-nan
40837042,,,Critical,BROADWAY,A,nan-nan
50174020,40.796452209635,7.0,Not Applicable,1 AVENUE,,-73.935065160219-35.0
50013086,40.694970813594,68.0,Not Applicable,GOLD STREET,Z,-73.983270903538-48.0
50179899,40.717415550492,56.0,Not Applicable,DUANE STREET,,-74.010392933756-32.0
41545370,,,Not Critical,7 AVENUE,,nan-nan
50176158,40.767154770253,39.0,Not Applicable,30 AVENUE,,-73.92194581216-4.0
50143846,40.700986095563,41.0,Not Applicable,ARCHER AVENUE,,-73.805825205075-6.0
50177644,40.866573672969,47.0,Not Applicable,DYCKMAN STREET,,-73.928513781984-39.0
50167747,40.744344876743,12.0,Not Applicable,9 AVENUE,,-74.002876268375-10.0
50175071,40.704279137344,56.0,Not Applicable,PEARL STREET,,-74.009784953715-32.0
50112671,40.818638955148,,Not Applicable,WEST HARLEM PIERS PARK,,-73.961601957407-nan
50180017,40.711556311104,36.0,Not Applicable,GRAND STREET,,-73.944660072882-30.0
50179123,40.773536399656,22.0,Not Applicable,FRANCIS LEWIS BOULEVARD,,-73.796622785107-20.0
40837042,,,Critical,BROADWAY,B,nan-nan
50179476,40.809059156278,49.0,Not Applicable,BROOK AVENUE,,-73.918359947731-35.0
50179757,40.712805679023,25.0,Not Applicable,HILLSIDE AVENUE,,-73.783170111335-24.0
50179324,40.688318210432,68.0,Not Applicable,SMITH STREET,,-73.989362817057-38.0
50131498,40.726045567475,57.0,Not Applicable,WEST BROADWAY,,-74.000674672425-32.0
50173657,40.639957723781,2.0,Not Applicable,13 AVENUE,,-73.986996046249-27.0
50175193,40.704083415091,42.0,Not Applicable,WYCKOFF AVENUE,,-73.918860491636-37.0
