phone,inspection_type,building,violation_code
7043286780,,270,
3475675419,,4006,
9292074427,Cycle Inspection / Initial Inspection,4399A,08A
6469326761,,866,
3475382570,,3835,
9174718178,Cycle Inspection / Re-inspection,2467,09B
8182620660,,275,
6465848800,,3145,
9178177600,,2895,
6463092326,,1167,
3475361575,,145,
2012387005,,311,
5163989952,,,
7189027137,,147-40,
9177715387,,79-06,
2159970667,,352,
7184067751,,82-19,
9177949179,,182,
6465747866,,198,
3023547857,,37-11,
2122687888,,312,
6462440734,,70,
7185859095,,684,
9176628993,,37-63,
3475361227,,151,
9172174441,,450,
9175466676,Administrative Miscellaneous / Initial Inspection,768,
9178229122,,167,
2126832200,Cycle Inspection / Re-inspection,1517,02B
9292207677,,375,
3472705804,Cycle Inspection / Initial Inspection,1039,04A
2019141589,,7501,
5167323754,,1,
9174163773,,393,
2122741535,,102,
6462860389,,85,
6462402952,,299,
9177962185,,129,
3478895717,,253,
9173882963,,130,
7183218981,,37-18,
6469191465,,20,
2129837474,,2062,
7043286780,,33,
3037853100,,150,
4699173800,,151,
3126628358,,306,
3475173789,,550,
9293738559,,3029,
8573335190,,37,
6464075650,,30-23,
6462667071,,3706,
2124656273,Cycle Inspection / Initial Inspection,4,
9175878888,,1231,
3474986578,,101,
2125053700,Inter-Agency Task Force / Initial Inspection,245,
3056141532,,900,
7184325155,Cycle Inspection / Re-inspection,,04K
7186566210,Cycle Inspection / Re-inspection,,04H
7187511151,Administrative Miscellaneous / Initial Inspection,,28-01
3479772571,,286,
5168522614,,316,
2135923608,,24-26,
2126958080,Cycle Inspection / Initial Inspection,,10A
7866821339,,1145,
3476586092,,30,
7182551781,Inter-Agency Task Force / Initial Inspection,59-61,
9173063128,,1,
2122560648,Inter-Agency Task Force / Initial Inspection,104,
7187668892,,133-40,
9176749434,,460,
3479853301,,2361,
73689994__,,3167,
3058591311,,100,
7186128312,,4117,
7043286780,,1100,
3472208442,Cycle Inspection / Re-inspection,1,04L
9176227315,,98-92,
3474291046,,143,
9176798813,Administrative Miscellaneous / Re-inspection,316,22F
8457509183,,960,
7184501788,,64,
3475320681,,4117,
2123507441,Cycle Inspection / Initial Inspection,1301,06F
2125440406,Cycle Inspection / Re-inspection,,08A
6463265165,Cycle Inspection / Initial Inspection,,04A
7188558088,Cycle Inspection / Reopening Inspection,306,
6462956778,,124,
6466372137,,1,
9292342941,Cycle Inspection / Initial Inspection,221,02B
2123479977,,97,
3477264990,Cycle Inspection / Re-inspection,1971,02B
9377601459,,1970,
7184325155,Cycle Inspection / Initial Inspection,,06F
9174840425,,20,
3475138908,,2368,
3479988788,,675,
7188801069,,179-24,
6464534613,,60,
9177915755,,148-18,
6462070440,,,
7078167432,,100,
6465967071,Pre-permit (Operational) / Reopening Inspection,621,
9292502875,,702,
7185763253,,146,
7188154928,Cycle Inspection / Initial Inspection,,02B
6466929282,,50,
8052155003,,216,
3476327093,,7021,
2032604770,,86,
3475029510,,275,
7186737945,,453,
9174003090,,1802,
7328560195,,300,
8608051462,,179-51,
9179030743,,444,
3477284265,Cycle Inspection / Reopening Inspection,904,
3474477033,,994,
9496777403,,199,
7037237264,,,
2127670444,Cycle Inspection / Re-inspection,25,04M
2012745976,,470,
2123682820,Cycle Inspection / Initial Inspection,2649,04L
2128774800,,222,
6468646504,,157,
6316456448,,507,
8457091808,,1802,
6465786977,,106,
2122131001,Cycle Inspection / Initial Inspection,12,09B
2129975123,Inter-Agency Task Force / Initial Inspection,235,
9176977982,,90,
2124656273,Cycle Inspection / Initial Inspection,4,
9177046742,,100,
2126907807,Cycle Inspection / Initial Inspection,,09B
9174394707,,2701,
9176170807,,110,
6463164524,Cycle Inspection / Initial Inspection,167,
6463211090,,11,
6464908575,,2164,
5168526308,,25-52,
7144251559,,10,
6097844279,,750,
7183211000,,8823,
5163989952,,,
9174973635,,37-70,
2038148019,,610,
6463013772,,65,
7043286780,,295,
7188281188,Cycle Inspection / Initial Inspection,1111,
5168014807,,135,
9293308884,,68-01,
2122047111,,5,
4124565110,,0,
7185340968,,19,
6468674542,,136-21,
343796961,,136-20,
9174946424,,158,
3479756151,,511,
5612127799,,190A,
7403192198,,22,
6467011556,,22,
9173619750,,731,
6465921035,,88,
9089270130,,1498,
9294089562,,250,
7188203683,,862,
7189541955,,1802,
3476235720,,1623,
9176782245,,162,
7183674500,Cycle Inspection / Re-inspection,158,02B
6462490429,,176-19,
9089440006,,288,
323 488 2148,,45,
9177473395,,598,
4136363627,,31,
9175664489,,356,
7183203887,Cycle Inspection / Re-inspection,133,02B
3474086374,,1201,
2159970667,,,
2122819281,Cycle Inspection / Initial Inspection,2529,10A
6467516033,,25,
9179756316,,67,
9177553943,,119,
9173768721,,2270,
3157960016,Inter-Agency Task Force / Initial Inspection,35-33,
5125606933,,239,
2018218189,,,
3473302480,,1676,
9173256400,,122,
3107539410,,156,
9178808505,,385,
9173882305,,25,
2123881499,Cycle Inspection / Initial Inspection,,08A
6318334030,,50,
7182299879,Cycle Inspection / Re-inspection,25425,04M
7184095984,Cycle Inspection / Initial Inspection,,02B
5169870346,,2255,
2124913502,Cycle Inspection / Initial Inspection,2546,02B
7864367737,,8,
9733156990,,261,
