newsracklocationid,lastinspecteddate,communitydistrictleft,newsrackstatus,boroughname,tostreetname
6629,2019-02-06T11:38:19.000,306.0,Removed By DOT,Brooklyn,
6447,2019-02-06T12:30:58.000,306.0,Removed By DOT,Brooklyn,
14300,2025-05-16T12:41:37.000,107.0,Newsrack Not Found,Manhattan,
6770,2019-02-21T13:30:49.000,312.0,Inspected/In Compliance,Brooklyn,61 STREET
6274,2021-04-13T17:14:30.000,312.0,Removed By DOT,Brooklyn,
9012,2020-01-07T15:44:08.000,105.0,NOV Issued,Manhattan,
6664,2019-02-06T12:51:39.000,306.0,Removed By DOT,Brooklyn,
6730,2019-03-28T12:54:48.000,312.0,Inspected/In Compliance,Brooklyn,44 STREET
6732,2019-03-28T12:53:26.000,312.0,Inspected/In Compliance,Brooklyn,
7824,2019-04-30T09:31:39.000,103.0,Newsrack Not Found,Manhattan,
6758,2019-03-28T13:34:55.000,312.0,NOC/Violations Found,Brooklyn,
7887,2019-05-07T14:01:08.000,103.0,Inspected/In Compliance,Manhattan,
6788,2019-03-07T16:34:09.000,103.0,Inspected/In Compliance,Manhattan,
12679,2025-05-13T14:28:44.000,302.0,NOC/Violations Found,Brooklyn,
6726,2019-02-20T09:48:36.000,312.0,Inspected/In Compliance,Brooklyn,
15355,2025-05-09T08:55:26.000,301.0,NOC/Violations Found,Brooklyn,
6626,2023-07-01T10:10:35.000,306.0,Removal Pending,Brooklyn,
9251,2020-01-03T12:55:59.000,306.0,Newsrack Not Found,Brooklyn,
2890,2019-02-20T10:26:56.000,312.0,Inspected/In Compliance,Brooklyn,
3040,2019-02-20T10:04:30.000,312.0,Inspected/In Compliance,Brooklyn,43 STREET
7837,2019-04-30T10:13:00.000,103.0,Inspected/In Compliance,Manhattan,
6637,2019-02-06T10:29:42.000,306.0,Removed By DOT,Brooklyn,
6630,2019-02-06T11:37:14.000,306.0,Removed By DOT,Brooklyn,
6785,2019-03-30T14:29:24.000,102.0,Inspected/In Compliance,Manhattan,
12564,2021-04-12T14:45:00.000,302.0,Newsrack Not Found,Brooklyn,PACIFIC STREET
9296,2020-01-28T14:44:25.000,301.0,Inspected/In Compliance,Brooklyn,
13110,2023-06-07T11:13:32.000,105.0,Newsrack Not Found,Manhattan,
9313,2020-01-22T16:01:08.000,315.0,Newsrack Not Found,Brooklyn,
9315,2020-01-22T10:01:25.000,111.0,Inspected/In Compliance,Manhattan,
3536,2022-03-01T13:07:19.000,102.0,Newsrack Not Found,Manhattan,
9247,2019-11-30T14:25:06.000,103.0,Inspected/In Compliance,Manhattan,MULBERRY STREET
15311,2025-05-16T14:30:07.000,106.0,Newsrack Not Found,Manhattan,
6634,2019-02-06T10:47:14.000,306.0,Removed By DOT,Brooklyn,
2980,2019-02-20T16:52:59.000,312.0,NOV Issued,Brooklyn,
6759,2019-03-28T13:31:09.000,312.0,Inspected/In Compliance,Brooklyn,
6752,2019-02-20T15:14:38.000,312.0,Newsrack Not Found,Brooklyn,51 STREET
2590,2019-07-08T13:58:30.000,204.0,Inspected/In Compliance,Bronx,
6729,2019-02-20T10:07:32.000,312.0,Inspected/In Compliance,Brooklyn,43 STREET
2901,2019-02-20T09:20:20.000,312.0,NOV Issued,Brooklyn,
7877,2019-05-07T15:10:55.000,103.0,Inspected/In Compliance,Manhattan,
6744,2019-02-20T14:38:29.000,312.0,Inspected/In Compliance,Brooklyn,
6667,2019-02-06T12:39:37.000,306.0,Removed By DOT,Brooklyn,
13148,2023-07-05T13:20:51.000,406.0,Newsrack Not Found,Queens,
7963,2019-07-09T10:08:00.000,211.0,Inspected/In Compliance,Bronx,
10399,2020-05-14T13:20:29.000,107.0,Inspected/In Compliance,Manhattan,
9287,2020-01-07T13:06:29.000,109.0,Inspected/In Compliance,Manhattan,
6747,2019-02-07T14:21:30.000,312.0,Removed By DOT,Brooklyn,
6742,2019-02-20T12:36:58.000,312.0,Inspected/In Compliance,Brooklyn,49 STREET
6743,2019-02-20T14:37:24.000,312.0,NOV Issued,Brooklyn,
13160,2023-07-26T07:45:52.000,302.0,NOC/Violations Found,Brooklyn,
