lastinspecteddate,publicationname,newsrackactive,fromstreetname
2025-05-15T14:37:02.000,El Especial / El Especialito,Yes,ROOSEVELT AVENUE
2019-02-20T16:53:17.000,"Vues, The",Yes,55 STREET
2019-05-08T12:29:43.000,Metro New York,Yes,9 STREET
2023-07-27T08:18:49.000,New York Family,Yes,WEST   79 STREET
2025-05-15T15:13:33.000,El Grito New York Newspaper,Yes,QUEENS BOULEVARD
2020-01-28T12:18:53.000,"Epoch Times (chinese language), The",Yes,EAST HOUSTON STREET
2019-02-20T12:36:24.000,"Weekly Link, The",Yes,48 STREET
2019-07-12T09:09:38.000,"Riverdale Review, The",No,RIVERDALE AVENUE
2019-11-21T14:46:11.000,Shop Realty,No,BOWERY
2019-02-06T15:35:54.000,"L Magazine, The",No,7 AVENUE
2019-05-07T13:44:35.000,El Especial / El Especialito,Yes,PITT STREET
2019-03-01T15:10:26.000,El Especial / El Especialito,Yes,LEXINGTON AVENUE
2025-05-16T10:21:32.000,Manhattan Times,Yes,WEST  207 STREET
2020-02-07T11:23:34.000,El Especial / El Especialito,Yes,WEST   23 STREET
2019-07-10T14:10:03.000,Gotham Writers' Workshop,Yes,PROSPECT PARK WEST
2025-05-16T13:22:24.000,Vision Times (English Version),Yes,AMSTERDAM AVENUE
2019-02-20T09:07:50.000,"Torah Times, The",Yes,39 STREET
2019-09-09T16:52:39.000,"Epoch Times (chinese language), The",Yes,DIVISION STREET
2019-02-20T15:44:38.000,Brooklyn Family Pages,Yes,52 STREET
2019-07-31T15:18:04.000,Happy Science Monthly,No,EAST   14 STREET
2019-02-20T09:49:14.000,Williamsburg Bulletin,Yes,41 STREET
2019-02-20T12:35:19.000,"Torah Times, The",No,48 STREET
2019-07-08T14:52:57.000,El Especial / El Especialito,Yes,ROCKWOOD STREET
2019-02-04T12:39:59.000,Metro New York,Yes,QUEENS BOULEVARD
2020-01-28T14:42:09.000,"Indypendent, The",Yes,METROPOLITAN AVENUE
2019-04-29T16:24:35.000,El Grito-Abogdos De 1800 cantaso News,Yes,MYRTLE AVENUE
2019-02-20T10:24:19.000,Tachlis of Brooklyn,Yes,44 STREET
2025-05-22T13:12:47.000,Vision Times (English Version),Yes,83 STREET
2019-07-09T10:34:49.000,"Epoch Times (chinese language), The",No,11 AVENUE
2019-04-30T16:07:45.000,Vegan Starter Kit,Yes,MONTAGUE STREET
2019-04-30T12:40:25.000,France & Son,No,WEST BROADWAY
2019-03-01T16:23:47.000,"Employment Guide, The",Yes,WEST   23 STREET
2019-07-08T15:40:34.000,Metro New York,Yes,GRAND CONCOURSE
2023-07-01T07:22:31.000,Yediot America,Yes,BEND
2019-02-20T09:13:19.000,Brooklyn Family Pages,Yes,39 STREET
2023-07-26T08:22:21.000,AM New York,Yes,FULTON STREET
2019-07-12T08:41:48.000,"Riverdale Review, The",No,WEST  232 STREET
2019-07-08T14:01:47.000,El Especial / El Especialito,No,WEST  170 STREET
2019-03-01T16:21:13.000,Our Town Downtown,Yes,WEST   23 STREET
2019-02-20T15:41:33.000,"Weekly Link, The",Yes,52 STREET
2021-04-12T14:44:03.000,El Especial / El Especialito,Yes,ATLANTIC AVENUE
2019-02-20T09:08:46.000,Brooklyn Family Pages,Yes,39 STREET
2020-01-07T13:02:34.000,Time Out New York,Yes,WEST  113 STREET
2019-03-01T09:36:49.000,"Epoch Times (chinese language), The",Yes,WATER STREET
2021-06-04T13:49:13.000,The Boro Park View,No,46 STREET
2019-02-21T13:29:19.000,"Weekly Link, The",Yes,60 STREET
2020-05-19T09:29:13.000,El Especial / El Especialito,Yes,WEST   20 STREET
2019-02-20T14:39:07.000,Tachlis of Brooklyn,Yes,49 STREET
2023-07-01T09:55:59.000,Brooklyn Family,Yes,5 AVENUE
2025-05-16T12:39:58.000,Manhattan Express,No,WEST   73 STREET
