_7
44%
402
56%
64%
"$10,820 "
10%
41.80%
89%
59.20%
318
91.70%
"214,689"
80%
158
37%
28.50%
"16,439"
"$10,080 "
0
3
43.30%
96.00%
""
100%
216
122
66.10%
"7,406"
48%
"71,532"
"8,705"
3
"1,244"
"$9,858 "
30.10%
482
25%
100%
100%
64
53.7
2.30%
""
74
31%
"$11,004 "
"$12,710 "
7%
23
51.70%
327
""
38%
"2,159"
"5,488"
$195 
54%
98%
0:12
84%
3.60%
628
426
"$7,151 "
""
8%
$66.94 
"18,561"
"59,161"
$294.63 
84.70%
"2,366"
0.04
88%
23%
128
0:25
68:76
9.3
0%
0.04
73.10%
51%
88%
31.80%
5%
"1,344"
5.6
86.50%
0.13
"1,839"
65.40%
"1,940"
"17,273"
170
$95 
"1,290"
83
"18,363.10"
$213.44 
435
36%
80%
98%
"5,833"
32.7
42.00%
4.00%
98%
""
97.00%
3.2
""
10%
94%
"5,989"
831
343
0.33
64%
"3,436"
"5,575"
""
""
26
""
429.6
1%
43.00%
57.80%
378
74%
"1,002"
0.03
""
69%
80.90%
182
56
649
26%
"46,091"
31.50%
715
0%
4
"13,225"
102.70%
72
"1,108"
192
142
"40,870"
"1,050.00"
"13,563"
"$7,457 "
"22,069"
39%
89%
0
14.70%
"868,616"
14.10%
97.60%
343
8.9
24.50%
53%
49.40%
$622 
641
"1,154"
"7,148"
37.00%
32.70%
"7,661"
226
$2.70 
324
49.60%
1.70%
9.90%
18
100%
8.3
"49,463"
"11,209"
123
46
$225.35 
"$4,192 "
""
"15,269"
94.80%
0.04
29%
"1,220"
"4,836"
"104,275"
13%
