_9,_10,agency
64%,60%,DCA
524,474,CCHR
74%,83%,CCRB
45%,63%,CCRB
"$11,271 ","$11,271 ",ACS
10%,3%,BPL
41.90%,40.40%,CUNY
86%,88%,DCA
57.90%,57.80%,ACS
306,335,CCHR
88.10%,86.70%,ACS
"80,400","112,906",DCAS
70%,73%,DCA
179,181,CCRB
14%,31%,CCRB
28.40%,,CUNY
"14,843","14,013",ACS
"$9,926 ","$10,052 ",ACS
0,0,ACS
1.4,1.1,DCAS
44.30%,41.40%,CUNY
95.40%,95.00%,ACS
"1,328.80","2,117.10",311
100%,100%,CCRB
182,190,CCHR
99,112,BIC
68.00%,67.10%,CUNY
"6,356","5,698",ACS
49%,46%,CCRB
"68,484","69,020",ACS
"8,144","7,896",ACS
3,5,DCA
"1,088",998,BIC
"$5,424 ","$5,486 ",DCA
29.70%,24.80%,ACS
581,271,BIC
18%,26%,CCHR
100%,100%,DCAS
28%,52%,BPL
69,68,CCRB
52.9,53.2,ACS
2.20%,2.40%,BIC
,,DDC
81,114,CCHR
30%,31%,CCRB
"$11,846 ","$15,173 ",CCHR
"$13,995 ","$14,021 ",ACS
3%,5%,CCRB
15,17,DCA
46.10%,47.50%,CUNY
327,401,CCHR
90%,88%,DCAS
21%,19%,CCHR
"1,521","1,274",ACS
"4,580","4,610",DCA
$195 ,$253 ,DCAS
66%,66%,CCHR
96%,95%,DCA
0:31,0:45,311
89%,90%,311
2.70%,2.20%,311
363,419,BIC
375,322,ACS
"$8,124 ","$8,207 ",ACS
,,CCRB
12%,14%,CCHR
$63.69 ,$66.57 ,ACS
"18,423","18,351",ACS
"59,982","57,453",ACS
$311.59 ,$336.53 ,ACS
85.90%,86.30%,CUNY
"2,416","2,223",ACS
0.04,0.1,ACS
78%,71%,311
25%,24%,CCHR
147,112,CCRB
2:03,1:43,311
86:25:00,94:16:00,311
9.4,8.7,ACS
1%,1%,CCHR
0.04,0.08,ACS
69.90%,77.30%,ACS
32%,40%,DCA
90%,91%,DCA
34.70%,31.00%,ACS
3%,0%,DCA
"1,186","1,295",ACS
4.6,3.2,DCAS
85.50%,81.60%,CUNY
0.09,0.09,ACS
"1,697","1,675",ACS
61.50%,62.20%,ACS
"2,040","1,902",ACS
"20,280","19,579",BPL
397,726,BIC
$47 ,$52 ,ACS
"1,280","1,601",BIC
95,103,BIC
"21,730.00","18,957.50",311
$252.76 ,$272.44 ,ACS
444,335,CCHR
50%,35%,CCRB
84%,82%,DCA
100%,100%,ACS
"4,868","4,416",ACS
24.9,30,311
40.10%,39.60%,ACS
3.60%,3.60%,BIC
,,CCRB
67%,73%,DCAS
97.00%,97.00%,CUNY
3,3.1,ACS
,,CCRB
4%,8%,CCRB
91%,91%,DCA
"7,311","8,144",CUNY
627,652,DCA
626,576,CCRB
0.36,0.44,ACS
70%,63%,CCRB
"3,401","3,190",BPL
"5,178","4,843",ACS
,,CCRB
268,280,DCAS
26,27,ACS
,,CCRB
337.4,326.5,ACS
5%,2%,CCRB
44.00%,43.00%,ACS
60.40%,57.90%,ACS
345,323,BIC
,,CCRB
"1,206","1,217",CCHR
0.03,0.04,ACS
13,5,ACS
80%,80%,311
85.00%,86.30%,ACS
417,315,CCRB
80,50,BIC
462,440,CCHR
30%,32%,CCRB
"43,748","43,249",BPL
33.90%,30.10%,ACS
592,610,DCA
0%,0%,CCRB
5,2,CCHR
"12,341","12,024",BPL
94.00%,89.60%,ACS
59,23,CCHR
"1,108","1,111",BPL
187,193,CCHR
155,175,BIC
"27,122","28,678",CUNY
"1,100.00","1,083.00",CUNY
"17,055","17,297",CCHR
"$8,044 ","$8,185 ",ACS
"18,595","17,238",ACS
44%,45%,CCHR
92%,90%,DCA
0,0,CCHR
17.10%,16.20%,ACS
"855,713","830,450",BPL
11.20%,10.40%,ACS
93.50%,92.10%,ACS
282,293,CCRB
8.2,7.6,DCAS
27.00%,27.10%,ACS
56%,55%,DCA
54.00%,59.50%,ACS
$705 ,$634 ,ACS
860,747,BIC
741,915,BPL
"6,149","5,637",CCRB
48.00%,55.00%,ACS
35.10%,33.50%,ACS
"6,259","5,724",CCRB
221,221,BIC
$2.90 ,$2.80 ,DCAS
438,358,CCHR
51.10%,,CUNY
1.90%,2.20%,BIC
9.30%,9.30%,BIC
11,13,DCA
100%,100%,DCAS
6.4,5.5,ACS
"49,889","51,782",ACS
"7,865","10,124",ACS
167,168,BIC
35.5,43.5,BPL
$240.69 ,$316.09 ,ACS
"$7,336 ","$8,707 ",DCA
,384,CCRB
"17,512","19,362",CUNY
89.90%,87.60%,ACS
0.02,0.02,ACS
27%,33%,CCRB
"1,417","1,561",CUNY
"5,807","4,999",BPL
"98,643","95,979",ACS
13%,5%,CCHR
