indicator_name,_9,_4,_3,_6
Complaint processing time 0-20 days (%),64%,11%,19%,26%
Caseload,524,480,557,566
Officers disciplined (excluding pending and filed cases) (%),74%,77%,71%,55%
Age of cases when substantiated by date of incident (1 year or older),45%,29%,41%,48%
Cost per Head Start slot ($),"$11,271 ","$8,797 ","$8,808 ","$10,461 "
Libraries open 7 days/week (%),10%,10%,0%,10%
Instructional hours delivered by full-time faculty (Fall) - Senior Colleges (%),41.90%,45.10%,46.40%,43.20%
Compliance on a follow-up inspection after a previous tobacco violation (%),86%,86%,72%,89%
Children in foster care who had one or fewer transfers from one facility to another (%),57.90%,55.00%,56.70%,58.60%
Average age of complaint caseload (days),306,,,317
Contracted Group Child Care capacity filled (%),88.10%,87.90%,92.30%,85.60%
Applications received for open competitive civil service exams,"80,400","130,492","115,799","156,100"
Weights and Measures Law compliance rate - fuel trucks (%),70%,92%,91%,73%
Average successful mediation case completion time (days),179,160,175,164
Age of cases when substantiated by date of incident (15 months or older),14%,11%,13%,20%
Six-year graduation rate of full-time first-time freshmen seeking an associate degree at a CUNY community college,28.40%,27.90%,27.00%,28.60%
Total number of children in foster care,"14,843","16,659","18,968","16,701"
Cost per child care slot - Group child care (voucher) ($),"$9,926 ","$6,956 ","$6,615 ","$9,874 "
Escapes in secure detention,0,0,1,0
Average time to process a purchase order (days),1.4,,,3.2
Percentage of instructional hours at the community colleges delivered by full-time faculty,44.30%,47.00%,49.10%,46.10%
Head Start capacity filled (%),95.40%,94.70%,95.20%,92.00%
311 Online site visits (000),"1,328.80",,,
Age of mediation docket by date of referral to mediation unit (0-11-months),100%,100%,100%,100%
Pre-complaint resolutions,182,198,142,236
Average time to approve carting registrations (days) - New and Renewal,99,127,392,116
One-year (fall-to-fall) retention rate of full-time first-time freshmen enrolled in an associate program at a CUNY community college,68.00%,65.40%,66.10%,64.80%
All children entering foster care,"6,356","6,402","4,887","7,401"
Closed allegations with findings on the merits (%),49%,64%,64%,56%
Total Number of Children using Vouchers for Child Care,"68,484",,,"70,913"
Children in nonrelative foster boarding homes,"8,144","9,809","10,743","8,944"
Basic license application - Average processing time (days),3,,,5
Carting background investigations completed (total),"1,088",621,690,743
Restitution awarded ($000),"$5,424 ","$3,632 ","$3,868 ","$8,367 "
Abuse and/or neglect reports for children in child care that are substantiated (%),29.70%,24.70%,18.00%,26.80%
Violations issued - Other,581,74,37,180
Cases closed (%) - Settlement,18%,19%,18%,15%
Design projects completed early or on time (%),100%,,,100%
Libraries open 6 days/week (%),28%,100%,46%,100%
Case closures per investigator,69,49,44,58
Median length of stay in foster care before child is adopted (months),52.9,58,59.7,53.8
Carting applications denied (%) - Registration,2.20%,1.60%,1.30%,2.10%
Total value of construction projects in portfolio ($000),,,,
Cases pending by age - 1-3 years old,81,134,118,126
Full investigations as a percentage of total cases closed (%),30%,38%,41%,34%
Average value of cash settlement for complainant ($),"$11,846 ","$19,000 ","$16,650 ","$12,621 "
Cost per child care slot - Group child care (contract) ($),"$13,995 ","$9,510 ","$8,337 ","$13,095 "
Age of docket by date of report (13 months and older),3%,3%,5%,5%
Median complaint processing time (days),15,,,35
Baccalaureate degree seeking students admitted who enroll (%),46.10%,53.40%,52.70%,52.50%
School-based training sessions conducted,327,402,475,436
Average rating for professional development training sessions (%),90%,,,
Cases filed (%) - Housing discrimination,21%,15%,16%,21%
Children in congregate care,"1,521","2,838","3,557","2,358"
Total docketed complaints,"4,580","7,555","6,116","6,877"
Average cost of training per employee ($),$195 ,$198 ,$196 ,$186 
Cases filed (%) - Employment discrimination,66%,77%,74%,66%
Weights and Measures Law compliance rate - gasoline pumps (%),96%,98%,98%,98%
Average wait time (tier 1 calls) (minutes:seconds),0:31,,,0:07
Calls resolved at 311 without transfer to agency for resolution (%),89%,79%,,80%
Calls handled in languages other than English (%),2.70%,1.90%,1.30%,1.90%
Carting applications pending - New and Renewal,363,217,258,274
Abuse and/or neglect reports for children in child care,375,294,235,377
Cost per child care slot - Family child care (voucher) ($),"$8,124 ","$6,085 ","$5,620 ","$7,048 "
Substantiated cases in which the statute of limitations expired (%),,,,
Cases filed (%) - Public accommodation discrimination,12%,7%,8%,12%
Cost per foster care case $- Congregate care by level of need - Foster boarding home,$63.69 ,$54.58 ,$51.91 ,$63.46 
Total Head Start enrollment,"18,423","19,530","19,886","18,147"
Number of State Central Register consolidated investigations,"59,982","57,145","47,021","59,317"
Cost per foster care case $ - Congregate care by level of need - Level 3,$311.59 ,$200.02 ,$182.95 ,$271.07 
One-year (fall-to-fall) retention rate of full-time first-time freshmen enrolled in a baccalaureate program at a CUNY college,85.90%,83.60%,83.40%,84.60%
Abuse and/or neglect reports for children in foster care and child care,"2,416","1,551","1,330","2,027"
Weapon recovery rate (average per 100 Total ADP),0.04,0.05,0.04,0.06
Calls answered in 30 seconds or less (%),78%,88%,63%,97%
Cases closed (%) - Administrative cause,25%,29%,28%,26%
Cases mediated,147,106,96,94
Average wait time (tier 2 agency legacy system calls) (minutes:seconds),2:03,,,0:14
Maximum answer delay (minutes:seconds),86:25:00,17:43,,42:28:00
Average child protective specialist caseload,9.4,16.6,11.5,11
