indicator_name,_8
Head Start capacity filled (%),96.10%
Children in foster care who had one or fewer transfers from one facility to another (%),58.20%
Average rating for professional development training sessions (%),
Civilians who accepted mediation (%),
Children eligible for adoption who are adopted (%),64.90%
Restitution awarded ($000),"$11,728 "
Case closures per investigator,78
Public wholesale market background investigations completed (total),265
Total value of construction projects in portfolio ($000),
Cases referred to the Office of Administrative Trials and Hearings,37
Age of cases when substantiated by date of incident (15 months or older),24%
Complaints about 311 per million calls,29.2
Children in foster kinship homes,"5,559"
Children in substantiated investigations with repeat substantiated investigations within a year (%) (Preliminary),16.90%
Abscond rate in non-secure detention (average per 100 Total ADP in non-secure),0.02
Children who re-enter foster care within a year of discharge to a family,11.00%
Average weekly scheduled hours,44.3
Number of Families Entering Purchased Preventive Services,"10,207"
Cost per foster care case $ - Congregate care by level of need - Level 3,$306.51 
Total Number of Children using Vouchers for Child Care (Low-Income Working/ Other Families),"20,801"
Cases closed,"8,269"
General healthcare cost per youth per day ($),$88 
Complaint processing time 21-50 days (%),46%
Age of docket by date of report (0-4 months),68%
Baccalaureate degree seeking students admitted who enroll (%),49.60%
Median length of stay for children entering foster care for the first time who are returned to parent (months),5.3
Average value of cash settlement for complainant ($),"$17,918 "
Number of students transferring to a CUNY baccalaureate program within two years of leaving a CUNY associate program,"6,754"
Youth(s) with previous admissions to detention (%),53.00%
Licensing Law compliance rate (%),90%
Design projects completed early or on time (%),100%
Average daily cost per juvenile in detention ($),$706 
Weights and Measures Law compliance rate - gasoline pumps (%),97%
Percentage of test-takers passing the National Council Licensure Examination for Registered Nurses (NCLEX),85.40%
Abuse and/or neglect reports for children in child care that are substantiated (%),28.30%
Violations issued to public wholesale markets and businesses,417
Average age of complaint caseload (days),315
Circulation (000),"19,474"
Reference queries (000),"3,380"
Students passing the New York State Teacher Certification Examination (%),98.00%
Complaint processing time 51-90 days (%),4%
Library card holders (000),"1,306"
Children returned to parent(s) within 12 months (%),64.20%
Total Number of Children using Vouchers for Child Care (TANF),"51,399"
Average time to complete adoption (years),3.2
Average cost of cleaning per square foot ($),$3.00 
Average age of open docket (days),
Cases filed (%) - Public accommodation discrimination,11%
Age of mediation docket by date of referral to mediation unit (12 months and older),0%
Cost per Head Start slot ($),"$10,359 "
Cost per child care slot - Group child care (voucher) ($),"$9,767 "
Average time to complete in-house trade shop work orders (days),6.4
Average age of pending carting applications (days) - New and Renewal,167
Abuse and/or neglect reports for children in child care,377
Average child protective specialist caseload,9.1
Total number of children in foster care,"15,896"
Cases filed (%) - Bias-related harassment,0%
Median complaint processing time (days),21
Average number of bidders per bid,4.9
Abuse and/or neglect reports responded to within 24 hours of receipt from the State Central Registry (%) *,95.80%
Complaint processing time 0-20 days (%),48%
Cost per foster care case $- Congregate care by level of need - Foster boarding home,$68.35 
Total Head Start enrollment,"18,563"
Residents seen within 24 hours of sick call report (%),100%
Age of docket by date of report (18 months and older),
Basic license application - Average processing time (days),4
Total settlements ($000),"$4,625 "
Carting applications pending - New and Renewal,336
Age of cases when substantiated by date of incident (1 year or older),57%
Carting licenses approved - New and Renewal,133
Weights and Measures Law compliance rate - fuel trucks (%),82%
Cases pending by age - 1-3 years old,77
School-based training sessions conducted,370
In-care youth who were referred for mental health services (%),48.00%
Average square feet of office space per employee,
Cases closed through the mediation unit,250
Closed allegations with findings on the merits (%),55%
Total library attendance (000),"12,036"
Construction projects completed early or on time (%),100%
The mean SAT score of enrolled freshmen in baccalaureate programs at senior colleges (excluding comprehensive colleges),"1,084.00"
Violations issued to private carters - Total,"1,672"
All children entering foster care,"7,108"
Average wait time (tier 2 agency legacy system calls) (minutes:seconds),1:04
Libraries open 7 days/week (%),10%
Child abuse/neglect allegations cases (internal) reported by OCFS as Substantiated,22
Abuse and/or neglect reports for children in foster care and child care,"2,548"
Age of cases when substantiated by date of incident (12-14 months),33%
Substantiated cases in which the statute of limitations expired (%),
Average time to approve carting registrations (days) - New and Renewal,127
311 calls (000),"18,642.60"
Percentage of instructional hours at the community colleges delivered by full-time faculty,45.60%
Youth on Youth Assaults and Altercations with Injury Rate (per 100 total ADP),0.35
Abuse and/or neglect reports for children in foster care,"2,170"
"Conferences, workshops and training sessions","1,108"
Docketed complaints - Debt collection agency,646
Children adopted,"1,156"
Average successful mediation case completion time (days),174
Pre-complaint resolutions,210
Carting applications denied (%) - Registration,2.30%
Cases pending by age - Less than one year,353
Modifications for accessibility,173
Age of docket by date of report (1 year or older),5%
Total admissions,"5,387"
Licensing center wait time (minutes),14
Cases closed,441
Public wholesale market registrations approved - New and Renewal,114
Number of fines collected within 45 days of assessment (%),82%
Officers who accepted mediation (%),
One-year (fall-to-fall) retention rate of full-time first-time freshmen enrolled in a baccalaureate program at a CUNY college,85.00%
Youth on Staff Assaults and Altercations with Injury Rate (per 100 Total ADP),0.02
Children placed in foster care in their borough,58.80%
Cases mediated,144
Carting background investigations completed (total),"1,289"
Instructional hours delivered by full-time faculty (Fall) - Senior Colleges (%),43.30%
Applications received for open competitive civil service exams,"111,316"
Calls handled in languages other than English (%),3.40%
Average building cleanliness and condition rating for DCAS-managed office buildings (%),77%
Carting applications denied (%) - License,9.60%
Electronic visits to website (000),"5,337"
Cost per foster care case $ - Congregate care by level of need - Level 2,$231.76 
Cases pending by age - Older than 5 years,0
Contracted Group Child Care capacity filled (%),85.60%
Carting applications denied (%) - Total,3.70%
Children in congregate care,"1,970"
In-care youth who were referred for and received mental health services (%),44.00%
Cases closed (%) - No probable cause determination,35%
Abuse and/or neglect reports for children in foster care and child care that are substantiated (%) (Preliminary),32.50%
Child abuse and/or neglect allegation rate (internal) (average per 100 Total ADP),0.11
Indication rate,41.90%
Average time to complete a full investigation (days),327
Total contracted Child care capacity filled (%),90.60%
Children in nonrelative foster boarding homes,"8,367"
Carting registrations approved - New and Renewal,943
Siblings placed simultaneously in the same foster home,83.00%
Cases referred to mediation,557
Maximum answer delay (minutes:seconds),69:36:00
Calls resolved at 311 without transfer to agency for resolution (%),86%
Cost per child care slot - Group child care (contract) ($),"$13,672 "
Narcotics recovery rate (average per 100 Total ADP),0.03
Community-based technical assistance,"17,574"
Honors college student enrollment,"1,352"
Average Daily Population in Detention (Total),388.2
Age of docket by date of report (13 months and older),4%
Average time to complete a substantiated investigation (days),
Cost per child care slot - Family child care (contract) ($),"$7,910 "
High school students participating in college preparation programs through the College Now program,"28,017"
Compliance on a follow-up inspection after a previous tobacco violation (%),88%
Age of docket by date of report (5-12 months),28%
Six-year graduation rate of full-time first-time freshmen seeking an associate degree at a CUNY community college,27.60%
Cases pending by age - 3-5 years old,8
Program attendance,"924,700"
Libraries open 6 days/week (%),100%
Children placed in foster care in their community,31.20%
Inspected stores complying with tobacco regulations (%),87%
One-year (fall-to-fall) retention rate of full-time first-time freshmen enrolled in an associate program at a CUNY community college,66.70%
Cases filed,410
Public wholesale market applications denied (%),2.20%
Full investigations as a percentage of total cases closed (%),36%
Escapes in secure detention,1
Cost per child care slot - Family child care (voucher) ($),"$8,590 "
Number of State Central Register consolidated investigations,"59,228"
Average time to approve carting licenses (days) - New and Renewal,184
Officers disciplined (excluding pending and filed cases) (%),74%
Age of cases when substantiated by date of incident (0-5 months),3%
Age of mediation docket by date of referral to mediation unit (0-11-months),100%
Total civilian complaints against uniformed members of the NYPD,"6,954"
Calls answered in 30 seconds or less (%),82%
Cost per foster care case $ - Congregate care by level of need - Level 1,$221.42 
Call takers time occupied (%),78%
Cases filed (%) - Housing discrimination,33%
Children entering foster care who are placed with relatives,25.00%
Age of cases when substantiated by date of incident (6-11 months),40%
Median length of stay in foster care before child is adopted (months),53.1
Children eligible for adoption (average),"1,780"
Docketed complaints - Home improvement contractor,585
Cases closed (%) - Probable cause determination,8%
Caseload,438
311 Online site visits (000),740.5
Weapon recovery rate (average per 100 Total ADP),0.03
