total,report_category
49,Length of Stay (days) 21-30
0,Length of Stay (days) >180
512,Children in Facility
564,Children in Facility
21,Length of Stay (days) >180
^,Length of Stay (days) >180
0,Length of Stay (days) 121-180
42,Length of Stay (days) 8-10
11,Length of Stay (days) 21-30
,1st Time in Facility
18,Length of Stay (days) 11-20
^,Length of Stay (days) >180
494,1st Time in Facility Since 1/1/24
183,Length of Stay (days) <4
84,Children in Facility
7,Length of Stay (days) 31-60
^,Length of Stay (days) >180
^,Length of Stay (days) 121-180
45,Length of Stay (days) 11-20
9,Length of Stay (days) 31-60
34,Length of Stay (days) 4-7
45,Length of Stay (days) 21-30
^,Length of Stay (days) 21-30
10,Length of Stay (days) 8-10
41,Length of Stay (days) 8-10
56,Length of Stay (days) 21-30
34,Length of Stay (days) <4
^,Length of Stay (days) 121-180
470,Children in Facility
230,Length of Stay (days) <4
38,Length of Stay (days) >180
126,Length of Stay (days) 4-7
12,Length of Stay (days) 8-10
42,Length of Stay (days) <4
14,Length of Stay (days) 31-60
71,Length of Stay (days) 11-20
^,Length of Stay (days) >180
9,Length of Stay (days) 61-120
92,1st Time in Facility
43,Length of Stay (days) 61-120
12,Length of Stay (days) 8-10
132,Length of Stay (days) <4
28,Length of Stay (days) 8-10
18,Length of Stay (days) 121-180
97,Length of Stay (days) 61-120
47,Length of Stay (days) <4
^,Length of Stay (days) >180
92,Length of Stay (days) 11-20
90,Length of Stay (days) 121-180
38,Length of Stay (days) 4-7
106,Length of Stay (days) 4-7
103,Children in Facility
53,Length of Stay (days) 61-120
103,Length of Stay (days) 4-7
42,Length of Stay (days) 4-7
296,Length of Stay (days) <4
^,Length of Stay (days) 21-30
41,Length of Stay (days) 4-7
94,Length of Stay (days) 31-60
11,Length of Stay (days) 11-20
12,Length of Stay (days) 8-10
72,Length of Stay (days) 31-60
74,Length of Stay (days) 11-20
7,Length of Stay (days) 121-180
^,Length of Stay (days) >180
12,Length of Stay (days) 11-20
79,Length of Stay (days) 31-60
^,Length of Stay (days) 11-20
^,Length of Stay (days) 61-120
37,Length of Stay (days) <4
92,1st Time in Facility
28,Length of Stay (days) <4
80,Length of Stay (days) 31-60
100,Children in Facility
10,Length of Stay (days) 61-120
64,Length of Stay (days) 61-120
57,Length of Stay (days) 21-30
6,Length of Stay (days) 61-120
^,Length of Stay (days) 61-120
10,Length of Stay (days) 11-20
,1st Time in Facility
8,Length of Stay (days) 31-60
528,Children in Facility
^,Length of Stay (days) 121-180
,1st Time in Facility
46,Length of Stay (days) 8-10
108,Length of Stay (days) 11-20
0,Length of Stay (days) >180
7,Length of Stay (days) 31-60
7,Length of Stay (days) 21-30
30,Length of Stay (days) 4-7
105,Children in Facility
204,Length of Stay (days) <4
^,Length of Stay (days) 121-180
30,Length of Stay (days) 8-10
88,1st Time in Facility
101,Children in Facility
76,Length of Stay (days) 61-120
415,1st Time in Facility Since 1/1/24
28,Length of Stay (days) 21-30
524,Children in Facility
8,Length of Stay (days) 121-180
19,Length of Stay (days) 31-60
^,Length of Stay (days) 21-30
12,Length of Stay (days) 121-180
23,Length of Stay (days) 4-7
77,1st Time in Facility
90,1st Time in Facility
86,Length of Stay (days) 4-7
6,Length of Stay (days) 8-10
