bldg_current_bin,borough,insptn_typ_cd_fk
1089659,MN,CONSTR
4005124,QN,1935-10-01T00:00:00.000
3079879,BK,DEMO
1076736,MN,1935-10-01T00:00:00.000
1813425,MN,CONSTR
3425725,BK,CONSTR
5000069,SI,COM_OCPCY
3039841,BK,ALT
1054694,MN,CONSTR
4112347,QN,1935-10-01T00:00:00.000
4008704,QN,CONSTR
3855979,BK,CONSTR
3336170,BK,ABATE
1042112,MN,CONSTR
1087769,MN,COMPLAINT
5014551,SI,COM_OCPCY
1089812,MN,CONSTR
3061993,BK,ALT
4217032,QN,OTHER
4146337,QN,STRUC_INT_1
1059803,MN,1935-10-01T00:00:00.000
1089444,MN,CONSTR
3409253,BK,ALT
4607658,QN,CONSTR
4596026,QN,STRUC_INT_3
4181753,QN,COM_OCPCY
3823131,BK,CONSTR
3327498,BK,STRUC_INT_3
3335892,BK,ABATE
1046751,MN,ALT
3041188,BK,COM_OCPCY
3425013,BK,ALT
1807272,MN,CONSTR
3123653,BK,STRUC_INT_3
1014130,MN,COMPLAINT
1035352,MN,CDA-90-DRILL
1057916,MN,ALT
3182880,BK,CONSTR
3079243,BK,ALT
3055281,BK,OTHER
4008704,QN,CONSTR
3336170,BK,ABATE
3397461,BK,CONSTR
1061711,MN,1935-10-01T00:00:00.000
1054108,MN,ALT
3425052,BK,CONSTR
4000738,QN,1935-10-01T00:00:00.000
3388462,BK,OTHER
2024308,BX,FORTH
4799203,QN,SPECIAL-OTH
3821921,BK,SPECIAL-OTH
1010633,MN,ABATE
4799085,QN,SPECIAL-OTH
4000533,QN,FPS-OOS
2118398,BX,FPS-OOS
5014534,SI,COM_OCPCY
5009706,SI,COM_OCPCY
1043061,MN,ALT
1057441,MN,ALT
1010633,MN,ABATE
5818483,SI,CONSTR
3116695,BK,ALT
4596253,QN,1935-10-01T00:00:00.000
3001479,BK,ALT
3414034,BK,CONSTR
3079903,BK,ALT
