insptn_ops_detail,insp_inspect_dt_fk
8045076,2018-01-31T00:00:00.000
8051992,2018-02-01T00:00:00.000
8045145,2018-01-31T00:00:00.000
8052087,2018-02-01T00:00:00.000
8051926,2018-02-01T00:00:00.000
8045113,2018-01-31T00:00:00.000
8041615,2018-01-31T00:00:00.000
8045081,2018-01-31T00:00:00.000
8040150,2018-01-31T00:00:00.000
8039612,2018-01-31T00:00:00.000
8037784,2018-01-31T00:00:00.000
8052025,2018-02-01T00:00:00.000
8045784,2018-02-01T00:00:00.000
8045000,2018-01-31T00:00:00.000
8045106,2018-01-31T00:00:00.000
8045142,2018-02-01T00:00:00.000
8045184,2018-01-31T00:00:00.000
8040265,2018-01-31T00:00:00.000
8052036,2018-02-01T00:00:00.000
8051117,2018-02-01T00:00:00.000
8051980,2018-02-01T00:00:00.000
8045014,2018-01-31T00:00:00.000
8045032,2018-01-31T00:00:00.000
8039683,2018-01-31T00:00:00.000
8045017,2018-01-31T00:00:00.000
8044993,2018-01-31T00:00:00.000
8042477,2018-01-31T00:00:00.000
8052116,2018-02-01T00:00:00.000
8041872,2018-01-31T00:00:00.000
8039928,2018-01-31T00:00:00.000
8037743,2018-01-31T00:00:00.000
8045048,2018-01-31T00:00:00.000
8052031,2018-02-01T00:00:00.000
8045034,2018-01-31T00:00:00.000
8045020,2018-01-31T00:00:00.000
8041758,2018-01-31T00:00:00.000
8045073,2018-01-31T00:00:00.000
8045118,2018-01-31T00:00:00.000
8052089,2018-02-01T00:00:00.000
8037778,2018-01-31T00:00:00.000
8042475,2018-01-31T00:00:00.000
8050279,2018-02-01T00:00:00.000
8045037,2018-01-31T00:00:00.000
8044996,2018-01-31T00:00:00.000
8045093,2018-01-31T00:00:00.000
8049299,2018-02-01T00:00:00.000
8041873,2018-01-31T00:00:00.000
8045057,2018-01-31T00:00:00.000
8037783,2018-01-31T00:00:00.000
8050136,2018-02-01T00:00:00.000
8045029,2018-01-31T00:00:00.000
8045104,2018-01-31T00:00:00.000
8051946,2018-02-01T00:00:00.000
8044995,2018-01-31T00:00:00.000
8041658,2018-01-31T00:00:00.000
8051960,2018-02-01T00:00:00.000
8046152,2018-02-01T00:00:00.000
8045148,2018-01-31T00:00:00.000
8045102,2018-01-31T00:00:00.000
8037864,2018-01-31T00:00:00.000
8050325,2018-02-01T00:00:00.000
8069492,2018-02-01T00:00:00.000
8046198,2018-02-01T00:00:00.000
8052029,2018-02-01T00:00:00.000
8045058,2018-01-31T00:00:00.000
8044992,2018-01-31T00:00:00.000
8045107,2018-01-31T00:00:00.000
