location_1,we,borough,su,fr
"{'latitude': '40.771345', 'longitude': '-73.826582'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.732272', 'longitude': '-73.809902'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.677059', 'longitude': '-73.74514'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
,Closed - Closed,QUEENS   ,Closed - Closed,Closed - Closed
"{'latitude': '40.695879', 'longitude': '-73.790734'}",Closed - Closed,QUEENS   ,Closed - Closed,Closed - Closed
"{'latitude': '40.725815', 'longitude': '-73.820989'}",10:00 AM - 6:00 PM,QUEENS   ,12:00 PM - 5:00 PM,10:00 AM - 6:00 PM
"{'latitude': '40.71014', 'longitude': '-73.819621'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.746845', 'longitude': '-73.94444'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.703149', 'longitude': '-73.875748'}",Closed - Closed,QUEENS   ,Closed - Closed,Closed - Closed
"{'latitude': '40.69554', 'longitude': '-73.74138'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.777105', 'longitude': '-73.909496'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.757361', 'longitude': '-73.868331'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.687273', 'longitude': '-73.824691'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
"{'latitude': '40.76795', 'longitude': '-73.738088'}",10:00 AM - 6:00 PM,QUEENS   ,Closed - Closed,10:00 AM - 6:00 PM
